,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
1,2025/05/14,Wed,Indonesia,Love Card,1000.00,0.06,Say it with McD,Regular
2,2025/05/14,Wed,Indonesia,Birthday Card,1000.00,0.06,Say it with McD,Regular
3,2025/05/14,Wed,Indonesia,Greetings Card,1000.00,0.06,Say it with McD,Regular
4,2025/05/14,Wed,Indonesia,Love Card,1000.00,0.06,Say it with McD,Breakfast
5,2025/05/14,Wed,Indonesia,Birthday Card,1000.00,0.06,Say it with McD,Breakfast
6,2025/05/14,Wed,Indonesia,Greetings Card,1000.00,0.06,Say it with McD,Breakfast
7,2025/05/14,Wed,Indonesia,Paket Ulang Tahun - Ayam McD Krispy,200000.00,12.05,Birthday Package Delivery,Regular
8,2025/05/14,Wed,Indonesia,Paket Ulang Tahun - Beef Burger Deluxe,227500.00,13.70,Birthday Package Delivery,Regular
9,2025/05/14,Wed,Indonesia,Paket Ulang Tahun - McSpaghetti + Ayam McD Krispy,255000.00,15.36,Birthday Package Delivery,Regular
10,2025/05/14,Wed,Indonesia,PaNas 2 Ayam Lengkuas McD Sambal Bajak,61000.00,3.67,Promotion,Regular
11,2025/05/14,Wed,Indonesia,PaNas 2 with Fries Ayam Lengkuas McD Sambal Bajak,65500.00,3.95,Promotion,Regular
12,2025/05/14,Wed,Indonesia,PaNas Spesial Ayam Lengkuas McD Sambal Bajak,52000.00,3.13,Promotion,Regular
13,2025/05/14,Wed,Indonesia,Dinosaur McFlurry® With MILO Choco Balls,18000.00,1.08,Promotion,Regular
14,2025/05/14,Wed,Indonesia,Dinosaur McFlurry® Dark Choco with OREO,18000.00,1.08,Promotion,Regular
15,2025/05/14,Wed,Indonesia,"Combo Mango Frappe, small + Cheese Stick",43000.00,2.59,Promotion,Regular
16,2025/05/14,Wed,Indonesia,"Combo Choco Frappe, small + Cheese Stick",43000.00,2.59,Promotion,Regular
17,2025/05/14,Wed,Indonesia,Hello Kitty Plush Bag Tag + PaNas 1,59500.00,3.58,Promotion,Regular
18,2025/05/14,Wed,Indonesia,Hello Kitty Plush Bag Tag + McFlurry feat Oreo,42500.00,2.56,Promotion,Regular
19,2025/05/14,Wed,Indonesia,HEMAT - 2 Ayam Krispy McD + 2 Rice + 2 Fruitea Lemon,52000.00,3.13,Exclusive Delivery,Regular
20,2025/05/14,Wed,Indonesia,HEMAT - Ayam Krispy McD + Beefburger + Rice + French Fries + 2 Fruit Tea Lemon,57000.00,3.43,Exclusive Delivery,Regular
21,2025/05/14,Wed,Indonesia,HEMAT - Ayam Krispy McD + 4 McNuggets + Rice  + French Fries  + 2 Fruit Tea Lemon,59000.00,3.55,Exclusive Delivery,Regular
22,2025/05/14,Wed,Indonesia,HEMAT - 2 Paket HeBat Korean Soy Garlic Wings,55000.00,3.31,Exclusive Delivery,Regular
23,2025/05/14,Wed,Indonesia,Paket Kenyang,150000.00,9.03,Exclusive Delivery,Regular
24,2025/05/14,Wed,Indonesia,Paket Ngemil,110000.00,6.63,Exclusive Delivery,Regular
25,2025/05/14,Wed,Indonesia,Paket Manis,71500.00,4.31,Exclusive Delivery,Regular
26,2025/05/14,Wed,Indonesia,Paket Big Order,587500.00,35.39,Exclusive Delivery,Regular
27,2025/05/14,Wed,Indonesia,Big Mac®,45500.00,2.74,Burger & McNuggets,Regular
28,2025/05/14,Wed,Indonesia,Triple Cheeseburger,64000.00,3.85,Burger & McNuggets,Regular
29,2025/05/14,Wed,Indonesia,Double Cheeseburger,43000.00,2.59,Burger & McNuggets,Regular
30,2025/05/14,Wed,Indonesia,Cheeseburger Deluxe,35500.00,2.14,Burger & McNuggets,Regular
