,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
1,2025/01/01,Wed,Indonesia,PaNas 2 Ayam McD Black Pepper,59000.00,3.63,Promotion,Regular
2,2025/01/01,Wed,Indonesia,PaNas 2 with Fries Ayam McD Black Pepper,61000.00,3.75,Promotion,Regular
3,2025/01/01,Wed,Indonesia,PaNas Special Ayam McD Black Pepper,51000.00,3.14,Promotion,Regular
4,2025/01/01,Wed,Indonesia,PaNas 1 Ayam McD Black Pepper,43000.00,2.64,Promotion,Regular
5,2025/01/01,Wed,Indonesia,PaMer 5 Ayam McD Black Pepper,151000.00,9.28,Promotion,Regular
6,2025/01/01,Wed,Indonesia,PaMer 7 Ayam McD Blackpepper sauce,208500.00,12.82,Promotion,Regular
7,2025/01/01,Wed,Indonesia,2 Ayam McD Black Pepper,53000.00,3.26,Promotion,Regular
8,2025/01/01,Wed,Indonesia,1 Ayam McD Black Pepper,29000.00,1.78,Promotion,Regular
9,2025/01/01,Wed,Indonesia,Jasuke,15000.00,0.92,Promotion,Regular
10,2025/01/01,Wed,Indonesia,Jasuke feat. OREO,16500.00,1.01,Promotion,Regular
11,2025/01/01,Wed,Indonesia,1pc Hotcake Sundae Choco,24000.00,1.48,Promotion,Regular
12,2025/01/01,Wed,Indonesia,1pc Hotcake Sundae Strawberry,24000.00,1.48,Promotion,Regular
13,2025/01/01,Wed,Indonesia,2pcs Hotcakes Sundae Choco,31500.00,1.94,Promotion,Regular
14,2025/01/01,Wed,Indonesia,2pcs Hotcakes Sundae Strawberry,31500.00,1.94,Promotion,Regular
15,2025/01/01,Wed,Indonesia,Combo Iced Caramel Latte + Cheese Stick,40000.00,2.46,Promotion,Regular
16,2025/01/01,Wed,Indonesia,Combo Caramel Latte Frappe + Cheese Stick,40000.00,2.46,Promotion,Regular
17,2025/01/01,Wed,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.31,Promotion,Regular
18,2025/01/01,Wed,Indonesia,PaNas 2 Ayam McD Black Pepper,59000.00,3.63,Promotion,Breakfast
19,2025/01/01,Wed,Indonesia,PaNas Special Ayam McD Black Pepper,51000.00,3.14,Promotion,Breakfast
20,2025/01/01,Wed,Indonesia,PaNas 1 Ayam McD Black Pepper,43000.00,2.64,Promotion,Breakfast
21,2025/01/01,Wed,Indonesia,PaMer 5 Ayam McD Black Pepper,151000.00,9.28,Promotion,Breakfast
22,2025/01/01,Wed,Indonesia,PaMer 7 Ayam McD Blackpepper sauce,208500.00,12.82,Promotion,Breakfast
23,2025/01/01,Wed,Indonesia,2 Ayam McD Black Pepper,53000.00,3.26,Promotion,Breakfast
24,2025/01/01,Wed,Indonesia,1 Ayam McD Black Pepper,29000.00,1.78,Promotion,Breakfast
25,2025/01/01,Wed,Indonesia,Jasuke,15000.00,0.92,Promotion,Breakfast
26,2025/01/01,Wed,Indonesia,Jasuke feat. OREO,16500.00,1.01,Promotion,Breakfast
27,2025/01/01,Wed,Indonesia,1pc Hotcake Sundae Choco,24000.00,1.48,Promotion,Breakfast
28,2025/01/01,Wed,Indonesia,1pc Hotcake Sundae Strawberry,24000.00,1.48,Promotion,Breakfast
29,2025/01/01,Wed,Indonesia,2pcs Hotcakes Sundae Choco,31500.00,1.94,Promotion,Breakfast
30,2025/01/01,Wed,Indonesia,2pcs Hotcakes Sundae Strawberry,31500.00,1.94,Promotion,Breakfast
31,2025/01/01,Wed,Indonesia,Combo Iced Caramel Latte + Cheese Stick,40000.00,2.46,Promotion,Breakfast
32,2025/01/01,Wed,Indonesia,Combo Caramel Latte Frappe + Cheese Stick,40000.00,2.46,Promotion,Breakfast
33,2025/01/01,Wed,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.31,Promotion,Breakfast
34,2025/01/01,Wed,Indonesia,HEMAT - 2 Ayam Krispy McD + 2 Rice + 2 Fruitea Lemon,52000.00,3.20,Exclusive Delivery,Regular
35,2025/01/01,Wed,Indonesia,HEMAT - Ayam Krispy McD + Beefburger + Rice + French Fries + 2 Fruit Tea Lemon,57000.00,3.50,Exclusive Delivery,Regular
