,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
1,2022/08/12,Fri,Japan,Cheese Locomoco,510.00,3.85,Recommendations,Regular Menu
2,2022/08/12,Fri,Japan,Garlic Shrimp,510.00,3.85,Recommendations,Regular Menu
3,2022/08/12,Fri,Japan,Zakugiri-Potato & Beef Jalapeno Mayo,510.00,3.85,Recommendations,Regular Menu
4,2022/08/12,Fri,Japan,Hawaiian Burgers Delivery Set for 3,2550.00,19.23,Recommendations,Regular Menu
5,2022/08/12,Fri,Japan,Hawaiian Burgers Delivery Set for 2,1700.00,12.82,Recommendations,Regular Menu
6,2022/08/12,Fri,Japan,Hawaiian Burgers Delivery Set for 1,1450.00,10.94,Recommendations,Regular Menu
7,2022/08/12,Fri,Japan,McShake® Doraemon Ramune,150.00,1.13,Recommendations,Regular Menu
8,2022/08/12,Fri,Japan,Doraemon Choco Banana Pie,180.00,1.36,Recommendations,Regular Menu
9,2022/08/12,Fri,Japan,McFlurry® Mixed Berries Pancake Taste,370.00,2.79,Recommendations,Regular Menu
10,2022/08/12,Fri,Japan,Mango Pulp In McFizz® Tropical Fruits,340.00,2.56,Recommendations,Regular Menu
11,2022/08/12,Fri,Japan,Delivery Set for 3,2500.00,18.85,Recommendations,Regular Menu
12,2022/08/12,Fri,Japan,Delivery Set for 2,1800.00,13.57,Recommendations,Regular Menu
13,2022/08/12,Fri,Japan,McDelivery® Set,1500.00,11.31,Recommendations,Regular Menu
14,2022/08/12,Fri,Japan,Potenage XL ＋2 choices,1360.00,10.26,Recommendations,Regular Menu
15,2022/08/12,Fri,Japan,PoteNage DAI,600.00,4.52,Recommendations,Regular Menu
16,2022/08/12,Fri,Japan,PoteNage TOKUDAI,960.00,7.24,Recommendations,Regular Menu
17,2022/08/12,Fri,Japan,Smile,0.00,0.00,Recommendations,Regular Menu
18,2022/08/12,Fri,Japan,McShake® Doraemon Ramune,150.00,1.13,Recommendations,Breakfast Menu
19,2022/08/12,Fri,Japan,Doraemon Choco Banana Pie,180.00,1.36,Recommendations,Breakfast Menu
20,2022/08/12,Fri,Japan,McFlurry® Mixed Berries Pancake Taste,370.00,2.79,Recommendations,Breakfast Menu
21,2022/08/12,Fri,Japan,Mango Pulp In McFizz® Tropical Fruits,340.00,2.56,Recommendations,Breakfast Menu
22,2022/08/12,Fri,Japan,McDelivery® Morning Set,1500.00,11.31,Recommendations,Breakfast Menu
23,2022/08/12,Fri,Japan,Smile,0.00,0.00,Recommendations,Breakfast Menu
24,2022/08/12,Fri,Japan,Big Mac®,430.00,3.24,Burgers,Regular Menu
