,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
0,2022/02/26,Sat,Japan,Thick Beef Burger Pepper & Cheese,530.00,4.58,Recommendations,Regular Menu
1,2022/02/26,Sat,Japan,Grilled Chicken Burger Salt & Lemon,510.00,4.41,Recommendations,Regular Menu
2,2022/02/26,Sat,Japan,N.Y. Burgers Delivery Set,1200.00,10.38,Recommendations,Regular Menu
3,2022/02/26,Sat,Japan,N.Y. Burgers Delivery Set for 3,2340.00,20.24,Recommendations,Regular Menu
4,2022/02/26,Sat,Japan,N.Y. Burgers Delivery Set for 2,1580.00,13.67,Recommendations,Regular Menu
5,2022/02/26,Sat,Japan,McFlurry® with KITKAT®,340.00,2.94,Recommendations,Regular Menu
6,2022/02/26,Sat,Japan,McFlurry® with KITKAT® Strawberry,370.00,3.20,Recommendations,Regular Menu
7,2022/02/26,Sat,Japan,Hitokuchi Churros,280.00,2.42,Recommendations,Regular Menu
8,2022/02/26,Sat,Japan,Delivery Set for 3,2500.00,21.62,Recommendations,Regular Menu
9,2022/02/26,Sat,Japan,Delivery Set for 2,1800.00,15.57,Recommendations,Regular Menu
10,2022/02/26,Sat,Japan,McDelivery® Set,1500.00,12.97,Recommendations,Regular Menu
11,2022/02/26,Sat,Japan,Potenage XL ＋2 choices,1360.00,11.76,Recommendations,Regular Menu
12,2022/02/26,Sat,Japan,PoteNage DAI,590.00,5.10,Recommendations,Regular Menu
13,2022/02/26,Sat,Japan,PoteNage TOKUDAI,940.00,8.13,Recommendations,Regular Menu
14,2022/02/26,Sat,Japan,Smile,0.00,0.00,Recommendations,Regular Menu
15,2022/02/26,Sat,Japan,McFlurry® with KITKAT®,340.00,2.94,Recommendations,Breakfast Menu
16,2022/02/26,Sat,Japan,McFlurry® with KITKAT® Strawberry,370.00,3.20,Recommendations,Breakfast Menu
17,2022/02/26,Sat,Japan,Hitokuchi Churros,280.00,2.42,Recommendations,Breakfast Menu
18,2022/02/26,Sat,Japan,McDelivery® Morning Set,1500.00,12.97,Recommendations,Breakfast Menu
19,2022/02/26,Sat,Japan,Smile,0.00,0.00,Recommendations,Breakfast Menu
20,2022/02/26,Sat,Japan,Big Mac®,420.00,3.63,Burgers,Regular Menu
21,2022/02/26,Sat,Japan,Roasted Soy Sauce Double Thick Beef,560.00,4.84,Burgers,Regular Menu
22,2022/02/26,Sat,Japan,Roasted Soy Sauce Bacon Tomato Thick Beef,560.00,4.84,Burgers,Regular Menu
23,2022/02/26,Sat,Japan,Double Cheeseburger,380.00,3.29,Burgers,Regular Menu
24,2022/02/26,Sat,Japan,Teriyaki McBurger,380.00,3.29,Burgers,Regular Menu
25,2022/02/26,Sat,Japan,Filet-O-Fish®,380.00,3.29,Burgers,Regular Menu
26,2022/02/26,Sat,Japan,Chicken Filet-O®,390.00,3.37,Burgers,Regular Menu
27,2022/02/26,Sat,Japan,Teriyaki Chicken Filet-O,400.00,3.46,Burgers,Regular Menu
28,2022/02/26,Sat,Japan,Bacon Lettuce Burger,390.00,3.37,Burgers,Regular Menu
29,2022/02/26,Sat,Japan,Shrimp Filet-O,420.00,3.63,Burgers,Regular Menu
