,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2023/02/16,Thu,South Korea,Double Quarter Pounder® with Cheese,10100.00,7.85,Specials,Regular Menu
2,2023/02/16,Thu,South Korea,Quarter Pounder® with Cheese BBQ Bacon,9800.00,7.62,Specials,Regular Menu
3,2023/02/16,Thu,South Korea,Quarter Pounder® with Cheese,8500.00,6.61,Specials,Regular Menu
4,2023/02/16,Thu,South Korea,McCrispy™ Deluxe Burger,9200.00,7.15,Specials,Regular Menu
5,2023/02/16,Thu,South Korea,McCrispy™ Classic Burger,8400.00,6.53,Specials,Regular Menu
6,2023/02/16,Thu,South Korea,Strawberry Chiller,3700.00,2.88,Specials,Regular Menu
7,2023/02/16,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.88,Specials,Regular Menu
8,2023/02/16,Thu,South Korea,BLT Egg Muffin,6000.00,4.66,Specials,Breakfast Menu
9,2023/02/16,Thu,South Korea,Bacon & Egg McMuffin,5600.00,4.35,Specials,Breakfast Menu
10,2023/02/16,Thu,South Korea,Sausage & Egg McMuffin,5700.00,4.43,Specials,Breakfast Menu
11,2023/02/16,Thu,South Korea,Strawberry Chiller,3700.00,2.88,Specials,Breakfast Menu
12,2023/02/16,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.88,Specials,Breakfast Menu
13,2023/02/16,Thu,South Korea,Double Quarter Pounder® with Cheese,8200.00,6.37,Ala Carte & Value Meals,Regular Menu
14,2023/02/16,Thu,South Korea,Quarter Pounder® with Cheese BBQ Bacon,7600.00,5.91,Ala Carte & Value Meals,Regular Menu
15,2023/02/16,Thu,South Korea,Quarter Pounder® with Cheese,6300.00,4.90,Ala Carte & Value Meals,Regular Menu
16,2023/02/16,Thu,South Korea,McCrispy™ Deluxe Burger,7500.00,5.83,Ala Carte & Value Meals,Regular Menu
17,2023/02/16,Thu,South Korea,McCrispy™ Classic Burger,6700.00,5.21,Ala Carte & Value Meals,Regular Menu
18,2023/02/16,Thu,South Korea,Triple Cheeseburger,6600.00,5.13,Ala Carte & Value Meals,Regular Menu
19,2023/02/16,Thu,South Korea,Double Bulgogi Burger,5300.00,4.12,Ala Carte & Value Meals,Regular Menu
20,2023/02/16,Thu,South Korea,Big Mac®,5700.00,4.43,Ala Carte & Value Meals,Regular Menu
21,2023/02/16,Thu,South Korea,McSpicy® Shanghai Burger,5700.00,4.43,Ala Carte & Value Meals,Regular Menu
22,2023/02/16,Thu,South Korea,1955® Burger,6800.00,5.29,Ala Carte & Value Meals,Regular Menu
23,2023/02/16,Thu,South Korea,McChicken® Mozzarella,5800.00,4.51,Ala Carte & Value Meals,Regular Menu
24,2023/02/16,Thu,South Korea,McChicken®,4300.00,3.34,Ala Carte & Value Meals,Regular Menu
25,2023/02/16,Thu,South Korea,Egg Bulgogi Burger,4300.00,3.34,Ala Carte & Value Meals,Regular Menu
26,2023/02/16,Thu,South Korea,Bulgogi Burger,3300.00,2.57,Ala Carte & Value Meals,Regular Menu
27,2023/02/16,Thu,South Korea,Supreme Shrimp Burger,5500.00,4.28,Ala Carte & Value Meals,Regular Menu
28,2023/02/16,Thu,South Korea,Shrimp Beef Burger,6600.00,5.13,Ala Carte & Value Meals,Regular Menu
29,2023/02/16,Thu,South Korea,Bacon Tomato Deluxe,6600.00,5.13,Ala Carte & Value Meals,Regular Menu
30,2023/02/16,Thu,South Korea,Cheeseburger,3300.00,2.57,Ala Carte & Value Meals,Regular Menu
31,2023/02/16,Thu,South Korea,Double Cheeseburger,5300.00,4.12,Ala Carte & Value Meals,Regular Menu
32,2023/02/16,Thu,South Korea,Hamburger,3000.00,2.33,Ala Carte & Value Meals,Regular Menu
33,2023/02/16,Thu,South Korea,Shanghai chicken snack wrap,3200.00,2.49,Snacks & Sides,Regular Menu
34,2023/02/16,Thu,South Korea,Coleslaw,2700.00,2.10,Snacks & Sides,Regular Menu
35,2023/02/16,Thu,South Korea,Golden Mozzarella Cheese Sticks 4pcs,5000.00,3.89,Snacks & Sides,Regular Menu
36,2023/02/16,Thu,South Korea,Golden Mozzarella Cheese Sticks 2pcs,3300.00,2.57,Snacks & Sides,Regular Menu
37,2023/02/16,Thu,South Korea,McNuggets® 10pc,5500.00,4.28,Snacks & Sides,Regular Menu
38,2023/02/16,Thu,South Korea,McNuggets® 6pc,4000.00,3.11,Snacks & Sides,Regular Menu
39,2023/02/16,Thu,South Korea,McNuggets® 4pc,3000.00,2.33,Snacks & Sides,Regular Menu
40,2023/02/16,Thu,South Korea,McSpicy® Chicken Tenders 4pc,5800.00,4.51,Snacks & Sides,Regular Menu
41,2023/02/16,Thu,South Korea,McSpicy® Chicken Tenders 2pc,3500.00,2.72,Snacks & Sides,Regular Menu
42,2023/02/16,Thu,South Korea,French Fries,2600.00,2.02,Snacks & Sides,Regular Menu
43,2023/02/16,Thu,South Korea,Add Sweet Sour Sauce,300.00,0.23,Snacks & Sides,Regular Menu
44,2023/02/16,Thu,South Korea,Add Sweet Chili Sauce,300.00,0.23,Snacks & Sides,Regular Menu
45,2023/02/16,Thu,South Korea,Add Cajun Sauce,300.00,0.23,Snacks & Sides,Regular Menu
46,2023/02/16,Thu,South Korea,Strawberry Chiller,3700.00,2.88,Beverages,Regular Menu
47,2023/02/16,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.88,Beverages,Regular Menu
48,2023/02/16,Thu,South Korea,Cappuccino,3700.00,2.88,Beverages,Regular Menu
49,2023/02/16,Thu,South Korea,Espresso,2400.00,1.87,Beverages,Regular Menu
50,2023/02/16,Thu,South Korea,Drip Coffee,2700.00,2.10,Beverages,Regular Menu
51,2023/02/16,Thu,South Korea,Iced Vanilla Latte,4200.00,3.26,Beverages,Regular Menu
52,2023/02/16,Thu,South Korea,Iced Café Latte (No Syrup),3700.00,2.88,Beverages,Regular Menu
53,2023/02/16,Thu,South Korea,Iced Drip Coffee (No Syrup),2200.00,1.71,Beverages,Regular Menu
54,2023/02/16,Thu,South Korea,Coca-Cola,2200.00,1.71,Beverages,Regular Menu
55,2023/02/16,Thu,South Korea,Sprite,2200.00,1.71,Beverages,Regular Menu
56,2023/02/16,Thu,South Korea,Fanta,2200.00,1.71,Beverages,Regular Menu
57,2023/02/16,Thu,South Korea,Decaffeine Vanilla Latte,4400.00,3.42,Beverages,Regular Menu
58,2023/02/16,Thu,South Korea,Decaffeine Café Latte,3900.00,3.03,Beverages,Regular Menu
59,2023/02/16,Thu,South Korea,Decaffeine Cappuccino,3900.00,3.03,Beverages,Regular Menu
60,2023/02/16,Thu,South Korea,Decaffeine Americano,3400.00,2.64,Beverages,Regular Menu
61,2023/02/16,Thu,South Korea,Decaffeine Espresso,2600.00,2.02,Beverages,Regular Menu
62,2023/02/16,Thu,South Korea,Decaffeine Iced Vanilla Latte,4400.00,3.42,Beverages,Regular Menu
63,2023/02/16,Thu,South Korea,Decaffeine Iced Café Latte (No Syrup),3900.00,3.03,Beverages,Regular Menu
64,2023/02/16,Thu,South Korea,Decaffeine Iced Americano (No Syrup),3400.00,2.64,Beverages,Regular Menu
65,2023/02/16,Thu,South Korea,Vanilla Shake,3500.00,2.72,Beverages,Regular Menu
66,2023/02/16,Thu,South Korea,Strawberry Shake,3500.00,2.72,Beverages,Regular Menu
67,2023/02/16,Thu,South Korea,Chocolate Shake,3500.00,2.72,Beverages,Regular Menu
68,2023/02/16,Thu,South Korea,Milk,2200.00,1.71,Beverages,Regular Menu
69,2023/02/16,Thu,South Korea,Mineral Water,1900.00,1.48,Beverages,Regular Menu
70,2023/02/16,Thu,South Korea,Strawberry Chiller,3700.00,2.88,Desserts,Regular Menu
71,2023/02/16,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.88,Desserts,Regular Menu
