,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
0,2022/05/03,Tue,Sri Lanka,Crispy Chicken 02 PC,730.00,2.06,Ala Carte & Value Meals,Regular
1,2022/05/03,Tue,Sri Lanka,Crispy Chicken 05 PC,1670.00,4.71,Ala Carte & Value Meals,Regular
2,2022/05/03,Tue,Sri Lanka,Spicy chicken footlong,660.00,1.86,Ala Carte & Value Meals,Regular
3,2022/05/03,Tue,Sri Lanka,Crispy Chicken Wrap,460.00,1.30,Ala Carte & Value Meals,Regular
4,2022/05/03,Tue,Sri Lanka,Tandoori Chicken Wrap,380.00,1.07,Ala Carte & Value Meals,Regular
5,2022/05/03,Tue,Sri Lanka,McSpicy Chicken Wrap,920.00,2.60,Ala Carte & Value Meals,Regular
6,2022/05/03,Tue,Sri Lanka,Crispy Chicken Burger,320.00,0.90,Ala Carte & Value Meals,Regular
7,2022/05/03,Tue,Sri Lanka,Chicken Junior,420.00,1.19,Ala Carte & Value Meals,Regular
8,2022/05/03,Tue,Sri Lanka,Beefburger,560.00,1.58,Ala Carte & Value Meals,Regular
9,2022/05/03,Tue,Sri Lanka,Cheeseburger,640.00,1.81,Ala Carte & Value Meals,Regular
10,2022/05/03,Tue,Sri Lanka,Double Cheeseburger,1020.00,2.88,Ala Carte & Value Meals,Regular
11,2022/05/03,Tue,Sri Lanka,Big Mac,1020.00,2.88,Ala Carte & Value Meals,Regular
12,2022/05/03,Tue,Sri Lanka,McChicken Burger,920.00,2.60,Ala Carte & Value Meals,Regular
13,2022/05/03,Tue,Sri Lanka,McSpicy Chicken Burger,680.00,1.92,Ala Carte & Value Meals,Regular
14,2022/05/03,Tue,Sri Lanka,Chicken Big Mac,920.00,2.60,Ala Carte & Value Meals,Regular
15,2022/05/03,Tue,Sri Lanka,Chicken McNuggets 6 PC,800.00,2.26,Ala Carte & Value Meals,Regular
16,2022/05/03,Tue,Sri Lanka,Chicken McNuggets 9 PC,1140.00,3.22,Ala Carte & Value Meals,Regular
17,2022/05/03,Tue,Sri Lanka,McSpicy Chicken Fillet,670.00,1.89,Ala Carte & Value Meals,Regular
18,2022/05/03,Tue,Sri Lanka,McSpicy Wings 3 PC,310.00,0.88,Ala Carte & Value Meals,Regular
19,2022/05/03,Tue,Sri Lanka,McSpicy Wings 6 PC,580.00,1.64,Ala Carte & Value Meals,Regular
20,2022/05/03,Tue,Sri Lanka,Filet-O-Fish,750.00,2.12,Ala Carte & Value Meals,Regular
21,2022/05/03,Tue,Sri Lanka,Veggie Burger,600.00,1.69,Ala Carte & Value Meals,Regular
22,2022/05/03,Tue,Sri Lanka,Sausage & Egg Burger,320.00,0.90,Breakfast & Value Meals,Breakfast
23,2022/05/03,Tue,Sri Lanka,Egg Burger,240.00,0.68,Breakfast & Value Meals,Breakfast
24,2022/05/03,Tue,Sri Lanka,Omelette Burger,240.00,0.68,Breakfast & Value Meals,Breakfast
25,2022/05/03,Tue,Sri Lanka,Seeni Sambol Burger,300.00,0.85,Breakfast & Value Meals,Breakfast
26,2022/05/03,Tue,Sri Lanka,Hash Brown,190.00,0.54,Breakfast & Value Meals,Breakfast
27,2022/05/03,Tue,Sri Lanka,Crispy Chicken Wrap,460.00,1.30,Breakfast & Value Meals,Breakfast
