,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2023/04/02,Sun,Sri Lanka,Crispy Chicken 02 PC,1220.00,3.71,Ala Carte & Value Meals,Regular
2,2023/04/02,Sun,Sri Lanka,Crispy Chicken 05 PC,3080.00,9.36,Ala Carte & Value Meals,Regular
3,2023/04/02,Sun,Sri Lanka,Spicy chicken footlong,840.00,2.55,Ala Carte & Value Meals,Regular
4,2023/04/02,Sun,Sri Lanka,Crispy Chicken Wrap,840.00,2.55,Ala Carte & Value Meals,Regular
5,2023/04/02,Sun,Sri Lanka,McSpicy Chicken Wrap,1700.00,5.17,Ala Carte & Value Meals,Regular
6,2023/04/02,Sun,Sri Lanka,Crispy Chicken Burger,580.00,1.76,Ala Carte & Value Meals,Regular
7,2023/04/02,Sun,Sri Lanka,Chicken Junior,780.00,2.37,Ala Carte & Value Meals,Regular
8,2023/04/02,Sun,Sri Lanka,Beefburger,1050.00,3.19,Ala Carte & Value Meals,Regular
9,2023/04/02,Sun,Sri Lanka,Cheeseburger,1200.00,3.65,Ala Carte & Value Meals,Regular
10,2023/04/02,Sun,Sri Lanka,Double Cheeseburger,1880.00,5.71,Ala Carte & Value Meals,Regular
11,2023/04/02,Sun,Sri Lanka,Big Mac,1820.00,5.53,Ala Carte & Value Meals,Regular
12,2023/04/02,Sun,Sri Lanka,McChicken Burger,1700.00,5.17,Ala Carte & Value Meals,Regular
13,2023/04/02,Sun,Sri Lanka,McSpicy Chicken Burger,1100.00,3.34,Ala Carte & Value Meals,Regular
14,2023/04/02,Sun,Sri Lanka,Chicken Big Mac,1700.00,5.17,Ala Carte & Value Meals,Regular
15,2023/04/02,Sun,Sri Lanka,Chicken McNuggets 6 PC,1500.00,4.56,Ala Carte & Value Meals,Regular
16,2023/04/02,Sun,Sri Lanka,Chicken McNuggets 9 PC,2090.00,6.35,Ala Carte & Value Meals,Regular
17,2023/04/02,Sun,Sri Lanka,McSpicy Chicken Fillet,1320.00,4.01,Ala Carte & Value Meals,Regular
18,2023/04/02,Sun,Sri Lanka,McSpicy Wings 3 PC,570.00,1.73,Ala Carte & Value Meals,Regular
19,2023/04/02,Sun,Sri Lanka,McSpicy Wings 6 PC,1070.00,3.25,Ala Carte & Value Meals,Regular
20,2023/04/02,Sun,Sri Lanka,Filet-O-Fish,1380.00,4.19,Ala Carte & Value Meals,Regular
21,2023/04/02,Sun,Sri Lanka,Veggie Burger,1100.00,3.34,Ala Carte & Value Meals,Regular
22,2023/04/02,Sun,Sri Lanka,Sausage & Egg Burger,580.00,1.76,Breakfast & Value Meals,Breakfast
23,2023/04/02,Sun,Sri Lanka,Egg Burger,440.00,1.34,Breakfast & Value Meals,Breakfast
24,2023/04/02,Sun,Sri Lanka,Hash Brown,340.00,1.03,Breakfast & Value Meals,Breakfast
25,2023/04/02,Sun,Sri Lanka,Crispy Chicken Wrap,840.00,2.55,Breakfast & Value Meals,Breakfast
26,2023/04/02,Sun,Sri Lanka,Crispy Chicken Burger,580.00,1.76,Breakfast & Value Meals,Breakfast
27,2023/04/02,Sun,Sri Lanka,Chicken Junior,780.00,2.37,Breakfast & Value Meals,Breakfast
28,2023/04/02,Sun,Sri Lanka,McSpicy Chicken Burger,1100.00,3.34,Breakfast & Value Meals,Breakfast
29,2023/04/02,Sun,Sri Lanka,Double Chicken Rice meal,1250.00,3.80,Rice,Regular
30,2023/04/02,Sun,Sri Lanka,Curry N Rice,560.00,1.70,Rice,Regular
31,2023/04/02,Sun,Sri Lanka,McRice Chicken,970.00,2.95,Rice,Regular
32,2023/04/02,Sun,Sri Lanka,McRice - Fish,970.00,2.95,Rice,Regular
