,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
1,2024/07/14,Sun,Malaysia,Spicy Korean Beef Burger,14.10,3.02,Promotion,Regular
2,2024/07/14,Sun,Malaysia,Double Spicy Korean Beef Burger,17.88,3.83,Promotion,Regular
3,2024/07/14,Sun,Malaysia,Spicy Korean Chicken Burger,14.10,3.02,Promotion,Regular
4,2024/07/14,Sun,Malaysia,Double Spicy Korean Chicken Burger,17.88,3.83,Promotion,Regular
5,2024/07/14,Sun,Malaysia,Spicy Tomato Chicken Wrap,12.22,2.62,Promotion,Regular
6,2024/07/14,Sun,Malaysia,Gula Melaka OREO® McFlurry™,8.40,1.80,Promotion,Regular
7,2024/07/14,Sun,Malaysia,Strawberry Chocolate Pie,6.04,1.29,Promotion,Regular
8,2024/07/14,Sun,Malaysia,Orange McFizz™,6.70,1.44,Promotion,Regular
9,2024/07/14,Sun,Malaysia,Banana Pie,5.57,1.19,Promotion,Regular
10,2024/07/14,Sun,Malaysia,OREO® McFlurry™,7.78,1.67,Promotion,Regular
11,2024/07/14,Sun,Malaysia,Chocolate Sundae & Chocolate,6.04,1.29,Promotion,Regular
12,2024/07/14,Sun,Malaysia,Chocolate Sundae & Strawberry,6.04,1.29,Promotion,Regular
13,2024/07/14,Sun,Malaysia,Ice Blended Mango Peach,10.28,2.20,Promotion,Regular
14,2024/07/14,Sun,Malaysia,Ice Blended Lychee Berry,10.28,2.20,Promotion,Regular
15,2024/07/14,Sun,Malaysia,Mekdi Lunch Box,25.00,5.35,Promotion,Regular
16,2024/07/14,Sun,Malaysia,Omelette Wrap with Hash Browns & Chicken Sausage,10.33,2.21,Promotion,Breakfast
17,2024/07/14,Sun,Malaysia,Omelette Wrap with Hash Browns & Crispy Chicken,10.33,2.21,Promotion,Breakfast
18,2024/07/14,Sun,Malaysia,Gula Melaka OREO® McFlurry™,8.40,1.80,Promotion,Breakfast
19,2024/07/14,Sun,Malaysia,Strawberry Chocolate Pie,6.04,1.29,Promotion,Breakfast
20,2024/07/14,Sun,Malaysia,Orange McFizz™,6.70,1.44,Promotion,Breakfast
21,2024/07/14,Sun,Malaysia,Banana Pie,5.57,1.19,Promotion,Breakfast
22,2024/07/14,Sun,Malaysia,OREO® McFlurry™,7.78,1.67,Promotion,Breakfast
23,2024/07/14,Sun,Malaysia,Chocolate Sundae & Chocolate,6.04,1.29,Promotion,Breakfast
24,2024/07/14,Sun,Malaysia,Chocolate Sundae & Strawberry,6.04,1.29,Promotion,Breakfast
25,2024/07/14,Sun,Malaysia,Ice Blended Mango Peach,10.28,2.20,Promotion,Breakfast
26,2024/07/14,Sun,Malaysia,Ice Blended Lychee Berry,10.28,2.20,Promotion,Breakfast
27,2024/07/14,Sun,Malaysia,Mekdi Lunch Box,25.00,5.35,Promotion,Breakfast
28,2024/07/14,Sun,Malaysia,Spicy Korean Beef Burger,14.10,3.02,Burgers,Regular
29,2024/07/14,Sun,Malaysia,Double Spicy Korean Beef Burger,17.88,3.83,Burgers,Regular
30,2024/07/14,Sun,Malaysia,Spicy Korean Chicken Burger,14.10,3.02,Burgers,Regular
31,2024/07/14,Sun,Malaysia,Double Spicy Korean Chicken Burger,17.88,3.83,Burgers,Regular
32,2024/07/14,Sun,Malaysia,Spicy Tomato Chicken Wrap,12.22,2.62,Burgers,Regular
33,2024/07/14,Sun,Malaysia,Double Cheeseburger,11.93,2.56,Burgers,Regular
34,2024/07/14,Sun,Malaysia,Spicy Cheese,9.76,2.09,Burgers,Regular
35,2024/07/14,Sun,Malaysia,Spicy Double Cheese,12.88,2.76,Burgers,Regular
36,2024/07/14,Sun,Malaysia,Big Mac™,13.40,2.87,Burgers,Regular
37,2024/07/14,Sun,Malaysia,Double Spicy Chicken with Cheese,9.39,2.01,Burgers,Regular
38,2024/07/14,Sun,Malaysia,McChicken®,9.43,2.02,Burgers,Regular
39,2024/07/14,Sun,Malaysia,Spicy Chicken McDeluxe™,13.54,2.90,Burgers,Regular
40,2024/07/14,Sun,Malaysia,Spicy Crispy Chicken,12.17,2.61,Burgers,Regular
41,2024/07/14,Sun,Malaysia,GCB™,13.63,2.92,Burgers,Regular
42,2024/07/14,Sun,Malaysia,Chicken Burger,8.02,1.72,Burgers,Regular
43,2024/07/14,Sun,Malaysia,Filet-O-Fish™,9.95,2.13,Burgers,Regular
44,2024/07/14,Sun,Malaysia,6pcs Chicken McNuggets®,10.61,2.27,McNuggets,Regular
45,2024/07/14,Sun,Malaysia,9pcs Chicken McNuggets® ,14.10,3.02,McNuggets,Regular
46,2024/07/14,Sun,Malaysia,20pcs Chicken McNuggets®,26.70,5.72,McNuggets,Regular
47,2024/07/14,Sun,Malaysia,Ayam Goreng McD™ Spicy (1pc),8.40,1.80,Ayam Goreng McD,Regular
48,2024/07/14,Sun,Malaysia,Ayam Goreng McD™ Regular (1pc),8.40,1.80,Ayam Goreng McD,Regular
49,2024/07/14,Sun,Malaysia,Ayam Goreng McD™ Spicy (2pcs),14.62,3.13,Ayam Goreng McD,Regular
50,2024/07/14,Sun,Malaysia,Ayam Goreng McD™ Regular (2pcs) ,14.62,3.13,Ayam Goreng McD,Regular
51,2024/07/14,Sun,Malaysia,Ayam Goreng McD™ Mixed (2pcs),14.62,3.13,Ayam Goreng McD,Regular
52,2024/07/14,Sun,Malaysia,Ayam Goreng McD™ Spicy (3pcs),18.40,3.94,Ayam Goreng McD,Regular
