,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
1,2025/03/27,Thu,Malaysia,3pcs Ayam Tenders McD Spicy,15.00,3.39,Promotions,After Dinner Menu
2,2025/03/27,Thu,Malaysia,3pcs Ayam Tenders McD Spicy Medium McValue Meal,17.88,4.04,Promotions,After Dinner Menu
3,2025/03/27,Thu,Malaysia,3pcs Ayam Tenders McD Spicy Large McValue Meal,20.24,4.57,Promotions,After Dinner Menu
4,2025/03/27,Thu,Malaysia,5pcs Ayam Tenders McD Spicy,19.06,4.30,Promotions,After Dinner Menu
5,2025/03/27,Thu,Malaysia,5pcs Ayam Tenders McD Spicy Medium McValue Meal,23.11,5.22,Promotions,After Dinner Menu
6,2025/03/27,Thu,Malaysia,5pcs Ayam Tenders McD Spicy Large McValue Meal,25.47,5.75,Promotions,After Dinner Menu
7,2025/03/27,Thu,Malaysia,Durian McFlurry,8.10,1.83,Promotions,After Dinner Menu
8,2025/03/27,Thu,Malaysia,Apple Pie,5.33,1.20,Promotions,After Dinner Menu
9,2025/03/27,Thu,Malaysia,Nasi Kari Mekdi + 1pc Ayam Goreng McD Spicy,12.22,2.76,Promotions,After Dinner Menu
10,2025/03/27,Thu,Malaysia,Nasi Kari Mekdi + 1pc Ayam Goreng McD Regular,12.22,2.76,Promotions,After Dinner Menu
11,2025/03/27,Thu,Malaysia,Iced Mango Peach,6.51,1.47,Promotions,After Dinner Menu
12,2025/03/27,Thu,Malaysia,Iced Lychee Berry,6.51,1.47,Promotions,After Dinner Menu
13,2025/03/27,Thu,Malaysia,Ice Blended Mango Peach,10.28,2.32,Promotions,After Dinner Menu
14,2025/03/27,Thu,Malaysia,Ice Blended Lychee Berry,10.28,2.32,Promotions,After Dinner Menu
15,2025/03/27,Thu,Malaysia,McChicken,9.43,2.13,Burgers,After Dinner Menu
16,2025/03/27,Thu,Malaysia,McChicken Medium McValue Meal,14.10,3.18,Burgers,After Dinner Menu
17,2025/03/27,Thu,Malaysia,McChicken Large McValue Meal,16.46,3.72,Burgers,After Dinner Menu
18,2025/03/27,Thu,Malaysia,Spicy Chicken McDeluxe,13.87,3.13,Burgers,After Dinner Menu
19,2025/03/27,Thu,Malaysia,Spicy Chicken McDeluxe Medium McValue Meal,18.11,4.09,Burgers,After Dinner Menu
20,2025/03/27,Thu,Malaysia,Spicy Chicken McDeluxe Large McValue Meal,20.47,4.62,Burgers,After Dinner Menu
21,2025/03/27,Thu,Malaysia,GCB,13.77,3.11,Burgers,After Dinner Menu
22,2025/03/27,Thu,Malaysia,GCB Medium McValue Meal,17.92,4.04,Burgers,After Dinner Menu
23,2025/03/27,Thu,Malaysia,GCB Large McValue Meal,20.28,4.58,Burgers,After Dinner Menu
24,2025/03/27,Thu,Malaysia,Spicy Crispy Chicken Burger,12.55,2.83,Burgers,After Dinner Menu
25,2025/03/27,Thu,Malaysia,Spicy Crispy Chicken Burger Medium McValue Meal,16.51,3.73,Burgers,After Dinner Menu
26,2025/03/27,Thu,Malaysia,Spicy Crispy Chicken Burger Large McValue Meal,18.87,4.26,Burgers,After Dinner Menu
27,2025/03/27,Thu,Malaysia,Double Spicy Chicken with Cheese,10.33,2.33,Burgers,After Dinner Menu
28,2025/03/27,Thu,Malaysia,Double Spicy Chicken with Cheese Small Meal,12.22,2.76,Burgers,After Dinner Menu
29,2025/03/27,Thu,Malaysia,Double Spicy Chicken with Cheese Medium McValue Meal,14.58,3.29,Burgers,After Dinner Menu
30,2025/03/27,Thu,Malaysia,Spicy Tomato Chicken Wrap,10.33,2.33,Burgers,After Dinner Menu
31,2025/03/27,Thu,Malaysia,Spicy Tomato Chicken Wrap Small Meal,12.22,2.76,Burgers,After Dinner Menu
32,2025/03/27,Thu,Malaysia,Spicy Tomato Chicken Wrap Medium McValue Meal,14.58,3.29,Burgers,After Dinner Menu
33,2025/03/27,Thu,Malaysia,Chicken Burger,8.82,1.99,Burgers,After Dinner Menu
34,2025/03/27,Thu,Malaysia,Chicken Burger Small Meal,10.33,2.33,Burgers,After Dinner Menu
35,2025/03/27,Thu,Malaysia,Chicken Burger Medium McValue Meal,12.69,2.86,Burgers,After Dinner Menu
36,2025/03/27,Thu,Malaysia,Filet-O-Fish,9.95,2.25,Burgers,After Dinner Menu
37,2025/03/27,Thu,Malaysia,Filet-O-Fish Medium McValue Meal,14.39,3.25,Burgers,After Dinner Menu
38,2025/03/27,Thu,Malaysia,Filet-O-Fish Large McValue Meal,16.75,3.78,Burgers,After Dinner Menu
39,2025/03/27,Thu,Malaysia,Big Mac,13.77,3.11,Burgers,After Dinner Menu
40,2025/03/27,Thu,Malaysia,Big Mac Medium McValue Meal,17.83,4.02,Burgers,After Dinner Menu
41,2025/03/27,Thu,Malaysia,Big Mac Large McValue Meal,20.19,4.56,Burgers,After Dinner Menu
42,2025/03/27,Thu,Malaysia,Double Cheeseburger,12.22,2.76,Burgers,After Dinner Menu
43,2025/03/27,Thu,Malaysia,Double Cheeseburger Medium McValue Meal,16.93,3.82,Burgers,After Dinner Menu
44,2025/03/27,Thu,Malaysia,Double Cheeseburger Large McValue Meal,19.29,4.35,Burgers,After Dinner Menu
45,2025/03/27,Thu,Malaysia,Spicy Double Cheese,13.16,2.97,Burgers,After Dinner Menu
46,2025/03/27,Thu,Malaysia,Spicy Double Cheese Medium McValue Meal,17.83,4.02,Burgers,After Dinner Menu
47,2025/03/27,Thu,Malaysia,Spicy Double Cheese Large McValue Meal,20.19,4.56,Burgers,After Dinner Menu
48,2025/03/27,Thu,Malaysia,Spicy Beef Burger,9.39,2.12,Burgers,After Dinner Menu
49,2025/03/27,Thu,Malaysia,Spicy Beef Burger Small Meal,11.27,2.54,Burgers,After Dinner Menu
50,2025/03/27,Thu,Malaysia,Spicy Beef Burger Medium McValue Meal,13.63,3.08,Burgers,After Dinner Menu
51,2025/03/27,Thu,Malaysia,Spicy Beef Burger Special,10.33,2.33,Burgers,After Dinner Menu
52,2025/03/27,Thu,Malaysia,Spicy Beef Burger Special Small Meal,12.22,2.76,Burgers,After Dinner Menu
53,2025/03/27,Thu,Malaysia,Spicy Beef Burger Special Medium McValue Meal,14.58,3.29,Burgers,After Dinner Menu
