,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
1,2022/11/05,Sat,Malaysia,Double Cheeseburger,11.27,2.37,Promotion,Regular
2,2022/11/05,Sat,Malaysia,Spicy Double Beef with Cheese,11.27,2.37,Promotion,Regular
3,2022/11/05,Sat,Malaysia,Big Mac™,13.16,2.77,Promotion,Regular
4,2022/11/05,Sat,Malaysia,Iced Blended Milo with KitKat,13.68,2.88,Promotion,Regular
5,2022/11/05,Sat,Malaysia,Iced Blended Milo,14.06,2.96,Promotion,Regular
6,2022/11/05,Sat,Malaysia,Apple Pie,4.67,0.98,Promotion,Regular
7,2022/11/05,Sat,Malaysia,OREO® McFlurry™,7.08,1.49,Promotion,Regular
8,2022/11/05,Sat,Malaysia,Minions Carrier,30.00,6.32,Promotion,Regular
9,2022/11/05,Sat,Malaysia,Sausage McMuffin with Egg,5.65,1.19,Promotion,Breakfast
10,2022/11/05,Sat,Malaysia,Nasi Lemak McD™,5.65,1.19,Promotion,Breakfast
11,2022/11/05,Sat,Malaysia,Iced Blended Milo with KitKat,13.68,2.88,Promotion,Breakfast
12,2022/11/05,Sat,Malaysia,Iced Blended Milo,14.06,2.96,Promotion,Breakfast
13,2022/11/05,Sat,Malaysia,Apple Pie,4.67,0.98,Promotion,Breakfast
14,2022/11/05,Sat,Malaysia,OREO® McFlurry™,7.08,1.49,Promotion,Breakfast
15,2022/11/05,Sat,Malaysia,Minions Carrier,30.00,6.32,Promotion,Breakfast
16,2022/11/05,Sat,Malaysia,McChicken®,11.27,2.37,Jimat Combo,Regular
17,2022/11/05,Sat,Malaysia,6pcs Chicken McNuggets®,11.27,2.37,Jimat Combo,Regular
18,2022/11/05,Sat,Malaysia,Filet-O-Fish,12.22,2.57,Jimat Combo,Regular
19,2022/11/05,Sat,Malaysia,Double Cheeseburger,12.22,2.57,Jimat Combo,Regular
20,2022/11/05,Sat,Malaysia,Spicy Double Beef with Cheese,12.22,2.57,Jimat Combo,Regular
21,2022/11/05,Sat,Malaysia,2x Ayam Goreng McD™ (2pcs) (M),25.00,5.27,Crazy Hour,Regular
22,2022/11/05,Sat,Malaysia,2x Ayam Goreng McD™ (3pcs) (M),33.96,7.15,Crazy Hour,Regular
23,2022/11/05,Sat,Malaysia,2x Spicy McCrispy Chicken (M),19.81,4.17,Crazy Hour,Regular
24,2022/11/05,Sat,Malaysia,Bubur (M) + 1pc AG Spicy + Iced Milo (M),12.26,2.58,Crazy Hour,Regular
25,2022/11/05,Sat,Malaysia,Bubur (M) + 1pc AG Regular + Iced Milo (M),12.26,2.58,Crazy Hour,Regular
26,2022/11/05,Sat,Malaysia,2x Spicy Double Beef (M),18.87,3.97,Crazy Hour,Regular
27,2022/11/05,Sat,Malaysia,2x Nasi Lemak + AG Regular (M),25.10,5.29,Crazy Hour,Regular
28,2022/11/05,Sat,Malaysia,2x Nasi Lemak + AG Spicy (M),25.10,5.29,Crazy Hour,Regular
29,2022/11/05,Sat,Malaysia,2x McChicken (M),16.98,3.58,Crazy Hour,Regular
30,2022/11/05,Sat,Malaysia,2x Spicy Chicken McDeluxe (M),23.58,4.97,Crazy Hour,Regular
31,2022/11/05,Sat,Malaysia,2x Big Mac (M),23.58,4.97,Crazy Hour,Regular
32,2022/11/05,Sat,Malaysia,2x Double Cheeseburger (M),23.58,4.97,Crazy Hour,Regular
33,2022/11/05,Sat,Malaysia,2x Filet-O-Fish (M),16.98,3.58,Crazy Hour,Regular
34,2022/11/05,Sat,Malaysia,5pc AG Spicy,18.86,3.97,Crazy Hour,Regular
35,2022/11/05,Sat,Malaysia,5pc AG Regular,18.86,3.97,Crazy Hour,Regular
36,2022/11/05,Sat,Malaysia,5pc AG Mix,18.86,3.97,Crazy Hour,Regular
37,2022/11/05,Sat,Malaysia,McChicken® Super Value Meal,16.51,3.48,Super Value Meals,Regular
38,2022/11/05,Sat,Malaysia,Filet-O-Fish™ Super Value Meal,16.51,3.48,Super Value Meals,Regular
39,2022/11/05,Sat,Malaysia,6pcs Chicken McNuggets® Super Value Meal,16.51,3.48,Super Value Meals,Regular
40,2022/11/05,Sat,Malaysia,9pcs Chicken McNuggets® Super Value Meal,19.81,4.17,Super Value Meals,Regular
41,2022/11/05,Sat,Malaysia,Spicy Chicken McDeluxe™ Super Value Meal,20.28,4.27,Super Value Meals,Regular
42,2022/11/05,Sat,Malaysia,GCB™ Super Value Meal,20.28,4.27,Super Value Meals,Regular
43,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Regular (2pcs) Super Value Meal,20.28,4.27,Super Value Meals,Regular
44,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Spicy (2pcs) Super Value Meal,20.28,4.27,Super Value Meals,Regular
45,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Spicy (3pcs) Super Value Meal,24.53,5.17,Super Value Meals,Regular
46,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Regular (3pcs) Super Value Meal,24.53,5.17,Super Value Meals,Regular
47,2022/11/05,Sat,Malaysia,Double Cheeseburger Super Value Meal,18.40,3.88,Super Value Meals,Regular
48,2022/11/05,Sat,Malaysia,Big Mac™ Super Value Meal,19.34,4.07,Super Value Meals,Regular
49,2022/11/05,Sat,Malaysia,Quarter Pounder™ with Cheese Super Value Meal,20.28,4.27,Super Value Meals,Regular
50,2022/11/05,Sat,Malaysia,Spicy Beef Deluxe Burger with Cheese,12.26,2.58,Burgers,Regular
51,2022/11/05,Sat,Malaysia,Double Spicy Beef Deluxe Burger with Cheese,17.92,3.77,Burgers,Regular
52,2022/11/05,Sat,Malaysia,Spicy Double Beef with Cheese,11.27,2.37,Burgers,Regular
53,2022/11/05,Sat,Malaysia,Spicy Triple Beef with Cheese,16.93,3.57,Burgers,Regular
54,2022/11/05,Sat,Malaysia,Double Cheeseburger,11.27,2.37,Burgers,Regular
55,2022/11/05,Sat,Malaysia,Triple Cheeseburger ,16.93,3.57,Burgers,Regular
56,2022/11/05,Sat,Malaysia,Quarter Pounder™ with Cheese,13.16,2.77,Burgers,Regular
57,2022/11/05,Sat,Malaysia,Double Quarter Pounder™ with Cheese,18.92,3.98,Burgers,Regular
58,2022/11/05,Sat,Malaysia,Big Mac™,13.16,2.77,Burgers,Regular
59,2022/11/05,Sat,Malaysia,Mega Mac™,18.82,3.96,Burgers,Regular
60,2022/11/05,Sat,Malaysia,Spicy McCrispy Chicken,11.60,2.44,Burgers,Regular
61,2022/11/05,Sat,Malaysia,Double Spicy McCrispy Chicken,15.38,3.24,Burgers,Regular
62,2022/11/05,Sat,Malaysia,McChicken®,8.96,1.89,Burgers,Regular
63,2022/11/05,Sat,Malaysia,Double McChicken®,12.74,2.68,Burgers,Regular
64,2022/11/05,Sat,Malaysia,Spicy Chicken McDeluxe™,12.97,2.73,Burgers,Regular
65,2022/11/05,Sat,Malaysia,Double Spicy Chicken McDeluxe™,20.05,4.22,Burgers,Regular
66,2022/11/05,Sat,Malaysia,GCB™,12.97,2.73,Burgers,Regular
67,2022/11/05,Sat,Malaysia,Double GCB™,20.05,4.22,Burgers,Regular
68,2022/11/05,Sat,Malaysia,Filet-O-Fish™,9.39,1.98,Burgers,Regular
69,2022/11/05,Sat,Malaysia,Double Filet-O-Fish™,13.16,2.77,Burgers,Regular
70,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ (10pcs),56.60,11.92,Ayam Goreng & Nuggets,Regular
71,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ (5pcs),31.13,6.56,Ayam Goreng & Nuggets,Regular
72,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Mixed (2pcs),14.15,2.98,Ayam Goreng & Nuggets,Regular
73,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Mixed (3pcs),16.98,3.58,Ayam Goreng & Nuggets,Regular
74,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Regular (2pcs) ,14.15,2.98,Ayam Goreng & Nuggets,Regular
75,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Spicy (2pcs),14.15,2.98,Ayam Goreng & Nuggets,Regular
76,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Regular (3pcs),16.98,3.58,Ayam Goreng & Nuggets,Regular
77,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Spicy (3pcs),16.98,3.58,Ayam Goreng & Nuggets,Regular
78,2022/11/05,Sat,Malaysia,6pcs Chicken McNuggets®,9.72,2.05,Ayam Goreng & Nuggets,Regular
79,2022/11/05,Sat,Malaysia,9pcs Chicken McNuggets® ,13.11,2.76,Ayam Goreng & Nuggets,Regular
80,2022/11/05,Sat,Malaysia,20pcs Chicken McNuggets®,25.61,5.39,Ayam Goreng & Nuggets,Regular
81,2022/11/05,Sat,Malaysia,Nasi Lemak McD Set A,15.09,3.18,Nasi Lemak & Bubur,Regular
82,2022/11/05,Sat,Malaysia,Nasi Lemak McD Set B,17.92,3.77,Nasi Lemak & Bubur,Regular
83,2022/11/05,Sat,Malaysia,Nasi Lemak McD™ + Spicy Chicken McDeluxe Cutlet,16.60,3.50,Nasi Lemak & Bubur,Regular
84,2022/11/05,Sat,Malaysia,Nasi Lemak McD™ + GCB Cutlet,16.60,3.50,Nasi Lemak & Bubur,Regular
85,2022/11/05,Sat,Malaysia,Bubur Ayam McD™,7.08,1.49,Nasi Lemak & Bubur,Regular
86,2022/11/05,Sat,Malaysia,Family Meal A,39.62,8.34,Family Meal,Regular
87,2022/11/05,Sat,Malaysia,Family Meal B,49.06,10.33,Family Meal,Regular
