,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
1,2023/12/21,Thu,Pakistan,1 Spicy McCrispy + 1 Regular Drink,302.00,1.06,Delivery Exclusive,Regular
2,2023/12/21,Thu,Pakistan,Hot N Crispy,168.00,0.59,Delivery Exclusive,Regular
3,2023/12/21,Thu,Pakistan,Cappuccino or Latte,547.00,1.93,Delivery Exclusive,Regular
4,2023/12/21,Thu,Pakistan,Red Velvet Lave Cake,315.00,1.11,Delivery Exclusive,Regular
5,2023/12/21,Thu,Pakistan,Any Donut with Coffee,547.00,1.93,Delivery Exclusive,Regular
6,2023/12/21,Thu,Pakistan,Hash Brown with Coffee,504.00,1.77,Delivery Exclusive,Breakfast
7,2023/12/21,Thu,Pakistan,Cappuccino or Latte,547.00,1.93,Delivery Exclusive,Breakfast
8,2023/12/21,Thu,Pakistan,Red Velvet Lave Cake,315.00,1.11,Delivery Exclusive,Breakfast
9,2023/12/21,Thu,Pakistan,Any Donut with Coffee,547.00,1.93,Delivery Exclusive,Breakfast
10,2023/12/21,Thu,Pakistan,McFlurry - Fudge Brownie,483.00,1.70,★What's New★,Regular
11,2023/12/21,Thu,Pakistan,1 Spicy McCrispy + 1 Regular Drink,302.00,1.06,Chicken & Fish,Regular
12,2023/12/21,Thu,Pakistan,Hot n Crispy Burger,332.00,1.17,Chicken & Fish,Regular
13,2023/12/21,Thu,Pakistan,Spicy Chicken Burger,332.00,1.17,Chicken & Fish,Regular
14,2023/12/21,Thu,Pakistan,Spicy McCrispy,522.00,1.84,Chicken & Fish,Regular
15,2023/12/21,Thu,Pakistan,Chicken Mac,659.00,2.32,Chicken & Fish,Regular
16,2023/12/21,Thu,Pakistan,McChicken ,478.00,1.68,Chicken & Fish,Regular
17,2023/12/21,Thu,Pakistan,Grand Chicken Spicy,823.00,2.90,Chicken & Fish,Regular
18,2023/12/21,Thu,Pakistan,McArabia,543.00,1.91,Chicken & Fish,Regular
19,2023/12/21,Thu,Pakistan,Chicken McNuggets 6 pcs,530.00,1.87,Chicken & Fish,Regular
