,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
1,2024/01/26,Fri,Pakistan,Double Filet-o-Fish with Regular drink,513.00,1.83,Delivery Exclusive,Regular
2,2024/01/26,Fri,Pakistan,1 Spicy McCrispy + 1 Regular Drink,302.00,1.08,Delivery Exclusive,Regular
3,2024/01/26,Fri,Pakistan,Hot N Crispy,168.00,0.60,Delivery Exclusive,Regular
4,2024/01/26,Fri,Pakistan,Red Velvet Lave Cake,315.00,1.13,Delivery Exclusive,Regular
5,2024/01/26,Fri,Pakistan,Filet-o-Fish with Regular drink,341.00,1.22,Delivery Exclusive,Regular
6,2024/01/26,Fri,Pakistan,Hash Brown with Coffee,504.00,1.80,Delivery Exclusive,Breakfast
7,2024/01/26,Fri,Pakistan,Red Velvet Lave Cake,315.00,1.13,Delivery Exclusive,Breakfast
8,2024/01/26,Fri,Pakistan,Double Filet-o-Fish with Regular drink,513.00,1.83,★What's New★,Regular
9,2024/01/26,Fri,Pakistan,McFlurry - Fudge Brownie,483.00,1.73,★What's New★,Regular
10,2024/01/26,Fri,Pakistan,1 Spicy McCrispy + 1 Regular Drink,302.00,1.08,Chicken & Fish,Regular
11,2024/01/26,Fri,Pakistan,Hot n Crispy Burger,332.00,1.19,Chicken & Fish,Regular
12,2024/01/26,Fri,Pakistan,Spicy Chicken Burger,332.00,1.19,Chicken & Fish,Regular
13,2024/01/26,Fri,Pakistan,Spicy McCrispy,522.00,1.87,Chicken & Fish,Regular
14,2024/01/26,Fri,Pakistan,Chicken Mac,659.00,2.36,Chicken & Fish,Regular
15,2024/01/26,Fri,Pakistan,McChicken ,478.00,1.71,Chicken & Fish,Regular
16,2024/01/26,Fri,Pakistan,Grand Chicken Spicy,823.00,2.94,Chicken & Fish,Regular
17,2024/01/26,Fri,Pakistan,McArabia,543.00,1.94,Chicken & Fish,Regular
18,2024/01/26,Fri,Pakistan,Chicken McNuggets 6 pcs,530.00,1.89,Chicken & Fish,Regular
19,2024/01/26,Fri,Pakistan,Chicken McNuggets 9 pcs,694.00,2.48,Chicken & Fish,Regular
20,2024/01/26,Fri,Pakistan,Chicken McNuggets 20 pcs,1151.00,4.11,Chicken & Fish,Regular
21,2024/01/26,Fri,Pakistan,Chicken Burger with Cheese,384.00,1.37,Chicken & Fish,Regular
22,2024/01/26,Fri,Pakistan,Mini McArabia,332.00,1.19,Chicken & Fish,Regular
23,2024/01/26,Fri,Pakistan,Cheese Burger,392.00,1.40,Chicken & Fish,Regular
24,2024/01/26,Fri,Pakistan,Filet-O-Fish ,616.00,2.20,Chicken & Fish,Regular
25,2024/01/26,Fri,Pakistan,Garlic Mayo Wrap,401.00,1.43,Chicken & Fish,Regular
26,2024/01/26,Fri,Pakistan,Chipotle Wrap,401.00,1.43,Chicken & Fish,Regular
27,2024/01/26,Fri,Pakistan,BBQ Wrap,401.00,1.43,Chicken & Fish,Regular
28,2024/01/26,Fri,Pakistan,Big Mac,703.00,2.51,Beef,Regular
29,2024/01/26,Fri,Pakistan,Quarter Pounder,703.00,2.51,Beef,Regular
30,2024/01/26,Fri,Pakistan,McRoyale ,703.00,2.51,Beef,Regular
31,2024/01/26,Fri,Pakistan,Double Cheese Burger,651.00,2.33,Beef,Regular
32,2024/01/26,Fri,Pakistan,Spicy McCrispy Double,776.00,2.77,Double Patty Burgers,Regular
33,2024/01/26,Fri,Pakistan,Hot n Crispy Double,345.00,1.23,Double Patty Burgers,Regular
34,2024/01/26,Fri,Pakistan,McChicken Double,603.00,2.16,Double Patty Burgers,Regular
