,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2023/11/23,Thu,Singapore,Chicken McCrispy® (2pc) K-Sweet & Spicy Special,11.25,8.38,Promotion Meals,Regular Menu
2,2023/11/23,Thu,Singapore,Chicken McCrispy® (2pc) K-Sweet & Spicy Meal,10.25,7.64,Promotion Meals,Regular Menu
3,2023/11/23,Thu,Singapore,2x Value Meal: 2pc K-CMC® EVM + McSpicy® EVM,19.70,14.68,Promotion Meals,Regular Menu
4,2023/11/23,Thu,Singapore,Chicken McCrispy® (6pc) K-Sweet & Spicy Bundle,23.15,17.25,Promotion Meals,Regular Menu
5,2023/11/23,Thu,Singapore,Crisscut® Fries,5.70,4.25,Promotion Meals,Regular Menu
6,2023/11/23,Thu,Singapore,Dark Chocolate Sea Salt Frappé,5.55,4.13,Promotion Meals,Regular Menu
7,2023/11/23,Thu,Singapore,White Peach Yoghurt Pie,2.20,1.64,Promotion Meals,Regular Menu
8,2023/11/23,Thu,Singapore,Chicken McCrispy® (6pc) K-Sweet & Spicy Bundle,23.15,17.25,Chicken McCrispy®,Regular Menu
9,2023/11/23,Thu,Singapore,Chicken McCrispy® (2pc) K-Sweet & Spicy Meal,10.25,7.64,Chicken McCrispy®,Regular Menu
10,2023/11/23,Thu,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.95,17.10,Chicken McCrispy®,Regular Menu
11,2023/11/23,Thu,Singapore,Chicken McCrispy® (2pc) Spicy Extra Value Meal,10.05,7.49,Chicken McCrispy®,Regular Menu
12,2023/11/23,Thu,Singapore,Chicken McCrispy® (6pc) K-Sweet & Spicy Bundle,23.15,17.25,Sharing,Regular Menu
13,2023/11/23,Thu,Singapore,Chicken McCrispy® (6pc) K-Sweet & Spicy,19.70,14.68,Sharing,Regular Menu
14,2023/11/23,Thu,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.95,17.10,Sharing,Regular Menu
15,2023/11/23,Thu,Singapore,Chicken McCrispy® Spicy (6pc),19.50,14.53,Sharing,Regular Menu
16,2023/11/23,Thu,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.44,Sharing,Regular Menu
17,2023/11/23,Thu,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.67,Sharing,Regular Menu
18,2023/11/23,Thu,Singapore,Chicken McNuggets® (20pc),14.85,11.06,Sharing,Regular Menu
19,2023/11/23,Thu,Singapore,McWings® 4pc,6.40,4.77,Sharing,Regular Menu
20,2023/11/23,Thu,Singapore,Chicken McCrispy® (6pc) K-Sweet & Spicy Bundle,23.15,17.25,Ala Carte & Value Meals,Regular Menu
21,2023/11/23,Thu,Singapore,Chicken McCrispy® (2pc) K-Sweet & Spicy Meal,10.25,7.64,Ala Carte & Value Meals,Regular Menu
22,2023/11/23,Thu,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.95,17.10,Ala Carte & Value Meals,Regular Menu
23,2023/11/23,Thu,Singapore,Chicken McCrispy® (2pc) Spicy Extra Value Meal,10.05,7.49,Ala Carte & Value Meals,Regular Menu
24,2023/11/23,Thu,Singapore,Double Quarter Pounder® with Cheese Extra Value Meal,11.60,8.64,Ala Carte & Value Meals,Regular Menu
25,2023/11/23,Thu,Singapore,Quarter Pounder® with Cheese Extra Value Meal,9.95,7.41,Ala Carte & Value Meals,Regular Menu
26,2023/11/23,Thu,Singapore,Buttermilk Crispy Chicken Extra Value Meal,11.05,8.23,Ala Carte & Value Meals,Regular Menu
27,2023/11/23,Thu,Singapore,McSpicy® Extra Value Meal,9.45,7.04,Ala Carte & Value Meals,Regular Menu
28,2023/11/23,Thu,Singapore,Dbl McSpicy® Extra Value Meal,10.65,7.93,Ala Carte & Value Meals,Regular Menu
29,2023/11/23,Thu,Singapore,Dbl Filet-O-Fish® Extra Value Meal,10.00,7.45,Ala Carte & Value Meals,Regular Menu
30,2023/11/23,Thu,Singapore,Filet-O-Fish® Extra Value Meal,7.45,5.55,Ala Carte & Value Meals,Regular Menu
31,2023/11/23,Thu,Singapore,McChicken® Extra Value Meal,7.15,5.33,Ala Carte & Value Meals,Regular Menu
32,2023/11/23,Thu,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,8.40,6.26,Ala Carte & Value Meals,Regular Menu
33,2023/11/23,Thu,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.70,7.23,Ala Carte & Value Meals,Regular Menu
34,2023/11/23,Thu,Singapore,Chicken McNuggets® (20pc),14.85,11.06,Ala Carte & Value Meals,Regular Menu
35,2023/11/23,Thu,Singapore,Big Mac® Extra Value Meal,9.95,7.41,Ala Carte & Value Meals,Regular Menu
36,2023/11/23,Thu,Singapore,Double Cheeseburger Extra Value Meal,7.95,5.92,Ala Carte & Value Meals,Regular Menu
37,2023/11/23,Thu,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.44,Ala Carte & Value Meals,Regular Menu
38,2023/11/23,Thu,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.67,Ala Carte & Value Meals,Regular Menu
39,2023/11/23,Thu,Singapore,McWings® 4pc Extra Value Meal,8.15,6.07,Ala Carte & Value Meals,Regular Menu
40,2023/11/23,Thu,Singapore,Grilled Chicken McWrap Extra Value Meal,9.05,6.74,Ala Carte & Value Meals,Regular Menu
41,2023/11/23,Thu,Singapore,Cheeseburger,4.30,3.20,Ala Carte & Value Meals,Regular Menu
42,2023/11/23,Thu,Singapore,Hamburger,3.30,2.46,Ala Carte & Value Meals,Regular Menu
43,2023/11/23,Thu,Singapore,Crisscut® Fries,5.70,4.25,Sides,Regular Menu
44,2023/11/23,Thu,Singapore,White Peach Yoghurt Pie,2.20,1.64,Sides,Regular Menu
45,2023/11/23,Thu,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,8.40,6.26,Sides,Regular Menu
46,2023/11/23,Thu,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.70,7.23,Sides,Regular Menu
47,2023/11/23,Thu,Singapore,Chicken McNuggets® (20pc),14.85,11.06,Sides,Regular Menu
48,2023/11/23,Thu,Singapore,McWings® 4pc Extra Value Meal,8.15,6.07,Sides,Regular Menu
49,2023/11/23,Thu,Singapore,McWings® 2pc,3.40,2.53,Sides,Regular Menu
50,2023/11/23,Thu,Singapore,Apple Pie,1.90,1.42,Sides,Regular Menu
51,2023/11/23,Thu,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.44,Sides,Regular Menu
52,2023/11/23,Thu,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.67,Sides,Regular Menu
53,2023/11/23,Thu,Singapore,French Fries (L),4.90,3.65,Sides,Regular Menu
54,2023/11/23,Thu,Singapore,French Fries (M),4.70,3.50,Sides,Regular Menu
55,2023/11/23,Thu,Singapore,French Fries,2.85,2.12,Sides,Regular Menu
56,2023/11/23,Thu,Singapore,Apple Slices,2.20,1.64,Sides,Regular Menu
57,2023/11/23,Thu,Singapore,Corn Cup (5oz),2.20,1.64,Sides,Regular Menu
58,2023/11/23,Thu,Singapore,White Peach Yoghurt Pie,2.20,1.64,Desserts,Regular Menu
59,2023/11/23,Thu,Singapore,Oreo® McFlurry®,3.60,2.68,Desserts,Regular Menu
60,2023/11/23,Thu,Singapore,Mudpie McFlurry®,4.00,2.98,Desserts,Regular Menu
61,2023/11/23,Thu,Singapore,Strawberry Shortcake McFlurry®,4.00,2.98,Desserts,Regular Menu
62,2023/11/23,Thu,Singapore,Hot Fudge Sundae,2.80,2.09,Desserts,Regular Menu
63,2023/11/23,Thu,Singapore,Strawberry Sundae,2.80,2.09,Desserts,Regular Menu
64,2023/11/23,Thu,Singapore,Apple Pie,1.90,1.42,Desserts,Regular Menu
65,2023/11/23,Thu,Singapore,Coke® Zero Sugar,3.20,2.38,Beverages,Regular Menu
66,2023/11/23,Thu,Singapore,Coke® Original Taste Less Sugar,3.20,2.38,Beverages,Regular Menu
67,2023/11/23,Thu,Singapore,Iced Lemon Tea,4.05,3.02,Beverages,Regular Menu
68,2023/11/23,Thu,Singapore,Dark Chocolate Sea Salt Frappé,5.55,4.13,Beverages,Regular Menu
69,2023/11/23,Thu,Singapore,Caramel Frappé with OREO®,5.25,3.91,Beverages,Regular Menu
70,2023/11/23,Thu,Singapore,Mocha Frappé with OREO®,5.25,3.91,Beverages,Regular Menu
71,2023/11/23,Thu,Singapore,Caramel Frappé (served without whipped cream),4.75,3.54,Beverages,Regular Menu
72,2023/11/23,Thu,Singapore,Mocha Frappé (served without whipped cream),4.75,3.54,Beverages,Regular Menu
73,2023/11/23,Thu,Singapore,Iced MILO®,4.05,3.02,Beverages,Regular Menu
74,2023/11/23,Thu,Singapore,Jasmine Green Tea,4.05,3.02,Beverages,Regular Menu
75,2023/11/23,Thu,Singapore,Cappuccino,4.50,3.35,Beverages,Regular Menu
76,2023/11/23,Thu,Singapore,Latte,4.50,3.35,Beverages,Regular Menu
77,2023/11/23,Thu,Singapore,Iced Latte,4.70,3.50,Beverages,Regular Menu
78,2023/11/23,Thu,Singapore,McCafé Premium Roast Coffee,3.20,2.38,Beverages,Regular Menu
79,2023/11/23,Thu,Singapore,100% Pure Orange Juice (Junior),4.15,3.09,Beverages,Regular Menu
80,2023/11/23,Thu,Singapore,"Low-fat, High-Calcium Milk",3.35,2.50,Beverages,Regular Menu
81,2023/11/23,Thu,Singapore,Hot Tea,3.20,2.38,Beverages,Regular Menu
82,2023/11/23,Thu,Singapore,Hot MILO®,3.45,2.57,Beverages,Regular Menu
83,2023/11/23,Thu,Singapore,Sprite®,3.20,2.38,Beverages,Regular Menu
84,2023/11/23,Thu,Singapore,Dasani®,3.20,2.38,Beverages,Regular Menu
