,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2024/12/18,Wed,Singapore,Triple Cheeseburger,8.80,6.51,What's New,Regular Menu
2,2024/12/18,Wed,Singapore,Triple Cheeseburger Meal,10.45,7.73,What's New,Regular Menu
3,2024/12/18,Wed,Singapore,Triple Cheeseburger Upsized Meal,11.65,8.62,What's New,Regular Menu
4,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe,9.20,6.81,What's New,Regular Menu
5,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe Meal,11.15,8.25,What's New,Regular Menu
6,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe Upsized Meal,12.35,9.14,What's New,Regular Menu
7,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe Feast,14.05,10.40,What's New,Regular Menu
8,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger,10.40,7.70,What's New,Regular Menu
9,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger Meal,11.35,8.40,What's New,Regular Menu
10,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger Upsized Meal,12.55,9.29,What's New,Regular Menu
11,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger Feast,14.25,10.54,What's New,Regular Menu
12,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger,8.70,6.44,What's New,Regular Menu
13,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger Meal,10.65,7.88,What's New,Regular Menu
14,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger Upsized Meal,11.85,8.77,What's New,Regular Menu
15,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger Feast,13.55,10.03,What's New,Regular Menu
16,2024/12/18,Wed,Singapore,2xVM: Chzy Truffle Beef Deluxe EVM+McSpicy EVM,20.60,15.24,What's New,Regular Menu
17,2024/12/18,Wed,Singapore,Chicken McNuggets® Mix (20pc),10.00,7.40,What's New,Regular Menu
18,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (20pc),10.00,7.40,What's New,Regular Menu
19,2024/12/18,Wed,Singapore,Chicken McNuggets® (20pc),10.00,7.40,What's New,Regular Menu
20,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc),6.65,4.92,What's New,Regular Menu
21,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc) Meal,8.70,6.44,What's New,Regular Menu
22,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc) Upsized Meal,9.90,7.33,What's New,Regular Menu
23,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc) Feast,11.60,8.58,What's New,Regular Menu
24,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc),8.10,5.99,What's New,Regular Menu
25,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc) Meal,10.20,7.55,What's New,Regular Menu
26,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc) Upsized Meal,11.40,8.44,What's New,Regular Menu
27,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc) Feast,13.10,9.69,What's New,Regular Menu
28,2024/12/18,Wed,Singapore,9pc Smoky BBQ Shaka Shaka Combo,4.60,3.40,What's New,Regular Menu
29,2024/12/18,Wed,Singapore,9pc Smoky BBQ Shaka Shaka Chicken McBites®,3.90,2.89,What's New,Regular Menu
30,2024/12/18,Wed,Singapore,Mala Chicken Cutlet,1.90,1.41,What's New,Regular Menu
31,2024/12/18,Wed,Singapore,Mozzarella Sticks (2pc),2.50,1.85,What's New,Regular Menu
32,2024/12/18,Wed,Singapore,Potato Pops,5.70,4.22,What's New,Regular Menu
33,2024/12/18,Wed,Singapore,Corn Pie,2.00,1.48,What's New,Regular Menu
34,2024/12/18,Wed,Singapore,Caramel Custard Frappé (S),5.25,3.88,What's New,Regular Menu
35,2024/12/18,Wed,Singapore,Caramel Custard Frappé (M),5.95,4.40,What's New,Regular Menu
36,2024/12/18,Wed,Singapore,Maltesers® McFlurry®,4.10,3.03,What's New,Regular Menu
37,2024/12/18,Wed,Singapore,Pineapple Twist Strawberry Sundae,2.95,2.18,What's New,Regular Menu
38,2024/12/18,Wed,Singapore,Triple Cheeseburger,8.80,6.51,Burgers,Regular Menu
39,2024/12/18,Wed,Singapore,Triple Cheeseburger Meal,10.45,7.73,Burgers,Regular Menu
40,2024/12/18,Wed,Singapore,Triple Cheeseburger Upsized Meal,11.65,8.62,Burgers,Regular Menu
41,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe,9.20,6.81,Burgers,Regular Menu
42,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe Meal,11.15,8.25,Burgers,Regular Menu
43,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe Upsized Meal,12.35,9.14,Burgers,Regular Menu
44,2024/12/18,Wed,Singapore,Cheesy Truffle Beef Deluxe Feast,14.05,10.40,Burgers,Regular Menu
45,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger,10.40,7.70,Burgers,Regular Menu
46,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger Meal,11.35,8.40,Burgers,Regular Menu
47,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger Upsized Meal,12.55,9.29,Burgers,Regular Menu
48,2024/12/18,Wed,Singapore,Cheesy Truffle Triple Cheeseburger Feast,14.25,10.54,Burgers,Regular Menu
49,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger,8.70,6.44,Burgers,Regular Menu
50,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger Meal,10.65,7.88,Burgers,Regular Menu
51,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger Upsized Meal,11.85,8.77,Burgers,Regular Menu
52,2024/12/18,Wed,Singapore,Cheesy Truffle Double Cheeseburger Feast,13.55,10.03,Burgers,Regular Menu
53,2024/12/18,Wed,Singapore,McSpicy® with Cheese,8.60,6.36,Burgers,Regular Menu
54,2024/12/18,Wed,Singapore,McSpicy® with Cheese Meal,11.05,8.18,Burgers,Regular Menu
55,2024/12/18,Wed,Singapore,McSpicy® with Cheese Upsized Meal,12.25,9.06,Burgers,Regular Menu
56,2024/12/18,Wed,Singapore,McSpicy®,7.30,5.40,Burgers,Regular Menu
57,2024/12/18,Wed,Singapore,McSpicy® Meal,9.75,7.21,Burgers,Regular Menu
58,2024/12/18,Wed,Singapore,McSpicy® Upsized Meal,10.95,8.10,Burgers,Regular Menu
59,2024/12/18,Wed,Singapore,Double McSpicy® with Cheese,10.20,7.55,Burgers,Regular Menu
60,2024/12/18,Wed,Singapore,Double McSpicy® with Cheese Meal,12.25,9.06,Burgers,Regular Menu
61,2024/12/18,Wed,Singapore,Double McSpicy® with Cheese Upsized Meal,13.45,9.95,Burgers,Regular Menu
62,2024/12/18,Wed,Singapore,Double McSpicy®,8.90,6.59,Burgers,Regular Menu
63,2024/12/18,Wed,Singapore,Double McSpicy® Meal,10.95,8.10,Burgers,Regular Menu
64,2024/12/18,Wed,Singapore,Double McSpicy® Upsized Meal,12.15,8.99,Burgers,Regular Menu
65,2024/12/18,Wed,Singapore,Buttermilk Crispy Chicken,8.90,6.59,Burgers,Regular Menu
66,2024/12/18,Wed,Singapore,Buttermilk Crispy Chicken Meal,11.25,8.32,Burgers,Regular Menu
67,2024/12/18,Wed,Singapore,Buttermilk Crispy Chicken Upsized Meal,12.45,9.21,Burgers,Regular Menu
68,2024/12/18,Wed,Singapore,Double Cheeseburger,6.35,4.70,Burgers,Regular Menu
69,2024/12/18,Wed,Singapore,Double Cheeseburger Meal,8.30,6.14,Burgers,Regular Menu
70,2024/12/18,Wed,Singapore,Double Cheeseburger Upsized Meal,9.50,7.03,Burgers,Regular Menu
71,2024/12/18,Wed,Singapore,Big Mac®,7.60,5.62,Burgers,Regular Menu
72,2024/12/18,Wed,Singapore,Big Mac® Meal,10.15,7.51,Burgers,Regular Menu
73,2024/12/18,Wed,Singapore,Big Mac® Upsized Meal,11.35,8.40,Burgers,Regular Menu
74,2024/12/18,Wed,Singapore,Double Quarter Pounder® with Cheese,9.90,7.33,Burgers,Regular Menu
75,2024/12/18,Wed,Singapore,Dbl Quarter Pounder® with Cheese Meal,11.80,8.73,Burgers,Regular Menu
76,2024/12/18,Wed,Singapore,Dbl Quarter Pounder® with Cheese Upsized Meal,13.00,9.62,Burgers,Regular Menu
77,2024/12/18,Wed,Singapore,Quarter Pounder® with Cheese,8.20,6.07,Burgers,Regular Menu
78,2024/12/18,Wed,Singapore,Quarter Pounder® with Cheese Meal,10.15,7.51,Burgers,Regular Menu
79,2024/12/18,Wed,Singapore,Quarter Pounder® with Cheese Upsized Meal,11.35,8.40,Burgers,Regular Menu
80,2024/12/18,Wed,Singapore,Double Filet-O-Fish®,8.15,6.03,Burgers,Regular Menu
81,2024/12/18,Wed,Singapore,Double Filet-O-Fish® Meal,10.20,7.55,Burgers,Regular Menu
82,2024/12/18,Wed,Singapore,Double Filet-O-Fish® Upsized Meal,11.40,8.44,Burgers,Regular Menu
83,2024/12/18,Wed,Singapore,Filet-O-Fish®,6.25,4.62,Burgers,Regular Menu
84,2024/12/18,Wed,Singapore,Filet-O-Fish® Meal,7.45,5.51,Burgers,Regular Menu
85,2024/12/18,Wed,Singapore,Filet-O-Fish® Upsized Meal,8.65,6.40,Burgers,Regular Menu
86,2024/12/18,Wed,Singapore,McChicken® with Cheese,6.60,4.88,Burgers,Regular Menu
87,2024/12/18,Wed,Singapore,McChicken® with Cheese Meal,8.75,6.47,Burgers,Regular Menu
88,2024/12/18,Wed,Singapore,McChicken® with Cheese Upsized Meal,9.95,7.36,Burgers,Regular Menu
89,2024/12/18,Wed,Singapore,McChicken®,5.30,3.92,Burgers,Regular Menu
90,2024/12/18,Wed,Singapore,McChicken® Meal,7.45,5.51,Burgers,Regular Menu
91,2024/12/18,Wed,Singapore,McChicken® Upsized Meal,8.65,6.40,Burgers,Regular Menu
92,2024/12/18,Wed,Singapore,Cheeseburger,4.50,3.33,Burgers,Regular Menu
93,2024/12/18,Wed,Singapore,Hamburger,3.50,2.59,Burgers,Regular Menu
94,2024/12/18,Wed,Singapore,Chicken McNuggets® Mix (20pc),10.00,7.40,McNuggets® & McWings,Regular Menu
95,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (20pc),10.00,7.40,McNuggets® & McWings,Regular Menu
96,2024/12/18,Wed,Singapore,Chicken McNuggets® (20pc),10.00,7.40,McNuggets® & McWings,Regular Menu
97,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc),8.10,5.99,McNuggets® & McWings,Regular Menu
98,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc) Meal,10.20,7.55,McNuggets® & McWings,Regular Menu
99,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc) Upsized Meal,11.40,8.44,McNuggets® & McWings,Regular Menu
100,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (9pc) Feast,13.10,9.69,McNuggets® & McWings,Regular Menu
101,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc),6.65,4.92,McNuggets® & McWings,Regular Menu
102,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc) Meal,8.70,6.44,McNuggets® & McWings,Regular Menu
103,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc) Upsized Meal,9.90,7.33,McNuggets® & McWings,Regular Menu
104,2024/12/18,Wed,Singapore,Spicy Chicken McNuggets® (6pc) Feast,11.60,8.58,McNuggets® & McWings,Regular Menu
105,2024/12/18,Wed,Singapore,Chicken McNuggets® (9pc),7.80,5.77,McNuggets® & McWings,Regular Menu
106,2024/12/18,Wed,Singapore,McNuggets® (9pc) Meal,9.90,7.33,McNuggets® & McWings,Regular Menu
107,2024/12/18,Wed,Singapore,McNuggets® (9pc) Upsized Meal,11.10,8.21,McNuggets® & McWings,Regular Menu
108,2024/12/18,Wed,Singapore,Chicken McNuggets® (6pc),6.35,4.70,McNuggets® & McWings,Regular Menu
109,2024/12/18,Wed,Singapore,McNuggets® (6pc) Meal,8.40,6.22,McNuggets® & McWings,Regular Menu
110,2024/12/18,Wed,Singapore,McNuggets® (6pc) Upsized Meal,9.60,7.10,McNuggets® & McWings,Regular Menu
111,2024/12/18,Wed,Singapore,McWings® (4pc),6.40,4.74,McNuggets® & McWings,Regular Menu
112,2024/12/18,Wed,Singapore,McWings® (4pc) Meal,8.15,6.03,McNuggets® & McWings,Regular Menu
113,2024/12/18,Wed,Singapore,McWings® (4pc) Upsized Meal,9.35,6.92,McNuggets® & McWings,Regular Menu
114,2024/12/18,Wed,Singapore,McWings® (2pc),3.60,2.66,McNuggets® & McWings,Regular Menu
115,2024/12/18,Wed,Singapore,Chicken McCrispy® (2pc) Signature,7.65,5.66,Chicken McCrispy,Regular Menu
116,2024/12/18,Wed,Singapore,Chicken McCrispy® (2pc) Signature Meal,10.25,7.58,Chicken McCrispy,Regular Menu
117,2024/12/18,Wed,Singapore,Chicken McCrispy® (2pc) Signature Upsized Meal,11.45,8.47,Chicken McCrispy,Regular Menu
118,2024/12/18,Wed,Singapore,Chicken McCrispy® (2pc) Spicy,7.65,5.66,Chicken McCrispy,Regular Menu
