,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2022/10/20,Thu,Singapore,TGIF: Free upgrade to Seaweed McShaker Fries with 2pc McCrispy® Spicy EVM,9.30,6.52,Promotion Meals,Regular Menu
2,2022/10/20,Thu,Singapore,Ninja Chicken Special,11.10,7.79,Promotion Meals,Regular Menu
3,2022/10/20,Thu,Singapore,Ninja Chicken,7.45,5.23,Promotion Meals,Regular Menu
4,2022/10/20,Thu,Singapore,2 X Ninja Chicken Meals (L Fries),21.40,15.01,Promotion Meals,Regular Menu
5,2022/10/20,Thu,Singapore,Samurai Beef Special,10.90,7.65,Promotion Meals,Regular Menu
6,2022/10/20,Thu,Singapore,Samurai Beef Extra Value Meal (Double),11.50,8.07,Promotion Meals,Regular Menu
7,2022/10/20,Thu,Singapore,Samurai Beef Extra Value Meal (Single),9.50,6.66,Promotion Meals,Regular Menu
8,2022/10/20,Thu,Singapore,Seaweed Shaker Fries (L),4.20,2.95,Promotion Meals,Regular Menu
9,2022/10/20,Thu,Singapore,Yuzu Cream Cheese Pie,2.40,1.68,Promotion Meals,Regular Menu
10,2022/10/20,Thu,Singapore,2x Value Meal: 2 Samurai Beef LEVM,21.00,14.73,Promotion Meals,Regular Menu
11,2022/10/20,Thu,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.30,15.64,Chicken McCrispy®,Regular Menu
12,2022/10/20,Thu,Singapore,2pc McCrispy® Spicy Meal Extra Value Meal,9.30,6.52,Chicken McCrispy®,Regular Menu
13,2022/10/20,Thu,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.30,15.64,Sharing,Regular Menu
14,2022/10/20,Thu,Singapore,Chicken McNuggets® (20pc),13.70,9.61,Sharing,Regular Menu
15,2022/10/20,Thu,Singapore,Box B: Chicken McNuggets® (6pc) + McWings® (4pc),8.60,6.03,Sharing,Regular Menu
16,2022/10/20,Thu,Singapore,Box A: Chicken McNuggets® (12pc) + McWings® (8pc),14.20,9.96,Sharing,Regular Menu
17,2022/10/20,Thu,Singapore,McWings® 4pc,5.75,4.03,Sharing,Regular Menu
18,2022/10/20,Thu,Singapore,Ninja Chicken,7.45,5.23,Ala Carte & Value Meals,Regular Menu
19,2022/10/20,Thu,Singapore,Samurai Beef Extra Value Meal (Double),11.50,8.07,Ala Carte & Value Meals,Regular Menu
20,2022/10/20,Thu,Singapore,Samurai Beef Extra Value Meal (Single),9.50,6.66,Ala Carte & Value Meals,Regular Menu
21,2022/10/20,Thu,Singapore,2pc McCrispy® Spicy Meal Extra Value Meal,9.30,6.52,Ala Carte & Value Meals,Regular Menu
22,2022/10/20,Thu,Singapore,Buttermilk Crispy Chicken Extra Value Meal,9.80,6.87,Ala Carte & Value Meals,Regular Menu
23,2022/10/20,Thu,Singapore,Angus BLT Extra Value Meal,9.95,6.98,Ala Carte & Value Meals,Regular Menu
24,2022/10/20,Thu,Singapore,Original Angus Cheeseburger Extra Value Meal,8.95,6.28,Ala Carte & Value Meals,Regular Menu
25,2022/10/20,Thu,Singapore,Dbl McSpicy® Extra Value Meal,9.80,6.87,Ala Carte & Value Meals,Regular Menu
26,2022/10/20,Thu,Singapore,McSpicy® Extra Value Meal,8.60,6.03,Ala Carte & Value Meals,Regular Menu
27,2022/10/20,Thu,Singapore,Dbl Filet-O-Fish® Extra Value Meal,9.00,6.31,Ala Carte & Value Meals,Regular Menu
28,2022/10/20,Thu,Singapore,Filet-O-Fish® Extra Value Meal,6.85,4.81,Ala Carte & Value Meals,Regular Menu
29,2022/10/20,Thu,Singapore,McChicken® Extra Value Meal,6.50,4.56,Ala Carte & Value Meals,Regular Menu
30,2022/10/20,Thu,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.00,6.31,Ala Carte & Value Meals,Regular Menu
31,2022/10/20,Thu,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,7.85,5.51,Ala Carte & Value Meals,Regular Menu
32,2022/10/20,Thu,Singapore,Big Mac® Extra Value Meal,8.95,6.28,Ala Carte & Value Meals,Regular Menu
33,2022/10/20,Thu,Singapore,Double Cheeseburger Extra Value Meal,7.00,4.91,Ala Carte & Value Meals,Regular Menu
34,2022/10/20,Thu,Singapore,Chicken McNuggets® (20pc),13.70,9.61,Ala Carte & Value Meals,Regular Menu
35,2022/10/20,Thu,Singapore,Box A: Chicken McNuggets® (12pc) + McWings® (8pc),14.20,9.96,Ala Carte & Value Meals,Regular Menu
36,2022/10/20,Thu,Singapore,Box B: Chicken McNuggets® (6pc) + McWings® (4pc),8.60,6.03,Ala Carte & Value Meals,Regular Menu
37,2022/10/20,Thu,Singapore,McWings® 4pc Extra Value Meal,7.80,5.47,Ala Carte & Value Meals,Regular Menu
38,2022/10/20,Thu,Singapore,Grilled Chicken McWrap Extra Value Meal,8.70,6.10,Ala Carte & Value Meals,Regular Menu
39,2022/10/20,Thu,Singapore,Cheeseburger,3.65,2.56,Ala Carte & Value Meals,Regular Menu
40,2022/10/20,Thu,Singapore,Hamburger,2.95,2.07,Ala Carte & Value Meals,Regular Menu
41,2022/10/20,Thu,Singapore,Seaweed Shaker Fries (L),4.20,2.95,Sides,Regular Menu
42,2022/10/20,Thu,Singapore,Yuzu Cream Cheese Pie,2.40,1.68,Sides,Regular Menu
43,2022/10/20,Thu,Singapore,Chicken McNuggets® (20pc),13.70,9.61,Sides,Regular Menu
44,2022/10/20,Thu,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.00,6.31,Sides,Regular Menu
45,2022/10/20,Thu,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,7.85,5.51,Sides,Regular Menu
46,2022/10/20,Thu,Singapore,McWings® 4pc Extra Value Meal,7.80,5.47,Sides,Regular Menu
47,2022/10/20,Thu,Singapore,McWings® 2pc,2.85,2.00,Sides,Regular Menu
48,2022/10/20,Thu,Singapore,Apple Pie,2.10,1.47,Sides,Regular Menu
49,2022/10/20,Thu,Singapore,Box A: Chicken McNuggets® (12pc) + McWings® (8pc),14.20,9.96,Sides,Regular Menu
50,2022/10/20,Thu,Singapore,Box B: Chicken McNuggets® (6pc) + McWings® (4pc),8.60,6.03,Sides,Regular Menu
51,2022/10/20,Thu,Singapore,French Fries (L),4.20,2.95,Sides,Regular Menu
52,2022/10/20,Thu,Singapore,French Fries (M),3.95,2.77,Sides,Regular Menu
53,2022/10/20,Thu,Singapore,French Fries,2.35,1.65,Sides,Regular Menu
54,2022/10/20,Thu,Singapore,Apple Slices,1.90,1.33,Sides,Regular Menu
55,2022/10/20,Thu,Singapore,Corn Cup (5oz),1.95,1.37,Sides,Regular Menu
56,2022/10/20,Thu,Singapore,Oreo® McFlurry®,3.50,2.46,Desserts,Regular Menu
57,2022/10/20,Thu,Singapore,Mudpie McFlurry®,3.90,2.74,Desserts,Regular Menu
58,2022/10/20,Thu,Singapore,Strawberry Shortcake McFlurry®,3.90,2.74,Desserts,Regular Menu
59,2022/10/20,Thu,Singapore,Hot Fudge Sundae,2.40,1.68,Desserts,Regular Menu
60,2022/10/20,Thu,Singapore,Strawberry Sundae,2.40,1.68,Desserts,Regular Menu
61,2022/10/20,Thu,Singapore,Teh C Frappé,4.95,3.47,Beverages,Regular Menu
62,2022/10/20,Thu,Singapore,Mocha Frappe with Oreo Cookies (S),4.95,3.47,Beverages,Regular Menu
63,2022/10/20,Thu,Singapore,Caramel Frappe with Oreo Cookies (S),4.95,3.47,Beverages,Regular Menu
64,2022/10/20,Thu,Singapore,Mocha Frappe (S),4.45,3.12,Beverages,Regular Menu
65,2022/10/20,Thu,Singapore,Caramel Frappe (S),4.45,3.12,Beverages,Regular Menu
66,2022/10/20,Thu,Singapore,Iced MILO® (S),3.80,2.67,Beverages,Regular Menu
67,2022/10/20,Thu,Singapore,Jasmine Green Tea (S),3.80,2.67,Beverages,Regular Menu
68,2022/10/20,Thu,Singapore,Iced Lemon Tea (S),3.80,2.67,Beverages,Regular Menu
69,2022/10/20,Thu,Singapore,Cappuccino,4.30,3.02,Beverages,Regular Menu
70,2022/10/20,Thu,Singapore,Latte (M),4.30,3.02,Beverages,Regular Menu
71,2022/10/20,Thu,Singapore,Iced Latte,4.60,3.23,Beverages,Regular Menu
72,2022/10/20,Thu,Singapore,McCafé Premium Roast Coffee,2.85,2.00,Beverages,Regular Menu
