,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2024/06/13,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.10,5.25,What's New,Breakfast Menu
2,2024/06/13,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.10,5.25,What's New,Breakfast Menu
3,2024/06/13,Thu,Singapore,2xVM - Scrambled Egg Burger Saus + BF Deluxe,15.00,11.10,What's New,Breakfast Menu
4,2024/06/13,Thu,Singapore,2xVM - Scrambled Egg Burger Chk + BF Deluxe,15.00,11.10,What's New,Breakfast Menu
5,2024/06/13,Thu,Singapore,Hershey’s Hot Fudge Sundae,2.95,2.18,What's New,Breakfast Menu
6,2024/06/13,Thu,Singapore,Hershey’s Strawberry Sundae,2.95,2.18,What's New,Breakfast Menu
7,2024/06/13,Thu,Singapore,Hershey’s McFlurry®,3.90,2.89,What's New,Breakfast Menu
8,2024/06/13,Thu,Singapore,Breakfast Deluxe™ Meal,9.60,7.10,What's New,Breakfast Menu
9,2024/06/13,Thu,Singapore,Big Breakfast® Meal,8.05,5.96,What's New,Breakfast Menu
10,2024/06/13,Thu,Singapore,Breakfast Wrap Sausage Meal,8.00,5.92,What's New,Breakfast Menu
11,2024/06/13,Thu,Singapore,Sausage Egg McMuffin® Meal,7.00,5.18,What's New,Breakfast Menu
12,2024/06/13,Thu,Singapore,Scrambled Egg Burger with Sausage Meal,7.10,5.25,Value Meals,Breakfast Menu
13,2024/06/13,Thu,Singapore,Scrambled Egg Burger with Chicken Meal,7.10,5.25,Value Meals,Breakfast Menu
14,2024/06/13,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.40,6.22,Value Meals,Breakfast Menu
15,2024/06/13,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,5.48,Value Meals,Breakfast Menu
16,2024/06/13,Thu,Singapore,Breakfast Deluxe™ Meal,9.60,7.10,Value Meals,Breakfast Menu
17,2024/06/13,Thu,Singapore,Breakfast Wrap Chicken Ham Meal,8.00,5.92,Value Meals,Breakfast Menu
18,2024/06/13,Thu,Singapore,Big Breakfast® Meal,8.05,5.96,Value Meals,Breakfast Menu
19,2024/06/13,Thu,Singapore,Hotcakes™ with Sausage Meal,8.80,6.51,Value Meals,Breakfast Menu
20,2024/06/13,Thu,Singapore,Breakfast Wrap Sausage Meal,8.00,5.92,Value Meals,Breakfast Menu
21,2024/06/13,Thu,Singapore,Hotcakes™ Meal,8.15,6.03,Value Meals,Breakfast Menu
22,2024/06/13,Thu,Singapore,Sausage Egg McMuffin® Meal,7.00,5.18,Value Meals,Breakfast Menu
23,2024/06/13,Thu,Singapore,Sausage McMuffin® Meal,6.00,4.44,Value Meals,Breakfast Menu
24,2024/06/13,Thu,Singapore,Chicken Muffin with Egg Meal,7.00,5.18,Value Meals,Breakfast Menu
25,2024/06/13,Thu,Singapore,Chicken Muffin Meal,6.00,4.44,Value Meals,Breakfast Menu
26,2024/06/13,Thu,Singapore,Egg McMuffin® Meal,6.25,4.62,Value Meals,Breakfast Menu
27,2024/06/13,Thu,Singapore,Double Filet-O-Fish® Meal,10.00,7.40,Value Meals,Breakfast Menu
28,2024/06/13,Thu,Singapore,Filet-O-Fish® Meal,7.45,5.51,Value Meals,Breakfast Menu
29,2024/06/13,Thu,Singapore,Double Sausage McMuffin® Meal,7.40,5.48,Fan Favourites,Breakfast Menu
30,2024/06/13,Thu,Singapore,Double Sausage Egg McMuffin® Meal,8.40,6.22,Fan Favourites,Breakfast Menu
31,2024/06/13,Thu,Singapore,Family Meal: BF Deluxe + SME EVM + HCake HM,22.20,16.43,For the Family,Breakfast Menu
32,2024/06/13,Thu,Singapore,Scrambled Egg Burger Junior Happy Meal®,5.60,4.14,For the Family,Breakfast Menu
33,2024/06/13,Thu,Singapore,Breakfast Hotcakes (2pc) Happy Meal®,5.60,4.14,For the Family,Breakfast Menu
34,2024/06/13,Thu,Singapore,Scrambled Egg Burger with Sausage,5.50,4.07,Ala Carte,Breakfast Menu
35,2024/06/13,Thu,Singapore,Scrambled Egg Burger with Chicken,5.50,4.07,Ala Carte,Breakfast Menu
36,2024/06/13,Thu,Singapore,Double Sausage Egg McMuffin®,6.70,4.96,Ala Carte,Breakfast Menu
37,2024/06/13,Thu,Singapore,Double Sausage McMuffin®,5.70,4.22,Ala Carte,Breakfast Menu
38,2024/06/13,Thu,Singapore,Breakfast Deluxe™,8.15,6.03,Ala Carte,Breakfast Menu
39,2024/06/13,Thu,Singapore,Big Breakfast®,7.00,5.18,Ala Carte,Breakfast Menu
40,2024/06/13,Thu,Singapore,Breakfast Wrap Sausage,6.20,4.59,Ala Carte,Breakfast Menu
41,2024/06/13,Thu,Singapore,Breakfast Wrap Chicken Ham,6.00,4.44,Ala Carte,Breakfast Menu
42,2024/06/13,Thu,Singapore,Hotcakes™ with Sausage,7.15,5.29,Ala Carte,Breakfast Menu
43,2024/06/13,Thu,Singapore,Hotcakes™,6.15,4.55,Ala Carte,Breakfast Menu
44,2024/06/13,Thu,Singapore,Sausage Egg McMuffin®,5.30,3.92,Ala Carte,Breakfast Menu
45,2024/06/13,Thu,Singapore,Sausage McMuffin®,4.30,3.18,Ala Carte,Breakfast Menu
46,2024/06/13,Thu,Singapore,Chicken Muffin with Egg,5.00,3.70,Ala Carte,Breakfast Menu
47,2024/06/13,Thu,Singapore,Chicken Muffin,4.30,3.18,Ala Carte,Breakfast Menu
48,2024/06/13,Thu,Singapore,Egg McMuffin®,5.00,3.70,Ala Carte,Breakfast Menu
49,2024/06/13,Thu,Singapore,Double Filet-O-Fish®,8.15,6.03,Ala Carte,Breakfast Menu
50,2024/06/13,Thu,Singapore,Filet-O-Fish®,6.25,4.62,Ala Carte,Breakfast Menu
51,2024/06/13,Thu,Singapore,Apple Pie,1.90,1.41,Sides,Breakfast Menu
52,2024/06/13,Thu,Singapore,Hashbrown™,3.00,2.22,Sides,Breakfast Menu
53,2024/06/13,Thu,Singapore,Apple Slices,2.20,1.63,Sides,Breakfast Menu
54,2024/06/13,Thu,Singapore,Hershey’s Hot Fudge Sundae,2.95,2.18,Desserts,Breakfast Menu
55,2024/06/13,Thu,Singapore,Hershey’s Strawberry Sundae,2.95,2.18,Desserts,Breakfast Menu
56,2024/06/13,Thu,Singapore,Hershey’s McFlurry®,3.90,2.89,Desserts,Breakfast Menu
57,2024/06/13,Thu,Singapore,Hershey's Mudpie McFlurry®,4.20,3.11,Desserts,Breakfast Menu
58,2024/06/13,Thu,Singapore,Hershey's Strawberry Shortcake McFlurry®,4.20,3.11,Desserts,Breakfast Menu
59,2024/06/13,Thu,Singapore,OREO® McFlurry®,3.60,2.66,Desserts,Breakfast Menu
60,2024/06/13,Thu,Singapore,Mudpie McFlurry®,4.00,2.96,Desserts,Breakfast Menu
61,2024/06/13,Thu,Singapore,Strawberry Shortcake McFlurry®,4.00,2.96,Desserts,Breakfast Menu
62,2024/06/13,Thu,Singapore,Hot Fudge Sundae,2.80,2.07,Desserts,Breakfast Menu
63,2024/06/13,Thu,Singapore,Strawberry Sundae,2.80,2.07,Desserts,Breakfast Menu
64,2024/06/13,Thu,Singapore,Apple Pie,1.90,1.41,Desserts,Breakfast Menu
65,2024/06/13,Thu,Singapore,Double Chocolate Frappé Small,4.75,3.52,Drinks,Breakfast Menu
66,2024/06/13,Thu,Singapore,Double Chocolate Frappé Medium,5.30,3.92,Drinks,Breakfast Menu
67,2024/06/13,Thu,Singapore,Mocha Frappé  With Oreo® Small,5.25,3.88,Drinks,Breakfast Menu
68,2024/06/13,Thu,Singapore,Mocha Frappé  With Oreo® Medium,5.80,4.29,Drinks,Breakfast Menu
69,2024/06/13,Thu,Singapore,Caramel Frappé with Oreo Small,5.25,3.88,Drinks,Breakfast Menu
70,2024/06/13,Thu,Singapore,Caramel Frappé With Oreo Medium,5.80,4.29,Drinks,Breakfast Menu
71,2024/06/13,Thu,Singapore,Mocha Frappé  Small,4.75,3.52,Drinks,Breakfast Menu
72,2024/06/13,Thu,Singapore,Mocha Frappé Medium,5.30,3.92,Drinks,Breakfast Menu
73,2024/06/13,Thu,Singapore,Caramel Frappé Small,4.75,3.52,Drinks,Breakfast Menu
74,2024/06/13,Thu,Singapore,Caramel Frappé Medium,5.30,3.92,Drinks,Breakfast Menu
75,2024/06/13,Thu,Singapore,Iced Milo® Small,4.05,3.00,Drinks,Breakfast Menu
76,2024/06/13,Thu,Singapore,Iced Milo® Medium,4.45,3.29,Drinks,Breakfast Menu
77,2024/06/13,Thu,Singapore,Jasmine Green Tea Small,4.05,3.00,Drinks,Breakfast Menu
78,2024/06/13,Thu,Singapore,Jasmine Green Tea Medium,4.45,3.29,Drinks,Breakfast Menu
79,2024/06/13,Thu,Singapore,Iced Lemon Tea Small,4.05,3.00,Drinks,Breakfast Menu
80,2024/06/13,Thu,Singapore,Iced Lemon Tea Medium,4.45,3.29,Drinks,Breakfast Menu
81,2024/06/13,Thu,Singapore,Iced Lemon Tea Large,4.65,3.44,Drinks,Breakfast Menu
82,2024/06/13,Thu,Singapore,McCafé Cappuccino,4.50,3.33,Drinks,Breakfast Menu
83,2024/06/13,Thu,Singapore,McCafé Latte,4.50,3.33,Drinks,Breakfast Menu
84,2024/06/13,Thu,Singapore,McCafé Iced Latte (No Sugar),4.70,3.48,Drinks,Breakfast Menu
85,2024/06/13,Thu,Singapore,McCafé Iced Latte (With Sugar Syrup),4.70,3.48,Drinks,Breakfast Menu
86,2024/06/13,Thu,Singapore,McCafé Premium Roast Coffee Black,3.20,2.37,Drinks,Breakfast Menu
87,2024/06/13,Thu,Singapore,McCafé Premium Roast Coffee with Milk,3.20,2.37,Drinks,Breakfast Menu
88,2024/06/13,Thu,Singapore,Pure Orange Juice Small,4.45,3.29,Drinks,Breakfast Menu
89,2024/06/13,Thu,Singapore,Tea Black,3.20,2.37,Drinks,Breakfast Menu
90,2024/06/13,Thu,Singapore,Tea with Milk,3.20,2.37,Drinks,Breakfast Menu
91,2024/06/13,Thu,Singapore,Hot Milo®,3.45,2.55,Drinks,Breakfast Menu
92,2024/06/13,Thu,Singapore,"Low-fat, High-Calcium Milk",3.35,2.48,Drinks,Breakfast Menu
93,2024/06/13,Thu,Singapore,Coke® Zero Sugar Small,3.20,2.37,Drinks,Breakfast Menu
94,2024/06/13,Thu,Singapore,Coke® Zero Sugar Medium,3.75,2.77,Drinks,Breakfast Menu
95,2024/06/13,Thu,Singapore,Coke® Zero Sugar Large,4.05,3.00,Drinks,Breakfast Menu
96,2024/06/13,Thu,Singapore,Coke® Original Taste Less Sugar Small,3.20,2.37,Drinks,Breakfast Menu
97,2024/06/13,Thu,Singapore,Coke® Original Taste Less Sugar Medium,3.75,2.77,Drinks,Breakfast Menu
98,2024/06/13,Thu,Singapore,Coke® Original Taste Less Sugar Large,4.05,3.00,Drinks,Breakfast Menu
99,2024/06/13,Thu,Singapore,Sprite® Small,3.20,2.37,Drinks,Breakfast Menu
