,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
0,2022/03/15,Tue,Thailand,Buy 1 Get 1 McMuffin With Egg (A-la-carte),99.00,2.96,New Menus & Promotions,Regular
1,2022/03/15,Tue,Thailand,Buy 1 Get 1 McMuffin With Egg (Set),159.00,4.75,New Menus & Promotions,Regular
2,2022/03/15,Tue,Thailand,Pepper McNuggets Set,99.00,2.96,New Menus & Promotions,Regular
3,2022/03/15,Tue,Thailand,Pepper Pie Set,99.00,2.96,New Menus & Promotions,Regular
4,2022/03/15,Tue,Thailand,Super Cheesy Burger (Chicken) (A-la-carte),89.00,2.66,New Menus & Promotions,Regular
5,2022/03/15,Tue,Thailand,Super Cheesy Burger (Chicken) (Set),189.00,5.65,New Menus & Promotions,Regular
6,2022/03/15,Tue,Thailand,Super Cheesy Burger (Beef) (A-la-carte),89.00,2.66,New Menus & Promotions,Regular
7,2022/03/15,Tue,Thailand,Super Cheesy Burger (Beef) (Set),159.00,4.75,New Menus & Promotions,Regular
8,2022/03/15,Tue,Thailand,Super Cheesy Burger Dunk Cheese (Beef) (A-la-carte),119.00,3.56,New Menus & Promotions,Regular
9,2022/03/15,Tue,Thailand,Super Cheesy Burger Dunk Cheese (Beef) (Set),189.00,5.65,New Menus & Promotions,Regular
10,2022/03/15,Tue,Thailand,Super Cheesy Burger Dunk Cheese (Chicken) (A-la-carte),119.00,3.56,New Menus & Promotions,Regular
11,2022/03/15,Tue,Thailand,Super Cheesy Burger Dunk Cheese (Chicken) (Set),189.00,5.65,New Menus & Promotions,Regular
12,2022/03/15,Tue,Thailand,Super Cheese Burger Combo Set,299.00,8.94,New Menus & Promotions,Regular
13,2022/03/15,Tue,Thailand,Kin Len Cheese Stick Set,159.00,4.75,New Menus & Promotions,Regular
14,2022/03/15,Tue,Thailand,Buy 1 Get 1 McNuggets & French Fries,149.00,4.46,New Menus & Promotions,Regular
15,2022/03/15,Tue,Thailand,50% Sharing Box 18 pcs. Set,199.00,5.95,New Menus & Promotions,Regular
16,2022/03/15,Tue,Thailand,3 pcs. Shacker Chicken Pizza,69.00,2.06,New Menus & Promotions,Regular
17,2022/03/15,Tue,Thailand,4 pcs. Shaker Cheese Stick Pizza,79.00,2.36,New Menus & Promotions,Regular
18,2022/03/15,Tue,Thailand,Shaker Fries Pizza (Large),79.00,2.36,New Menus & Promotions,Regular
19,2022/03/15,Tue,Thailand,3 pcs. Shaker Wings Pizza,69.00,2.06,New Menus & Promotions,Regular
20,2022/03/15,Tue,Thailand,Shaker Party Set 2,199.00,5.95,New Menus & Promotions,Regular
21,2022/03/15,Tue,Thailand,Shaker Party Set 1,149.00,4.46,New Menus & Promotions,Regular
22,2022/03/15,Tue,Thailand,Cheesy Ham Pie,32.00,0.96,New Menus & Promotions,Regular
23,2022/03/15,Tue,Thailand,Chili Paste Pork Ice Cream,39.00,1.17,New Menus & Promotions,Regular
24,2022/03/15,Tue,Thailand,Yuzu Sundae,29.00,0.87,New Menus & Promotions,Regular
25,2022/03/15,Tue,Thailand,Im Daew Don Jai (Filet-O-Fish),159.00,4.75,New Menus & Promotions,Regular
26,2022/03/15,Tue,Thailand,Im Deaw Don Jai McChicken Set,159.00,4.75,New Menus & Promotions,Regular
27,2022/03/15,Tue,Thailand,Kai Kin Sanook Set,109.00,3.26,New Menus & Promotions,Regular
28,2022/03/15,Tue,Thailand,Cheese Stick Kin Sanook Set,99.00,2.96,New Menus & Promotions,Regular
29,2022/03/15,Tue,Thailand,Buy 1 Get 1 Filet-O-Fish Set (Fish),239.00,7.15,New Menus & Promotions,Regular
30,2022/03/15,Tue,Thailand,42% McSnack Set,145.00,4.34,New Menus & Promotions,Regular
31,2022/03/15,Tue,Thailand,30% Spicy Chicken Burger Set,279.00,8.34,New Menus & Promotions,Regular
32,2022/03/15,Tue,Thailand,50% Filet-O-Fish & McNuggets Set,205.00,6.13,New Menus & Promotions,Regular
33,2022/03/15,Tue,Thailand,Jud Tem Triple Beef Cheeseburger Set,209.00,6.25,New Menus & Promotions,Regular
34,2022/03/15,Tue,Thailand,40% off Jud Tem Double Cheeseburger Sud Kum,199.00,5.95,New Menus & Promotions,Regular
35,2022/03/15,Tue,Thailand,Kai Im Koo Set,219.00,6.55,Family Combo Meals,Regular
