,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/05/07,Tue,Thailand,3-Color Bualoy Sundae,45.00,1.22,New Promotions
2,2024/05/07,Tue,Thailand,Taro Coconut Pie,39.00,1.06,New Promotions
3,2024/05/07,Tue,Thailand,3-Color Bualoy A-La-Mode (Taro Coconut Pie),69.00,1.88,New Promotions
4,2024/05/07,Tue,Thailand,3-Color Bualoy A-La-Mode (Corn Pie),65.00,1.77,New Promotions
5,2024/05/07,Tue,Thailand,Set Picnic Box,550.00,14.96,New Promotions
6,2024/05/07,Tue,Thailand,Stackable Lunch Box,450.00,12.24,New Promotions
7,2024/05/07,Tue,Thailand,WcDonald's 10pcs McNuggets,129.00,3.51,New Promotions
8,2024/05/07,Tue,Thailand,McDonald's Set (10 pieces of McNuggets + medium french fries + 16 ounces Coke),179.00,4.87,New Promotions
9,2024/05/07,Tue,Thailand,WcDonald's 20pcs McNugget,249.00,6.77,New Promotions
10,2024/05/07,Tue,Thailand,WcDonald's 20 pcs McNuggets Set,299.00,8.13,New Promotions
11,2024/05/07,Tue,Thailand,WcDonald's All Star Set,419.00,11.40,New Promotions
12,2024/05/07,Tue,Thailand,BIC New Super Max,319.00,8.68,New Promotions
13,2024/05/07,Tue,Thailand,Rice with Fried Chicken and Kaprao Sauce,79.00,2.15,New Promotions
14,2024/05/07,Tue,Thailand,ImKum Rice Fried Chicken Kaprao Sauce Set,149.00,4.05,New Promotions
15,2024/05/07,Tue,Thailand,Duo Fries and Nuggets,99.00,2.69,New Promotions
16,2024/05/07,Tue,Thailand,Duo Bites and Pie,85.00,2.31,New Promotions
17,2024/05/07,Tue,Thailand,Duo Flurry,89.00,2.42,New Promotions
18,2024/05/07,Tue,Thailand,Duo Sundae,69.00,1.88,New Promotions
19,2024/05/07,Tue,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.69,New Promotions
20,2024/05/07,Tue,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.69,New Promotions
21,2024/05/07,Tue,Thailand,McFried Chicken Max Family Set,419.00,11.40,New Promotions
22,2024/05/07,Tue,Thailand,ImKum Kaprao Chicken Rice Set,149.00,4.05,New Promotions
23,2024/05/07,Tue,Thailand,McFlurry Kiss,59.00,1.60,New Promotions
24,2024/05/07,Tue,Thailand,Pepper Chicken Burger Duo,99.00,2.69,New Promotions
25,2024/05/07,Tue,Thailand,Glazed Donut Box Set 3 pcs:Glazed Donut Chocolate Glazed Donut,160.00,4.35,New Promotions
