,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2022/11/08,Tue,Thailand,Mentaiko Combo Set,299.00,8.00,New Promotions,Regular
2,2022/11/08,Tue,Thailand,Crisper Fries Party Size,169.00,4.52,New Promotions,Regular
3,2022/11/08,Tue,Thailand,Salted Caramel Sundae,39.00,1.04,New Promotions,Regular
4,2022/11/08,Tue,Thailand,Quarter Pounder with Cheese (A-la-carte),149.00,3.99,New Promotions,Regular
5,2022/11/08,Tue,Thailand,Quarter Pounder with Cheese (Set),224.00,5.99,New Promotions,Regular
6,2022/11/08,Tue,Thailand,Double Quarter Pounder with Cheese (A-la-carte),209.00,5.59,New Promotions,Regular
7,2022/11/08,Tue,Thailand,Double Quarter Pounder with Cheese (Set),284.00,7.60,New Promotions,Regular
8,2022/11/08,Tue,Thailand,Quarter Pounder with Cheese Bacon (A-la-carte),169.00,4.52,New Promotions,Regular
9,2022/11/08,Tue,Thailand,Quarter Pounder with Cheese Bacon (Set),244.00,6.53,New Promotions,Regular
10,2022/11/08,Tue,Thailand,Mentaiko Fish Burger (A-la-carte),99.00,2.65,New Promotions,Regular
11,2022/11/08,Tue,Thailand,Mentaiko Fish Burger (Set),154.00,4.12,New Promotions,Regular
12,2022/11/08,Tue,Thailand,Truffle Chicken McPorridge,119.00,3.18,New Promotions,Breakfast
13,2022/11/08,Tue,Thailand,Truffle Cheesy Ham Pie,45.00,1.20,New Promotions,Regular
14,2022/11/08,Tue,Thailand,Pinky Peach Sundae,45.00,1.20,New Promotions,Regular
15,2022/11/08,Tue,Thailand,Crisper Fries,89.00,2.38,New Promotions,Regular
16,2022/11/08,Tue,Thailand,Cold Brew Tea Yuzu Peach,59.00,1.58,New Promotions,Regular
17,2022/11/08,Tue,Thailand,Americano Yuzu Peach,69.00,1.85,New Promotions,Regular
18,2022/11/08,Tue,Thailand,Pinky Peach A-La-Mode (Pineapple Pie),65.00,1.74,New Promotions,Regular
19,2022/11/08,Tue,Thailand,Crisper Fries with Cheesy Dip and Coke,119.00,3.18,New Promotions,Regular
20,2022/11/08,Tue,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.47,New Promotions,Regular
21,2022/11/08,Tue,Thailand,Iced Lemon Tea,39.00,1.04,New Promotions,Regular
22,2022/11/08,Tue,Thailand,Iced Double Cocoa,49.00,1.31,New Promotions,Regular
