,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/10/06,Sun,Thailand,Truffle Beef Burger A-la-carte,179.00,5.38,New Promotions
2,2024/10/06,Sun,Thailand,Truffle Beef Burger Set,240.00,7.22,New Promotions
3,2024/10/06,Sun,Thailand,Iced Americano 16oz. + Donut,99.00,2.98,New Promotions
4,2024/10/06,Sun,Thailand,Iced Latte 16oz. + Donut,109.00,3.28,New Promotions
5,2024/10/06,Sun,Thailand,Iced Chocolate 16oz. + Donut,99.00,2.98,New Promotions
6,2024/10/06,Sun,Thailand,Samurai Deluxe Pork Burger A-la-carte,109.00,3.28,New Promotions
7,2024/10/06,Sun,Thailand,Samurai Deluxe Pork Burger Set,184.00,5.54,New Promotions
8,2024/10/06,Sun,Thailand,Samurai Deluxe Chicken Burger A-la-carte,109.00,3.28,New Promotions
9,2024/10/06,Sun,Thailand,Samurai Deluxe Chicken Burger Set,184.00,5.54,New Promotions
10,2024/10/06,Sun,Thailand,Samurai Deluxe Combo Set,319.00,9.60,New Promotions
11,2024/10/06,Sun,Thailand,Chocolate Brownie Sundae,45.00,1.35,New Promotions
12,2024/10/06,Sun,Thailand,Strawberry Brownie Sundae,45.00,1.35,New Promotions
13,2024/10/06,Sun,Thailand,Picnic Box,399.00,12.00,New Promotions
14,2024/10/06,Sun,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.98,New Promotions
15,2024/10/06,Sun,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.98,New Promotions
16,2024/10/06,Sun,Thailand,Super Max Set,319.00,9.60,New Promotions
17,2024/10/06,Sun,Thailand,McChicken Duo,299.00,8.99,Exclusive Only McDelivery
18,2024/10/06,Sun,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.98,Exclusive Only McDelivery
19,2024/10/06,Sun,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.98,Exclusive Only McDelivery
20,2024/10/06,Sun,Thailand,Cheeseburger Set,109.00,3.28,Exclusive Only McDelivery
21,2024/10/06,Sun,Thailand,99 Hamburger Set,99.00,2.98,Exclusive Only McDelivery
22,2024/10/06,Sun,Thailand,99 Pork Burger Set,99.00,2.98,Exclusive Only McDelivery
23,2024/10/06,Sun,Thailand,Im Kum Samurai Burger (Pork) Set,159.00,4.78,Exclusive Only McDelivery
24,2024/10/06,Sun,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.78,Exclusive Only McDelivery
25,2024/10/06,Sun,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.78,Exclusive Only McDelivery
26,2024/10/06,Sun,Thailand,50% McNugget Set,146.00,4.39,Exclusive Only McDelivery
27,2024/10/06,Sun,Thailand,Buy 1 Get 1 McNuggets & French Fries,194.00,5.84,Exclusive Only McDelivery
28,2024/10/06,Sun,Thailand,"Catering Set 1 : 5 Samurai Burger, 5 Filet O Fish, 20 McNuggets",999.00,30.05,Exclusive Only McDelivery
29,2024/10/06,Sun,Thailand,"Catering Set 2 : 15 Pepper Chicken Burger, 15 Pork Burger, 60 McNuggets",1999.00,60.14,Exclusive Only McDelivery
30,2024/10/06,Sun,Thailand,Strawberry Dip 1 Cup,12.00,0.36,Breakfast
31,2024/10/06,Sun,Thailand,Patongko,15.00,0.45,Breakfast
32,2024/10/06,Sun,Thailand,Chocolate Dip 1 Cup,12.00,0.36,Breakfast
33,2024/10/06,Sun,Thailand,Patongko and 2 Chocolate Dip,89.00,2.68,Breakfast
34,2024/10/06,Sun,Thailand,Hot Americano 8 oz.,65.00,1.96,Breakfast
35,2024/10/06,Sun,Thailand,Hot Latte 8 oz.,85.00,2.56,Breakfast
36,2024/10/06,Sun,Thailand,Truffle Beef Burger A-la-carte,179.00,5.38,Burgers
37,2024/10/06,Sun,Thailand,Truffle Beef Burger Set,240.00,7.22,Burgers
38,2024/10/06,Sun,Thailand,Samurai Deluxe Pork Burger A-la-carte,109.00,3.28,Burgers
39,2024/10/06,Sun,Thailand,Samurai Deluxe Pork Burger Set,184.00,5.54,Burgers
40,2024/10/06,Sun,Thailand,Samurai Deluxe Chicken Burger A-la-carte,109.00,3.28,Burgers
41,2024/10/06,Sun,Thailand,Samurai Deluxe Chicken Burger Set,184.00,5.54,Burgers
42,2024/10/06,Sun,Thailand,Samurai Deluxe Combo Set,319.00,9.60,Burgers
43,2024/10/06,Sun,Thailand,Quarter Pounder with Cheese A-la-carte,159.00,4.78,Burgers
44,2024/10/06,Sun,Thailand,Quarter Pounder with Cheese Set,230.00,6.92,Burgers
45,2024/10/06,Sun,Thailand,Double Quarter Pounder with Cheese A-la-carte,219.00,6.59,Burgers
46,2024/10/06,Sun,Thailand,Double Quarter Pounder with Cheese Set,290.00,8.72,Burgers
47,2024/10/06,Sun,Thailand,Quarter Pounder with Cheese Bacon A-la-carte,179.00,5.38,Burgers
48,2024/10/06,Sun,Thailand,Quarter Pounder with Cheese Bacon Set,250.00,7.52,Burgers
49,2024/10/06,Sun,Thailand,Triple Beef Cheeseburger (Beef) A-la-carte,179.00,5.38,Burgers
50,2024/10/06,Sun,Thailand,Triple Beef Cheeseburger (Beef) Set,250.00,7.52,Burgers
51,2024/10/06,Sun,Thailand,Double Cheeseburger (Beef) A-la-carte,139.00,4.18,Burgers
52,2024/10/06,Sun,Thailand,Double Cheeseburger (Beef) Set,210.00,6.32,Burgers
53,2024/10/06,Sun,Thailand,Cheeseburger (Beef) A-la-carte,89.00,2.68,Burgers
54,2024/10/06,Sun,Thailand,Cheeseburger (Beef) Set,160.00,4.81,Burgers
55,2024/10/06,Sun,Thailand,Big Mac. (Beef) A-la-carte,149.00,4.48,Burgers
56,2024/10/06,Sun,Thailand,Big Mac. (Beef) Set,220.00,6.62,Burgers
57,2024/10/06,Sun,Thailand,Double Big Mac (Beef),199.00,5.99,Burgers
58,2024/10/06,Sun,Thailand,Filet-O-Fish (Fish) A-la-carte,109.00,3.28,Burgers
59,2024/10/06,Sun,Thailand,Filet-O-Fish (Fish) Set,180.00,5.42,Burgers
60,2024/10/06,Sun,Thailand,Double Filet-O-Fish (Fish),149.00,4.48,Burgers
61,2024/10/06,Sun,Thailand,Samurai Pork Burger (Pork) A-la-carte,109.00,3.28,Burgers
62,2024/10/06,Sun,Thailand,Samurai Pork Burger (Pork) Set,180.00,5.42,Burgers
63,2024/10/06,Sun,Thailand,McChicken (Chicken) Bigger than ever 50% A-la-carte,109.00,3.28,Burgers
64,2024/10/06,Sun,Thailand,McChicken (Chicken) Bigger than ever 50% Set,180.00,5.42,Burgers
65,2024/10/06,Sun,Thailand,McSpicy Chicken Burger (Chicken) A-la-carte,119.00,3.58,Burgers
66,2024/10/06,Sun,Thailand,McSpicy Chicken Burger (Chicken) Set,194.00,5.84,Burgers
67,2024/10/06,Sun,Thailand,1 pc. McFried Chicken (Original/Spicy),45.00,1.35,McFried Chicken & Rice
68,2024/10/06,Sun,Thailand,Super Max Set,319.00,9.60,McFried Chicken & Rice
69,2024/10/06,Sun,Thailand,Chicken Bites,59.00,1.77,McFried Chicken & Rice
70,2024/10/06,Sun,Thailand,McFried Chicken,89.00,2.68,McFried Chicken & Rice
71,2024/10/06,Sun,Thailand,McFried Chicken Super Value Set,109.00,3.28,McFried Chicken & Rice
72,2024/10/06,Sun,Thailand,McFried Chicken Value Set,149.00,4.48,McFried Chicken & Rice
73,2024/10/06,Sun,Thailand,McFried Chicken Set,175.00,5.26,McFried Chicken & Rice
74,2024/10/06,Sun,Thailand,McFried Chicken Max Family Set,419.00,12.60,McFried Chicken & Rice
75,2024/10/06,Sun,Thailand,French Fries,85.00,2.56,Snack & Desserts
76,2024/10/06,Sun,Thailand,Strawberry Dip 1 Cup,12.00,0.36,Snack & Desserts
77,2024/10/06,Sun,Thailand,Patongko,15.00,0.45,Snack & Desserts
78,2024/10/06,Sun,Thailand,6 pc. McNuggets (Chicken) A-la-carte,109.00,3.28,Snack & Desserts
79,2024/10/06,Sun,Thailand,6 pc. McNuggets (Chicken) Set,180.00,5.42,Snack & Desserts
80,2024/10/06,Sun,Thailand,10 pc. McNuggets (Chicken) A-la-carte,159.00,4.78,Snack & Desserts
81,2024/10/06,Sun,Thailand,10 pc. McNuggets (Chicken) Set,230.00,6.92,Snack & Desserts
82,2024/10/06,Sun,Thailand,Chocolate Dip 1 Cup,12.00,0.36,Snack & Desserts
83,2024/10/06,Sun,Thailand,Cheese Stick,75.00,2.26,Snack & Desserts
84,2024/10/06,Sun,Thailand,New Sharing Box Set,119.00,3.58,Snack & Desserts
85,2024/10/06,Sun,Thailand,Snack Party Set 1,189.00,5.69,Snack & Desserts
86,2024/10/06,Sun,Thailand,McFlurry Oreo,59.00,1.77,Snack & Desserts
87,2024/10/06,Sun,Thailand,Chocolate Sundae,39.00,1.17,Snack & Desserts
88,2024/10/06,Sun,Thailand,Strawberry Sundae,39.00,1.17,Snack & Desserts
89,2024/10/06,Sun,Thailand,Corn Pie,35.00,1.05,Snack & Desserts
90,2024/10/06,Sun,Thailand,Pineapple Pie,35.00,1.05,Snack & Desserts
91,2024/10/06,Sun,Thailand,Cheese Dip,25.00,0.75,Snack & Desserts
92,2024/10/06,Sun,Thailand,Coke No Sugar,65.00,1.96,Beverages
93,2024/10/06,Sun,Thailand,Fanta Strawberry,65.00,1.96,Beverages
94,2024/10/06,Sun,Thailand,Coke,65.00,1.96,Beverages
95,2024/10/06,Sun,Thailand,Sprite No Sugar,65.00,1.96,Beverages
96,2024/10/06,Sun,Thailand,Hot Americano 8 oz.,65.00,1.96,Beverages
97,2024/10/06,Sun,Thailand,Hot Latte 8 oz.,85.00,2.56,Beverages
98,2024/10/06,Sun,Thailand,Iced Milk Tea,55.00,1.65,Beverages
99,2024/10/06,Sun,Thailand,Iced Lemon Tea,59.00,1.77,Beverages
100,2024/10/06,Sun,Thailand,Water 600 ml.,20.00,0.60,Beverages
101,2024/10/06,Sun,Thailand,Glazed Donut,55.00,1.65,McCafe
102,2024/10/06,Sun,Thailand,Iced Americano 16oz. + Donut,99.00,2.98,McCafe
103,2024/10/06,Sun,Thailand,Iced Latte 16oz. + Donut,109.00,3.28,McCafe
104,2024/10/06,Sun,Thailand,Iced Chocolate 16oz. + Donut,99.00,2.98,McCafe
105,2024/10/06,Sun,Thailand,Chocolate Glazed Donut,55.00,1.65,McCafe
106,2024/10/06,Sun,Thailand,Chocolate Brownie,65.00,1.96,McCafe
107,2024/10/06,Sun,Thailand,Plain Croissant,75.00,2.26,McCafe
108,2024/10/06,Sun,Thailand,Hot Cappuccino,85.00,2.56,McCafe
109,2024/10/06,Sun,Thailand,Hot Caramel Macchiato,95.00,2.86,McCafe
110,2024/10/06,Sun,Thailand,Hot Caffe Mocha,95.00,2.86,McCafe
111,2024/10/06,Sun,Thailand,Hot Early Grey Tea,60.00,1.81,McCafe
112,2024/10/06,Sun,Thailand,Hot English Breakfast Tea,70.00,2.11,McCafe
113,2024/10/06,Sun,Thailand,Hot Green Tea,95.00,2.86,McCafe
114,2024/10/06,Sun,Thailand,Hot Chocolate,95.00,2.86,McCafe
115,2024/10/06,Sun,Thailand,Hot Caffe Latte,85.00,2.56,McCafe
116,2024/10/06,Sun,Thailand,Iced Chocolate,85.00,2.56,McCafe
117,2024/10/06,Sun,Thailand,Iced Cappuccino,120.00,3.61,McCafe
118,2024/10/06,Sun,Thailand,Iced Caramel Macchiato,130.00,3.91,McCafe
119,2024/10/06,Sun,Thailand,Iced Caffe Mocha,130.00,3.91,McCafe
120,2024/10/06,Sun,Thailand,Chocolate Cream Frappe,140.00,4.21,McCafe
