,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
1,2025/07/08,Tue,Taiwan,Breakfast  2 Burger Combo Meal,209.00,7.18,Promotion,Breakfast
2,2025/07/08,Tue,Taiwan,Double McChicken Burger Meal,123.00,4.23,Promotion,Breakfast
3,2025/07/08,Tue,Taiwan,Double Filet-O-Fish Meal,142.00,4.88,Promotion,Breakfast
4,2025/07/08,Tue,Taiwan,Peanut butter OREO McFlurry,69.00,2.37,Promotion,Breakfast
5,2025/07/08,Tue,Taiwan,Grand Breakfast,115.00,3.95,Breakfast Platters,Breakfast
6,2025/07/08,Tue,Taiwan,Hotcakes w/Sausage,73.00,2.51,Breakfast Platters,Breakfast
7,2025/07/08,Tue,Taiwan,Hotcakes,59.00,2.03,Breakfast Platters,Breakfast
8,2025/07/08,Tue,Taiwan,Double McChicken Burger,81.00,2.78,Breakfast & Value Meals,Breakfast
9,2025/07/08,Tue,Taiwan,McChicken,51.00,1.75,Breakfast & Value Meals,Breakfast
10,2025/07/08,Tue,Taiwan,Breakfast  2 Burger Combo Meal,209.00,7.18,Breakfast & Value Meals,Breakfast
11,2025/07/08,Tue,Taiwan,Double Filet-O-Fish,100.00,3.44,Breakfast & Value Meals,Breakfast
12,2025/07/08,Tue,Taiwan,Mushroom Bagel Sandwich,93.00,3.20,Breakfast & Value Meals,Breakfast
13,2025/07/08,Tue,Taiwan,McNuggets(10),110.00,3.78,Breakfast & Value Meals,Breakfast
14,2025/07/08,Tue,Taiwan,6pcs Chicken McNuggets,69.00,2.37,Breakfast & Value Meals,Breakfast
15,2025/07/08,Tue,Taiwan,Tomato Bagel Sandwich,73.00,2.51,Breakfast & Value Meals,Breakfast
16,2025/07/08,Tue,Taiwan,Mega Sausage McMuffin,82.00,2.82,Breakfast & Value Meals,Breakfast
17,2025/07/08,Tue,Taiwan,Sausage McMuffin w/Egg,62.00,2.13,Breakfast & Value Meals,Breakfast
18,2025/07/08,Tue,Taiwan,Plain Bagel,59.00,2.03,Breakfast & Value Meals,Breakfast
19,2025/07/08,Tue,Taiwan,Sausage McMuffin,52.00,1.79,Breakfast & Value Meals,Breakfast
20,2025/07/08,Tue,Taiwan,Egg McMuffin,54.00,1.86,Breakfast & Value Meals,Breakfast
21,2025/07/08,Tue,Taiwan,Filet-O-Fish,60.00,2.06,Breakfast & Value Meals,Breakfast
22,2025/07/08,Tue,Taiwan,Egg Burger w/Sausage,66.00,2.27,Breakfast & Value Meals,Breakfast
23,2025/07/08,Tue,Taiwan,Egg Burger w/Ham,54.00,1.86,Breakfast & Value Meals,Breakfast
24,2025/07/08,Tue,Taiwan,Egg Burger w/Cheese,38.00,1.31,Breakfast & Value Meals,Breakfast
25,2025/07/08,Tue,Taiwan,Hot Select Brew Americano,75.00,2.58,McCafé,Breakfast
26,2025/07/08,Tue,Taiwan,Iced Select Brew Americano,75.00,2.58,McCafé,Breakfast
27,2025/07/08,Tue,Taiwan,Hot Select Brew Latte,88.00,3.02,McCafé,Breakfast
28,2025/07/08,Tue,Taiwan,Iced Select Brew Latte,88.00,3.02,McCafé,Breakfast
29,2025/07/08,Tue,Taiwan,Caramel Milk Tea (Iced),69.00,2.37,McCafé,Breakfast
30,2025/07/08,Tue,Taiwan,Honey Milk Tea (Iced),69.00,2.37,McCafé,Breakfast
31,2025/07/08,Tue,Taiwan,Honey Black Tea (Iced),59.00,2.03,McCafé,Breakfast
32,2025/07/08,Tue,Taiwan,Honey Milk Tea (Hot),69.00,2.37,McCafé,Breakfast
33,2025/07/08,Tue,Taiwan,Latte (Iced) (No sugar),78.00,2.68,McCafé,Breakfast
34,2025/07/08,Tue,Taiwan,Americano (Iced)(No sugar),65.00,2.23,McCafé,Breakfast
35,2025/07/08,Tue,Taiwan,Latte (Hot),78.00,2.68,McCafé,Breakfast
36,2025/07/08,Tue,Taiwan,Americano (Hot),65.00,2.23,McCafé,Breakfast
37,2025/07/08,Tue,Taiwan,Evian Water,51.00,1.75,McCafé,Breakfast
38,2025/07/08,Tue,Taiwan,Caramel Milk Tea (Iced),69.00,2.37,Beverage,Breakfast
39,2025/07/08,Tue,Taiwan,Taiwan Fresh Orange Juice,69.00,2.37,Beverage,Breakfast
40,2025/07/08,Tue,Taiwan,Black Tea (Hot),38.00,1.31,Beverage,Breakfast
41,2025/07/08,Tue,Taiwan,Milk Tea (Hot),51.00,1.75,Beverage,Breakfast
42,2025/07/08,Tue,Taiwan,Milk Tea (Iced),51.00,1.75,Beverage,Breakfast
43,2025/07/08,Tue,Taiwan,Milk,33.00,1.13,Beverage,Breakfast
44,2025/07/08,Tue,Taiwan,Sugar-free Black Tea (Iced),44.00,1.51,Beverage,Breakfast
