,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
0,2022/03/04,Fri,Taiwan,Happy Sharing Meal - Chicken McCrispy,519.00,18.48,Happy Sharing Box,Regular
1,2022/03/04,Fri,Taiwan,Spicy Chicken Wing HSM,308.00,10.97,Happy Sharing Box,Regular
2,2022/03/04,Fri,Taiwan,Tender Chicken Wing HSM,308.00,10.97,Happy Sharing Box,Regular
3,2022/03/04,Fri,Taiwan,20 Pcs Chicken McNuggets Sharing Meal,259.00,9.22,Happy Sharing Box,Regular
4,2022/03/04,Fri,Taiwan,30 Pcs McNuggets Sharing Meal,349.00,12.43,Happy Sharing Box,Regular
5,2022/03/04,Fri,Taiwan,McCrispy Sharing Meal,459.00,16.34,Happy Sharing Box,Regular
6,2022/03/04,Fri,Taiwan,McCrispy & McNuggets Sharing Meal,539.00,19.19,Happy Sharing Box,Regular
7,2022/03/04,Fri,Taiwan,Tender Chicken Wing HSM,309.00,11.00,Happy Sharing Box,Regular
8,2022/03/04,Fri,Taiwan,Spicy Chicken Wing HSM,309.00,11.00,Happy Sharing Box,Regular
9,2022/03/04,Fri,Taiwan,2 Burger Combo Meal,309.00,11.00,Happy Sharing Box,Regular
10,2022/03/04,Fri,Taiwan,Grand Breakfast,115.00,4.09,Breakfast Platters,Breakfast
11,2022/03/04,Fri,Taiwan,Big Breakfast,75.00,2.67,Breakfast Platters,Breakfast
12,2022/03/04,Fri,Taiwan,Hotcakes w/Sausage,69.00,2.46,Breakfast Platters,Breakfast
13,2022/03/04,Fri,Taiwan,Hotcakes,55.00,1.96,Breakfast Platters,Breakfast
14,2022/03/04,Fri,Taiwan,Mega Chicken,100.00,3.56,Pronotiom,Regular
15,2022/03/04,Fri,Taiwan,Double Big Mac,120.00,4.27,Pronotiom,Regular
16,2022/03/04,Fri,Taiwan,Big Mac,80.00,2.85,Pronotiom,Regular
17,2022/03/04,Fri,Taiwan,30 Pcs McNuggets Sharing Meal,349.00,12.43,Pronotiom,Regular
18,2022/03/04,Fri,Taiwan,McCrispy & McNuggets Sharing Meal,539.00,19.19,Pronotiom,Regular
19,2022/03/04,Fri,Taiwan,BLT Angus Beef Burger,114.00,4.06,Signature,Regular
20,2022/03/04,Fri,Taiwan,BLT Spicy Chicken Burger,114.00,4.06,Signature,Regular
21,2022/03/04,Fri,Taiwan,BLT Grilled Chicken Burger,114.00,4.06,Signature,Regular
22,2022/03/04,Fri,Taiwan,Mushroom Angus Beef Burger,124.00,4.42,Signature,Regular
23,2022/03/04,Fri,Taiwan,Caesar Salad w/Spicy Chicken Filet,104.00,3.70,Signature,Regular
24,2022/03/04,Fri,Taiwan,Italian Grilled Chicken Salad,104.00,3.70,Signature,Regular
25,2022/03/04,Fri,Taiwan,Tea time,99.00,3.53,Tea time,Regular
26,2022/03/04,Fri,Taiwan,Mega Chicken,100.00,3.56,Ala Carte & Value Meals,Regular
27,2022/03/04,Fri,Taiwan,Double Big Mac,120.00,4.27,Ala Carte & Value Meals,Regular
28,2022/03/04,Fri,Taiwan,Ginger Pork Burger,84.00,2.99,Ala Carte & Value Meals,Regular
29,2022/03/04,Fri,Taiwan,Smoked Chicken Burger,84.00,2.99,Ala Carte & Value Meals,Regular
30,2022/03/04,Fri,Taiwan,BLT Angus Beef Burger,114.00,4.06,Ala Carte & Value Meals,Regular
31,2022/03/04,Fri,Taiwan,BLT Spicy Chicken Burger,114.00,4.06,Ala Carte & Value Meals,Regular
32,2022/03/04,Fri,Taiwan,BLT Grilled Chicken Burger,114.00,4.06,Ala Carte & Value Meals,Regular
33,2022/03/04,Fri,Taiwan,Mushroom Angus Beef Burger,124.00,4.42,Ala Carte & Value Meals,Regular
34,2022/03/04,Fri,Taiwan,Caesar Salad w/Spicy Chicken Filet,104.00,3.70,Ala Carte & Value Meals,Regular
35,2022/03/04,Fri,Taiwan,Italian Grilled Chicken Salad,104.00,3.70,Ala Carte & Value Meals,Regular
36,2022/03/04,Fri,Taiwan,Big Mac,80.00,2.85,Ala Carte & Value Meals,Regular
37,2022/03/04,Fri,Taiwan,Double Cheese Burger,70.00,2.49,Ala Carte & Value Meals,Regular
38,2022/03/04,Fri,Taiwan,McCrispy-Chicken Leg/Thigh,60.00,2.14,Ala Carte & Value Meals,Regular
39,2022/03/04,Fri,Taiwan,McCrispy-Chicken Wing,49.00,1.74,Ala Carte & Value Meals,Regular
40,2022/03/04,Fri,Taiwan,10pcs Chicken McNuggets,104.00,3.70,Ala Carte & Value Meals,Regular
41,2022/03/04,Fri,Taiwan,6pcs Chicken McNuggets,64.00,2.28,Ala Carte & Value Meals,Regular
42,2022/03/04,Fri,Taiwan,Grilled Chicken Burger,80.00,2.85,Ala Carte & Value Meals,Regular
43,2022/03/04,Fri,Taiwan,Spicy Chicken Filet,80.00,2.85,Ala Carte & Value Meals,Regular
44,2022/03/04,Fri,Taiwan,McChicken,49.00,1.74,Ala Carte & Value Meals,Regular
45,2022/03/04,Fri,Taiwan,Filet-O-Fish,60.00,2.14,Ala Carte & Value Meals,Regular
46,2022/03/04,Fri,Taiwan,Hot Honey Milk Tea,65.00,2.31,McCafé,Regular
47,2022/03/04,Fri,Taiwan,Iced Honey Milk Tea,65.00,2.31,McCafé,Regular
