,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
1,2022/07/26,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.54,Promotions & Combos,Regular
2,2022/07/26,Tue,Vietnam,Garlic Fish Sauce Fried Chicken Rice,49000.00,2.10,Promotions & Combos,Regular
3,2022/07/26,Tue,Vietnam,Shake Shake Salad,35000.00,1.50,Promotions & Combos,Regular
4,2022/07/26,Tue,Vietnam,Mixed Rice Korean Style with Drink,65000.00,2.78,Promotions & Combos,Regular
5,2022/07/26,Tue,Vietnam,Combo for 1,85000.00,3.64,Promotions & Combos,Regular
6,2022/07/26,Tue,Vietnam,Macaroni Soup,39000.00,1.67,Promotions & Combos,Regular
7,2022/07/26,Tue,Vietnam,Combo For 2A,136000.00,5.82,Promotions & Combos,Regular
8,2022/07/26,Tue,Vietnam,Combo For 2B,176000.00,7.53,Promotions & Combos,Regular
9,2022/07/26,Tue,Vietnam,Combo For 2C,186000.00,7.96,Promotions & Combos,Regular
10,2022/07/26,Tue,Vietnam,Combo For 3A,276000.00,11.80,Promotions & Combos,Regular
11,2022/07/26,Tue,Vietnam,Combo For 3B,286000.00,12.23,Promotions & Combos,Regular
12,2022/07/26,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.54,Promotions & Combos,Breakfast
13,2022/07/26,Tue,Vietnam,Garlic Fish Sauce Fried Chicken Rice,49000.00,2.10,Promotions & Combos,Breakfast
14,2022/07/26,Tue,Vietnam,Shake Shake Salad,35000.00,1.50,Promotions & Combos,Breakfast
15,2022/07/26,Tue,Vietnam,Mixed Rice Korean Style with Drink,65000.00,2.78,Promotions & Combos,Breakfast
16,2022/07/26,Tue,Vietnam,Combo for 1,85000.00,3.64,Promotions & Combos,Breakfast
17,2022/07/26,Tue,Vietnam,Macaroni Soup,39000.00,1.67,Promotions & Combos,Breakfast
18,2022/07/26,Tue,Vietnam,Combo For 2A,136000.00,5.82,Promotions & Combos,Breakfast
19,2022/07/26,Tue,Vietnam,Combo For 2B,176000.00,7.53,Promotions & Combos,Breakfast
20,2022/07/26,Tue,Vietnam,Combo For 2C,186000.00,7.96,Promotions & Combos,Breakfast
21,2022/07/26,Tue,Vietnam,Combo For 3A,276000.00,11.80,Promotions & Combos,Breakfast
22,2022/07/26,Tue,Vietnam,Combo For 3B,286000.00,12.23,Promotions & Combos,Breakfast
23,2022/07/26,Tue,Vietnam,Fried Chicken Happy Meal,69000.00,2.95,Happy Meals,Regular
24,2022/07/26,Tue,Vietnam,4pcs Chicken McNuggets Happy Meal,69000.00,2.95,Happy Meals,Regular
25,2022/07/26,Tue,Vietnam,Cheeseburger Happy Meal,69000.00,2.95,Happy Meals,Regular
26,2022/07/26,Tue,Vietnam,Chicken Burger Happy Meal,69000.00,2.95,Happy Meals,Regular
27,2022/07/26,Tue,Vietnam,Sausage Burger Happy Meal,69000.00,2.95,Happy Meals,Regular
28,2022/07/26,Tue,Vietnam,Frozen Sweet Potato Tall,79000.00,3.38,Minion Drinks,Regular
29,2022/07/26,Tue,Vietnam,Blue Mango Sorbet Tall,59000.00,2.52,Minion Drinks,Regular
30,2022/07/26,Tue,Vietnam,Mango Sundae Small,19000.00,0.81,Minion Drinks,Regular
31,2022/07/26,Tue,Vietnam,Hot Latte,43000.00,1.84,Monday - Coffee Day,Regular
32,2022/07/26,Tue,Vietnam,Iced Latte,53000.00,2.27,Monday - Coffee Day,Regular
33,2022/07/26,Tue,Vietnam,Iced Americano,48000.00,2.05,Monday - Coffee Day,Regular
34,2022/07/26,Tue,Vietnam,Iced Vietnamese Black,33000.00,1.41,Monday - Coffee Day,Regular
35,2022/07/26,Tue,Vietnam,Iced Vietnamese White Coffee,33000.00,1.41,Monday - Coffee Day,Regular
36,2022/07/26,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.54,Tuesday - Chicken Day,Regular
37,2022/07/26,Tue,Vietnam,Cheeseburger Happy Meal,69000.00,2.95,Wednesday - Happy Day,Regular
38,2022/07/26,Tue,Vietnam,Sausage Burger Happy Meal,69000.00,2.95,Wednesday - Happy Day,Regular
39,2022/07/26,Tue,Vietnam,4pcs Chicken McNuggets Happy Meal,69000.00,2.95,Wednesday - Happy Day,Regular
40,2022/07/26,Tue,Vietnam,Chicken Burger Happy Meal,69000.00,2.95,Wednesday - Happy Day,Regular
41,2022/07/26,Tue,Vietnam,Fried Chicken Happy Meal,69000.00,2.95,Wednesday - Happy Day,Regular
42,2022/07/26,Tue,Vietnam,Double Cheeseburger,83000.00,3.55,Thursday  - Burger Day,Regular
43,2022/07/26,Tue,Vietnam,Cheeseburger Deluxe,73000.00,3.12,Thursday  - Burger Day,Regular
44,2022/07/26,Tue,Vietnam,McRoyal w. Cheese,93000.00,3.98,Thursday  - Burger Day,Regular
45,2022/07/26,Tue,Vietnam,Big Mac,93000.00,3.98,Thursday  - Burger Day,Regular
46,2022/07/26,Tue,Vietnam,McRoyal Deluxe,103000.00,4.41,Thursday  - Burger Day,Regular
47,2022/07/26,Tue,Vietnam,McSpicy Deluxe,103000.00,4.41,Thursday  - Burger Day,Regular
48,2022/07/26,Tue,Vietnam,McChicken Deluxe,93000.00,3.98,Thursday  - Burger Day,Regular
49,2022/07/26,Tue,Vietnam,Filet - O - Fish,73000.00,3.12,Thursday  - Burger Day,Regular
50,2022/07/26,Tue,Vietnam,Triple Cheeseburger,109000.00,4.66,Thursday  - Burger Day,Regular
51,2022/07/26,Tue,Vietnam,Double McChicken,117000.00,5.00,Thursday  - Burger Day,Regular
52,2022/07/26,Tue,Vietnam,Double McRoyal w Cheese,127000.00,5.43,Thursday  - Burger Day,Regular
53,2022/07/26,Tue,Vietnam,Double Filet O Fish Burger,97000.00,4.15,Thursday  - Burger Day,Regular
54,2022/07/26,Tue,Vietnam,Milk Cream Tea,48000.00,2.05,Friday - Tea Day,Regular
55,2022/07/26,Tue,Vietnam,Peach Tea,48000.00,2.05,Friday - Tea Day,Regular
56,2022/07/26,Tue,Vietnam,Hot Tea,23000.00,0.98,Friday - Tea Day,Regular
57,2022/07/26,Tue,Vietnam,Iced Tea,23000.00,0.98,Friday - Tea Day,Regular
58,2022/07/26,Tue,Vietnam,Lychee Black Tea,48000.00,2.05,Friday - Tea Day,Regular
59,2022/07/26,Tue,Vietnam,Double McChicken,95000.00,4.06,Secret Menu,Regular
60,2022/07/26,Tue,Vietnam,Double McRoyal w Cheese,105000.00,4.49,Secret Menu,Regular
61,2022/07/26,Tue,Vietnam,Double Filet O Fish Burger,75000.00,3.21,Secret Menu,Regular
62,2022/07/26,Tue,Vietnam,Triple Cheeseburger,82000.00,3.51,Secret Menu,Regular
63,2022/07/26,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.54,Fried Chicken (Original/Spicy),Regular
64,2022/07/26,Tue,Vietnam,1 pc Fried Chicken EVM,62000.00,2.65,Fried Chicken (Original/Spicy),Regular
65,2022/07/26,Tue,Vietnam,2 pcs Fried Chicken EVM,89000.00,3.81,Fried Chicken (Original/Spicy),Regular
66,2022/07/26,Tue,Vietnam,3 pcs Fried Chicken,99000.00,4.23,Fried Chicken (Original/Spicy),Regular
67,2022/07/26,Tue,Vietnam,5 pcs Fried Chicken,169000.00,7.23,Fried Chicken (Original/Spicy),Regular
68,2022/07/26,Tue,Vietnam,9 pcs Fried Chicken,289000.00,12.36,Fried Chicken (Original/Spicy),Regular
69,2022/07/26,Tue,Vietnam,6pcs Chicken McNuggets,52000.00,2.22,Fried Chicken (Original/Spicy),Regular
70,2022/07/26,Tue,Vietnam,3pcs Chicken McWings,69000.00,2.95,Fried Chicken (Original/Spicy),Regular
71,2022/07/26,Tue,Vietnam,9pcs Chicken McNuggets,72000.00,3.08,Fried Chicken (Original/Spicy),Regular
72,2022/07/26,Tue,Vietnam,6pcs Chicken McWings,125000.00,5.35,Fried Chicken (Original/Spicy),Regular
73,2022/07/26,Tue,Vietnam,20pcs Chicken McNuggets ,120000.00,5.13,Fried Chicken (Original/Spicy),Regular
74,2022/07/26,Tue,Vietnam,10pcs Chicken McWings ,175000.00,7.49,Fried Chicken (Original/Spicy),Regular
75,2022/07/26,Tue,Vietnam,Big Mac,72000.00,3.08,Beef Burger,Regular
76,2022/07/26,Tue,Vietnam,Double Cheeseburger,62000.00,2.65,Beef Burger,Regular
77,2022/07/26,Tue,Vietnam,McRoyal Deluxe,82000.00,3.51,Beef Burger,Regular
78,2022/07/26,Tue,Vietnam,Triple Cheeseburger,82000.00,3.51,Beef Burger,Regular
79,2022/07/26,Tue,Vietnam,McRoyal w. Cheese,72000.00,3.08,Beef Burger,Regular
80,2022/07/26,Tue,Vietnam,Cheeseburger,41000.00,1.75,Beef Burger,Regular
81,2022/07/26,Tue,Vietnam,Cheeseburger Deluxe,52000.00,2.22,Beef Burger,Regular
82,2022/07/26,Tue,Vietnam,Hamburger,34000.00,1.45,Beef Burger,Regular
83,2022/07/26,Tue,Vietnam,McSpicy Deluxe,82000.00,3.51,Chicken & Fish Burger,Regular
84,2022/07/26,Tue,Vietnam,Filet - O - Fish,52000.00,2.22,Chicken & Fish Burger,Regular
85,2022/07/26,Tue,Vietnam,McChicken Deluxe,72000.00,3.08,Chicken & Fish Burger,Regular
86,2022/07/26,Tue,Vietnam,McChicken,62000.00,2.65,Chicken & Fish Burger,Regular
87,2022/07/26,Tue,Vietnam,Chicken Burger,34000.00,1.45,Chicken & Fish Burger,Regular
88,2022/07/26,Tue,Vietnam,Garlic Fish Sauce Fried Chicken Rice,49000.00,2.10,Rice,Regular
89,2022/07/26,Tue,Vietnam,Mixed Rice Korean Style with Drink,65000.00,2.78,Rice,Regular
90,2022/07/26,Tue,Vietnam,McSpicy Chicken Rice,76000.00,3.25,Rice,Regular
91,2022/07/26,Tue,Vietnam,Chicken Rice,39000.00,1.67,Rice,Regular
92,2022/07/26,Tue,Vietnam,World Famous Fries ,18000.00,0.77,Snacks/Sides,Regular
93,2022/07/26,Tue,Vietnam,Sweet Corn,18000.00,0.77,Snacks/Sides,Regular
94,2022/07/26,Tue,Vietnam,Hot Apple Pie,27000.00,1.15,Snacks/Sides,Regular
95,2022/07/26,Tue,Vietnam,6pcs Chicken McNuggets,52000.00,2.22,Snacks/Sides,Regular
96,2022/07/26,Tue,Vietnam,Cheeseburger,41000.00,1.75,Snacks/Sides,Regular
97,2022/07/26,Tue,Vietnam,Hamburger,34000.00,1.45,Snacks/Sides,Regular
98,2022/07/26,Tue,Vietnam,Chicken Burger,34000.00,1.45,Snacks/Sides,Regular
99,2022/07/26,Tue,Vietnam,Sausage Burger,34000.00,1.45,Snacks/Sides,Regular
100,2022/07/26,Tue,Vietnam,Frozen Sweet Potato Tall,79000.00,3.38,Beverages,Regular
101,2022/07/26,Tue,Vietnam,Blue Mango Sorbet Tall,59000.00,2.52,Beverages,Regular
102,2022/07/26,Tue,Vietnam,Coca-Cola Light ,27000.00,1.15,Beverages,Regular
103,2022/07/26,Tue,Vietnam,Coca-Cola,17000.00,0.73,Beverages,Regular
104,2022/07/26,Tue,Vietnam,Dasani water,20000.00,0.86,Beverages,Regular
105,2022/07/26,Tue,Vietnam,Sprite,17000.00,0.73,Beverages,Regular
106,2022/07/26,Tue,Vietnam,Fanta,17000.00,0.73,Beverages,Regular
107,2022/07/26,Tue,Vietnam,Teppy Orange Drink,20000.00,0.86,Beverages,Regular
108,2022/07/26,Tue,Vietnam,Milo,20000.00,0.86,Beverages,Regular
109,2022/07/26,Tue,Vietnam,TH Milk,20000.00,0.86,Beverages,Regular
110,2022/07/26,Tue,Vietnam,Fuze Tea - Peach & Chia Seeds,20000.00,0.86,Beverages,Regular
111,2022/07/26,Tue,Vietnam,Fuze Tea - Passion & Chia Seeds,20000.00,0.86,Beverages,Regular
112,2022/07/26,Tue,Vietnam,Peach Tea,48000.00,2.05,Beverages,Regular
113,2022/07/26,Tue,Vietnam,Milk Cream Tea,48000.00,2.05,Beverages,Regular
114,2022/07/26,Tue,Vietnam,Lychee Black Tea,48000.00,2.05,Beverages,Regular
115,2022/07/26,Tue,Vietnam,Matcha Frappe,78000.00,3.34,Beverages,Regular
116,2022/07/26,Tue,Vietnam,Hot Matcha Latte,58000.00,2.48,Beverages,Regular
117,2022/07/26,Tue,Vietnam,Hot Chocolate,43000.00,1.84,Beverages,Regular
118,2022/07/26,Tue,Vietnam,Iced Latte,53000.00,2.27,Beverages,Regular
119,2022/07/26,Tue,Vietnam,Hot Latte,43000.00,1.84,Beverages,Regular
120,2022/07/26,Tue,Vietnam,Cappuccino,43000.00,1.84,Beverages,Regular
121,2022/07/26,Tue,Vietnam,Mocha,53000.00,2.27,Beverages,Regular
122,2022/07/26,Tue,Vietnam,Mocha Frappe,72000.00,3.08,Beverages,Regular
123,2022/07/26,Tue,Vietnam,Americano,38000.00,1.63,Beverages,Regular
124,2022/07/26,Tue,Vietnam,Iced Americano,48000.00,2.05,Beverages,Regular
125,2022/07/26,Tue,Vietnam,Caramel Frappe,72000.00,3.08,Beverages,Regular
126,2022/07/26,Tue,Vietnam,Iced Vietnamese White Coffee,33000.00,1.41,Beverages,Regular
127,2022/07/26,Tue,Vietnam,Iced Vietnamese Black,33000.00,1.41,Beverages,Regular
128,2022/07/26,Tue,Vietnam,Hot Latte,43000.00,1.84,McCAFÉ,Regular
129,2022/07/26,Tue,Vietnam,Iced Latte,53000.00,2.27,McCAFÉ,Regular
130,2022/07/26,Tue,Vietnam,Iced Americano,48000.00,2.05,McCAFÉ,Regular
131,2022/07/26,Tue,Vietnam,Iced Vietnamese Black,33000.00,1.41,McCAFÉ,Regular
132,2022/07/26,Tue,Vietnam,Iced Vietnamese White Coffee,33000.00,1.41,McCAFÉ,Regular
133,2022/07/26,Tue,Vietnam,Yogurt Strawberry,58000.00,2.48,McCAFÉ,Regular
134,2022/07/26,Tue,Vietnam,Kiwi Yogurt,58000.00,2.48,McCAFÉ,Regular
135,2022/07/26,Tue,Vietnam,Frozen Sweet Potato Tall,79000.00,3.38,McCAFÉ,Regular
136,2022/07/26,Tue,Vietnam,Blue Mango Sorbet Tall,59000.00,2.52,McCAFÉ,Regular
137,2022/07/26,Tue,Vietnam,Iced Mocha,58000.00,2.48,McCAFÉ,Regular
138,2022/07/26,Tue,Vietnam,Lychee Black Tea,48000.00,2.05,McCAFÉ,Regular
139,2022/07/26,Tue,Vietnam,Milk Cream Tea,48000.00,2.05,McCAFÉ,Regular
140,2022/07/26,Tue,Vietnam,Peach Tea,48000.00,2.05,McCAFÉ,Regular
141,2022/07/26,Tue,Vietnam,Matcha Frappe,78000.00,3.34,McCAFÉ,Regular
142,2022/07/26,Tue,Vietnam,Hot Matcha Latte,58000.00,2.48,McCAFÉ,Regular
143,2022/07/26,Tue,Vietnam,Hot Chocolate,43000.00,1.84,McCAFÉ,Regular
144,2022/07/26,Tue,Vietnam,Cappuccino,43000.00,1.84,McCAFÉ,Regular
145,2022/07/26,Tue,Vietnam,Mocha,53000.00,2.27,McCAFÉ,Regular
146,2022/07/26,Tue,Vietnam,Mocha Frappe,72000.00,3.08,McCAFÉ,Regular
147,2022/07/26,Tue,Vietnam,Americano,38000.00,1.63,McCAFÉ,Regular
148,2022/07/26,Tue,Vietnam,Caramel Frappe,72000.00,3.08,McCAFÉ,Regular
149,2022/07/26,Tue,Vietnam,Hot Tea,23000.00,0.98,McCAFÉ,Regular
150,2022/07/26,Tue,Vietnam,Iced Tea,23000.00,0.98,McCAFÉ,Regular
151,2022/07/26,Tue,Vietnam,Mango Sundae Small,19000.00,0.81,Dessert,Regular
152,2022/07/26,Tue,Vietnam,Hot Apple Pie,27000.00,1.15,Dessert,Regular
153,2022/07/26,Tue,Vietnam,Butter Croissant,30000.00,1.28,Dessert,Regular
154,2022/07/26,Tue,Vietnam,Matcha Oreo McFlurry,41000.00,1.75,Dessert,Regular
155,2022/07/26,Tue,Vietnam,Oreo McFlurry,38000.00,1.63,Dessert,Regular
156,2022/07/26,Tue,Vietnam,Sundae Hot Fudge,31000.00,1.33,Dessert,Regular
157,2022/07/26,Tue,Vietnam,Sundae Strawberry,31000.00,1.33,Dessert,Regular
158,2022/07/26,Tue,Vietnam,Tiramisu,55000.00,2.35,Dessert,Regular
159,2022/07/26,Tue,Vietnam,Baked CheeseCake,35000.00,1.50,Dessert,Regular
160,2022/07/26,Tue,Vietnam,Blueberry Cheese Cake,35000.00,1.50,Dessert,Regular
161,2022/07/26,Tue,Vietnam,Banana Muffin,30000.00,1.28,Dessert,Regular
162,2022/07/26,Tue,Vietnam,Choco Brownie,30000.00,1.28,Dessert,Regular
163,2022/07/26,Tue,Vietnam,Chocolate Chip Cookie,25000.00,1.07,Dessert,Regular
164,2022/07/26,Tue,Vietnam,Coconut Macaroons 2Pc,25000.00,1.07,Dessert,Regular
165,2022/07/26,Tue,Vietnam,Coconut Macaroon,15000.00,0.64,Dessert,Regular
166,2022/07/26,Tue,Vietnam,2 packs of ketchup,4000.00,0.17,Condiment,Regular
167,2022/07/26,Tue,Vietnam,2 Packs of Sweet Chili,4000.00,0.17,Condiment,Regular
168,2022/07/26,Tue,Vietnam,Fried Chicken Happy Meal,69000.00,2.95,Happy Meals,Breakfast
169,2022/07/26,Tue,Vietnam,4pcs Chicken McNuggets Happy Meal,69000.00,2.95,Happy Meals,Breakfast
170,2022/07/26,Tue,Vietnam,Cheeseburger Happy Meal,69000.00,2.95,Happy Meals,Breakfast
171,2022/07/26,Tue,Vietnam,Chicken Burger Happy Meal,69000.00,2.95,Happy Meals,Breakfast
172,2022/07/26,Tue,Vietnam,Sausage Burger Happy Meal,69000.00,2.95,Happy Meals,Breakfast
173,2022/07/26,Tue,Vietnam,Frozen Sweet Potato Tall,79000.00,3.38,Minion Drinks,Breakfast
174,2022/07/26,Tue,Vietnam,Blue Mango Sorbet Tall,59000.00,2.52,Minion Drinks,Breakfast
175,2022/07/26,Tue,Vietnam,Mango Sundae Small,19000.00,0.81,Minion Drinks,Breakfast
176,2022/07/26,Tue,Vietnam,Hot Latte,43000.00,1.84,Monday - Coffee Day,Breakfast
177,2022/07/26,Tue,Vietnam,Iced Latte,53000.00,2.27,Monday - Coffee Day,Breakfast
178,2022/07/26,Tue,Vietnam,Iced Americano,48000.00,2.05,Monday - Coffee Day,Breakfast
179,2022/07/26,Tue,Vietnam,Iced Vietnamese Black,33000.00,1.41,Monday - Coffee Day,Breakfast
180,2022/07/26,Tue,Vietnam,Iced Vietnamese White Coffee,33000.00,1.41,Monday - Coffee Day,Breakfast
181,2022/07/26,Tue,Vietnam,Cheeseburger Happy Meal,69000.00,2.95,Wednesday - Happy Day,Breakfast
182,2022/07/26,Tue,Vietnam,Sausage Burger Happy Meal,69000.00,2.95,Wednesday - Happy Day,Breakfast
183,2022/07/26,Tue,Vietnam,4pcs Chicken McNuggets Happy Meal,69000.00,2.95,Wednesday - Happy Day,Breakfast
184,2022/07/26,Tue,Vietnam,Chicken Burger Happy Meal,69000.00,2.95,Wednesday - Happy Day,Breakfast
185,2022/07/26,Tue,Vietnam,Fried Chicken Happy Meal,69000.00,2.95,Wednesday - Happy Day,Breakfast
186,2022/07/26,Tue,Vietnam,Milk Cream Tea,48000.00,2.05,Friday - Tea Day,Breakfast
187,2022/07/26,Tue,Vietnam,Peach Tea,48000.00,2.05,Friday - Tea Day,Breakfast
188,2022/07/26,Tue,Vietnam,Hot Tea,23000.00,0.98,Friday - Tea Day,Breakfast
189,2022/07/26,Tue,Vietnam,Iced Tea,23000.00,0.98,Friday - Tea Day,Breakfast
190,2022/07/26,Tue,Vietnam,Lychee Black Tea,48000.00,2.05,Friday - Tea Day,Breakfast
191,2022/07/26,Tue,Vietnam,Shake Shake Salad,35000.00,1.50,Main menu,Breakfast
192,2022/07/26,Tue,Vietnam,Mixed Rice Korean Style with Drink,65000.00,2.78,Main menu,Breakfast
193,2022/07/26,Tue,Vietnam,Macaroni Soup,39000.00,1.67,Main menu,Breakfast
