,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
1,2024/09/12,Thu,Vietnam,Combo Value Breakfast 45k,45000.00,1.84,Promotions,Breakfast
2,2024/09/12,Thu,Vietnam,Sausage McMuffin w Iced Americano (7573),59000.00,2.41,Promotions,Breakfast
3,2024/09/12,Thu,Vietnam,Cheesy Burger w Iced Latte (7572),69000.00,2.82,Promotions,Breakfast
4,2024/09/12,Thu,Vietnam,Iced Americano (4049),25000.00,1.02,Promotions,Breakfast
5,2024/09/12,Thu,Vietnam,Hot Latte (4050),25000.00,1.02,Promotions,Breakfast
6,2024/09/12,Thu,Vietnam,Iced Latte (4051),25000.00,1.02,Promotions,Breakfast
7,2024/09/12,Thu,Vietnam,Sausage & Egg McMuffin,85000.00,3.47,Combo,Breakfast
8,2024/09/12,Thu,Vietnam,Big Breakfast,95000.00,3.88,Combo,Breakfast
9,2024/09/12,Thu,Vietnam,Hash Brown,25000.00,1.02,Main menu,Breakfast
10,2024/09/12,Thu,Vietnam,Sausage & Egg McMuffin,85000.00,3.47,Main menu,Breakfast
11,2024/09/12,Thu,Vietnam,Big Breakfast,95000.00,3.88,Main menu,Breakfast
12,2024/09/12,Thu,Vietnam,Muffin Gà Phô Mai,45000.00,1.84,Main menu,Breakfast
13,2024/09/12,Thu,Vietnam,Sausage & Egg McMuffin,53000.00,2.17,Main menu,Breakfast
14,2024/09/12,Thu,Vietnam,Big Breakfast,79000.00,3.23,Main menu,Breakfast
15,2024/09/12,Thu,Vietnam,Sausage McMuffin,39000.00,1.59,Main menu,Breakfast
16,2024/09/12,Thu,Vietnam,Sausage McMuffin Deluxe,45000.00,1.84,Main menu,Breakfast
17,2024/09/12,Thu,Vietnam,Filet - O - Fish,59000.00,2.41,Main menu,Breakfast
18,2024/09/12,Thu,Vietnam,6pc Happy Chicken Bites,59000.00,2.41,Main menu,Breakfast
19,2024/09/12,Thu,Vietnam,9pc Happy Chicken Bites,79000.00,3.23,Main menu,Breakfast
