,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
0,2022/02/01,Tue,Vietnam,Teriyaki Burger,82000.00,3.61,Promotions & Combos,Regular
1,2022/02/01,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.58,Promotions & Combos,Regular
2,2022/02/01,Tue,Vietnam,Garlic Fish Sauce Fried Chicken Rice,59000.00,2.59,Promotions & Combos,Regular
3,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Beef,89000.00,3.91,Promotions & Combos,Regular
4,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Double Beef,99000.00,4.35,Promotions & Combos,Regular
5,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Chicken/Fish,89000.00,3.91,Promotions & Combos,Regular
6,2022/02/01,Tue,Vietnam,Prosperity Combo,89000.00,3.91,Promotions & Combos,Regular
7,2022/02/01,Tue,Vietnam,Prosperity Burger (Teriyaki) - Lite,59000.00,2.59,Promotions & Combos,Regular
8,2022/02/01,Tue,Vietnam,Mangory Tall,49000.00,2.15,Promotions & Combos,Regular
9,2022/02/01,Tue,Vietnam,Mangory Grande,59000.00,2.59,Promotions & Combos,Regular
10,2022/02/01,Tue,Vietnam,Ormango Grande,59000.00,2.59,Promotions & Combos,Regular
11,2022/02/01,Tue,Vietnam,Loop Fries M,38000.00,1.67,Promotions & Combos,Regular
12,2022/02/01,Tue,Vietnam,Combo for 1,85000.00,3.74,Promotions & Combos,Regular
13,2022/02/01,Tue,Vietnam,Macaroni Soup,39000.00,1.71,Promotions & Combos,Regular
14,2022/02/01,Tue,Vietnam,Combo For 2A,136000.00,5.98,Promotions & Combos,Regular
15,2022/02/01,Tue,Vietnam,Combo For 2B,176000.00,7.74,Promotions & Combos,Regular
16,2022/02/01,Tue,Vietnam,Combo For 2C,186000.00,8.18,Promotions & Combos,Regular
17,2022/02/01,Tue,Vietnam,Combo For 3A,276000.00,12.14,Promotions & Combos,Regular
18,2022/02/01,Tue,Vietnam,Combo For 3B,286000.00,12.57,Promotions & Combos,Regular
19,2022/02/01,Tue,Vietnam,Teriyaki Burger,82000.00,3.61,Promotions & Combos,Breakfast
20,2022/02/01,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.58,Promotions & Combos,Breakfast
21,2022/02/01,Tue,Vietnam,Garlic Fish Sauce Fried Chicken Rice,59000.00,2.59,Promotions & Combos,Breakfast
22,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Beef,89000.00,3.91,Promotions & Combos,Breakfast
23,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Double Beef,99000.00,4.35,Promotions & Combos,Breakfast
24,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Chicken/Fish,89000.00,3.91,Promotions & Combos,Breakfast
25,2022/02/01,Tue,Vietnam,Prosperity Combo,89000.00,3.91,Promotions & Combos,Breakfast
26,2022/02/01,Tue,Vietnam,Prosperity Burger (Teriyaki) - Lite,59000.00,2.59,Promotions & Combos,Breakfast
27,2022/02/01,Tue,Vietnam,Mangory Tall,49000.00,2.15,Promotions & Combos,Breakfast
28,2022/02/01,Tue,Vietnam,Mangory Grande,59000.00,2.59,Promotions & Combos,Breakfast
29,2022/02/01,Tue,Vietnam,Ormango Grande,59000.00,2.59,Promotions & Combos,Breakfast
30,2022/02/01,Tue,Vietnam,Loop Fries M,38000.00,1.67,Promotions & Combos,Breakfast
31,2022/02/01,Tue,Vietnam,Combo for 1,85000.00,3.74,Promotions & Combos,Breakfast
32,2022/02/01,Tue,Vietnam,Macaroni Soup,39000.00,1.71,Promotions & Combos,Breakfast
33,2022/02/01,Tue,Vietnam,Combo For 2A,136000.00,5.98,Promotions & Combos,Breakfast
34,2022/02/01,Tue,Vietnam,Combo For 2B,176000.00,7.74,Promotions & Combos,Breakfast
35,2022/02/01,Tue,Vietnam,Combo For 2C,186000.00,8.18,Promotions & Combos,Breakfast
36,2022/02/01,Tue,Vietnam,Combo For 3A,276000.00,12.14,Promotions & Combos,Breakfast
37,2022/02/01,Tue,Vietnam,Combo For 3B,286000.00,12.57,Promotions & Combos,Breakfast
38,2022/02/01,Tue,Vietnam,Double McChicken,95000.00,4.18,Secret Menu,Regular
39,2022/02/01,Tue,Vietnam,Double McRoyal w Cheese,105000.00,4.62,Secret Menu,Regular
40,2022/02/01,Tue,Vietnam,Double Filet O Fish Burger,75000.00,3.30,Secret Menu,Regular
41,2022/02/01,Tue,Vietnam,Triple Cheeseburger,82000.00,3.61,Secret Menu,Regular
42,2022/02/01,Tue,Vietnam,1 pc Fried Chicken,36000.00,1.58,Fried Chicken (Original/Spicy),Regular
43,2022/02/01,Tue,Vietnam,1 pc Fried Chicken EVM,62000.00,2.73,Fried Chicken (Original/Spicy),Regular
44,2022/02/01,Tue,Vietnam,1 pc Fried Chicken EVM,77000.00,3.39,Fried Chicken (Original/Spicy),Regular
45,2022/02/01,Tue,Vietnam,2 pcs Fried Chicken EVM,89000.00,3.91,Fried Chicken (Original/Spicy),Regular
46,2022/02/01,Tue,Vietnam,3 pcs Fried Chicken,99000.00,4.35,Fried Chicken (Original/Spicy),Regular
47,2022/02/01,Tue,Vietnam,5 pcs Fried Chicken,169000.00,7.43,Fried Chicken (Original/Spicy),Regular
48,2022/02/01,Tue,Vietnam,9 pcs Fried Chicken,289000.00,12.71,Fried Chicken (Original/Spicy),Regular
49,2022/02/01,Tue,Vietnam,6pcs Chicken McNuggets,52000.00,2.29,Fried Chicken (Original/Spicy),Regular
50,2022/02/01,Tue,Vietnam,3pcs Chicken McWings,69000.00,3.03,Fried Chicken (Original/Spicy),Regular
51,2022/02/01,Tue,Vietnam,9pcs Chicken McNuggets,72000.00,3.17,Fried Chicken (Original/Spicy),Regular
52,2022/02/01,Tue,Vietnam,6pcs Chicken McWings,125000.00,5.50,Fried Chicken (Original/Spicy),Regular
53,2022/02/01,Tue,Vietnam,20pcs Chicken McNuggets ,120000.00,5.28,Fried Chicken (Original/Spicy),Regular
54,2022/02/01,Tue,Vietnam,10pcs Chicken McWings ,175000.00,7.69,Fried Chicken (Original/Spicy),Regular
55,2022/02/01,Tue,Vietnam,Teriyaki Burger,82000.00,3.61,Beef Burger,Regular
56,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Beef,89000.00,3.91,Beef Burger,Regular
57,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Double Beef,99000.00,4.35,Beef Burger,Regular
58,2022/02/01,Tue,Vietnam,Prosperity Combo,89000.00,3.91,Beef Burger,Regular
59,2022/02/01,Tue,Vietnam,Prosperity Burger (Teriyaki) - Lite,59000.00,2.59,Beef Burger,Regular
60,2022/02/01,Tue,Vietnam,Big Mac,72000.00,3.17,Beef Burger,Regular
61,2022/02/01,Tue,Vietnam,Double Cheeseburger,62000.00,2.73,Beef Burger,Regular
62,2022/02/01,Tue,Vietnam,McRoyal Deluxe,82000.00,3.61,Beef Burger,Regular
63,2022/02/01,Tue,Vietnam,Triple Cheeseburger,82000.00,3.61,Beef Burger,Regular
64,2022/02/01,Tue,Vietnam,McRoyal w. Cheese,72000.00,3.17,Beef Burger,Regular
65,2022/02/01,Tue,Vietnam,Cheeseburger,41000.00,1.80,Beef Burger,Regular
66,2022/02/01,Tue,Vietnam,Cheeseburger Deluxe,52000.00,2.29,Beef Burger,Regular
67,2022/02/01,Tue,Vietnam,Hamburger,34000.00,1.49,Beef Burger,Regular
68,2022/02/01,Tue,Vietnam,Combo Nhâm Dần - Chicken/Fish,89000.00,3.91,Chicken & Fish Burger,Regular
69,2022/02/01,Tue,Vietnam,McSpicy Deluxe,82000.00,3.61,Chicken & Fish Burger,Regular
70,2022/02/01,Tue,Vietnam,Filet - O - Fish,52000.00,2.29,Chicken & Fish Burger,Regular
71,2022/02/01,Tue,Vietnam,McChicken Deluxe,72000.00,3.17,Chicken & Fish Burger,Regular
72,2022/02/01,Tue,Vietnam,McChicken,62000.00,2.73,Chicken & Fish Burger,Regular
73,2022/02/01,Tue,Vietnam,Chicken Burger,34000.00,1.49,Chicken & Fish Burger,Regular
74,2022/02/01,Tue,Vietnam,Garlic Fish Sauce Fried Chicken Rice,59000.00,2.59,Rice,Regular
75,2022/02/01,Tue,Vietnam,Fried Chicken Rice,42000.00,1.85,Rice,Regular
76,2022/02/01,Tue,Vietnam,McSpicy Chicken Rice,76000.00,3.34,Rice,Regular
77,2022/02/01,Tue,Vietnam,Grilled Pork Rice w. Egg,49000.00,2.15,Rice,Regular
78,2022/02/01,Tue,Vietnam,Chicken Rice,39000.00,1.71,Rice,Regular
79,2022/02/01,Tue,Vietnam,Grilled Pork Rice,39000.00,1.71,Rice,Regular
80,2022/02/01,Tue,Vietnam,Fried Chicken Happy Meal,69000.00,3.03,Happy Meals,Regular
81,2022/02/01,Tue,Vietnam,4pcs Chicken McNuggets Happy Meal,69000.00,3.03,Happy Meals,Regular
82,2022/02/01,Tue,Vietnam,Cheeseburger Happy Meal,69000.00,3.03,Happy Meals,Regular
83,2022/02/01,Tue,Vietnam,Chicken Burger Happy Meal,69000.00,3.03,Happy Meals,Regular
84,2022/02/01,Tue,Vietnam,Pork Burger Happy Meal,69000.00,3.03,Happy Meals,Regular
85,2022/02/01,Tue,Vietnam,Loop Fries M,38000.00,1.67,Snacks/Sides,Regular
86,2022/02/01,Tue,Vietnam,World Famous Fries ,18000.00,0.79,Snacks/Sides,Regular
87,2022/02/01,Tue,Vietnam,Sweet Corn,18000.00,0.79,Snacks/Sides,Regular
88,2022/02/01,Tue,Vietnam,Hot Apple Pie,27000.00,1.19,Snacks/Sides,Regular
89,2022/02/01,Tue,Vietnam,6pcs Chicken McNuggets,52000.00,2.29,Snacks/Sides,Regular
90,2022/02/01,Tue,Vietnam,Cheeseburger,41000.00,1.80,Snacks/Sides,Regular
