,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
1,2024/08/17,Sat,Vietnam,Combo Value Breakfast 45k,45000.00,1.80,Promotions,Breakfast
2,2024/08/17,Sat,Vietnam,Sausage McMuffin w Iced Americano (7573),59000.00,2.36,Promotions,Breakfast
3,2024/08/17,Sat,Vietnam,Cheesy Burger w Iced Latte (7572),69000.00,2.76,Promotions,Breakfast
4,2024/08/17,Sat,Vietnam,Iced Americano (4049),25000.00,1.00,Promotions,Breakfast
5,2024/08/17,Sat,Vietnam,Hot Latte (4050),25000.00,1.00,Promotions,Breakfast
6,2024/08/17,Sat,Vietnam,Iced Latte (4051),25000.00,1.00,Promotions,Breakfast
7,2024/08/17,Sat,Vietnam,Sausage & Egg McMuffin,85000.00,3.40,Combo,Breakfast
8,2024/08/17,Sat,Vietnam,Big Breakfast,95000.00,3.80,Combo,Breakfast
9,2024/08/17,Sat,Vietnam,Hash Brown,25000.00,1.00,Main menu,Breakfast
10,2024/08/17,Sat,Vietnam,Sausage & Egg McMuffin,85000.00,3.40,Main menu,Breakfast
11,2024/08/17,Sat,Vietnam,Big Breakfast,95000.00,3.80,Main menu,Breakfast
12,2024/08/17,Sat,Vietnam,Muffin Gà Phô Mai,45000.00,1.80,Main menu,Breakfast
13,2024/08/17,Sat,Vietnam,Sausage & Egg McMuffin,53000.00,2.12,Main menu,Breakfast
14,2024/08/17,Sat,Vietnam,Big Breakfast,79000.00,3.16,Main menu,Breakfast
15,2024/08/17,Sat,Vietnam,Sausage McMuffin,39000.00,1.56,Main menu,Breakfast
16,2024/08/17,Sat,Vietnam,Sausage McMuffin Deluxe,45000.00,1.80,Main menu,Breakfast
17,2024/08/17,Sat,Vietnam,Filet - O - Fish,59000.00,2.36,Main menu,Breakfast
18,2024/08/17,Sat,Vietnam,6pc Happy Chicken Bites,59000.00,2.36,Main menu,Breakfast
19,2024/08/17,Sat,Vietnam,9pc Happy Chicken Bites,79000.00,3.16,Main menu,Breakfast
20,2024/08/17,Sat,Vietnam,20pc Happy Chicken Bites,129000.00,5.16,Main menu,Breakfast
21,2024/08/17,Sat,Vietnam,4pc Happy Chicken Bites Happy Meal,79000.00,3.16,Happy Meals,Breakfast
22,2024/08/17,Sat,Vietnam,Happy Meal Chicken Muffin,79000.00,3.16,Happy Meals,Breakfast
23,2024/08/17,Sat,Vietnam,Tropical Mocktail - Passion Fruit,41000.00,1.64,Beverages,Breakfast
24,2024/08/17,Sat,Vietnam,Tall Iced Bac Siu,39000.00,1.56,Beverages,Breakfast
25,2024/08/17,Sat,Vietnam,Pineapple Yogurt,65000.00,2.60,Beverages,Breakfast
26,2024/08/17,Sat,Vietnam,Salted Calamansi Apricot Tall,45000.00,1.80,Beverages,Breakfast
27,2024/08/17,Sat,Vietnam,Coca-Cola,21000.00,0.84,Beverages,Breakfast
28,2024/08/17,Sat,Vietnam,Dasani water,26000.00,1.04,Beverages,Breakfast
29,2024/08/17,Sat,Vietnam,Sprite,21000.00,0.84,Beverages,Breakfast
30,2024/08/17,Sat,Vietnam,Fanta,21000.00,0.84,Beverages,Breakfast
31,2024/08/17,Sat,Vietnam,Peach Tea,59000.00,2.36,Beverages,Breakfast
32,2024/08/17,Sat,Vietnam,Milo,26000.00,1.04,Beverages,Breakfast
33,2024/08/17,Sat,Vietnam,Milk,26000.00,1.04,Beverages,Breakfast
34,2024/08/17,Sat,Vietnam,Iced Vietnamese White Coffee,39000.00,1.56,Beverages,Breakfast
35,2024/08/17,Sat,Vietnam,Iced Vietnamese Black,39000.00,1.56,Beverages,Breakfast
36,2024/08/17,Sat,Vietnam,Milk Cream Tea,59000.00,2.36,Beverages,Breakfast
37,2024/08/17,Sat,Vietnam,Matcha Frappe,89000.00,3.56,Beverages,Breakfast
38,2024/08/17,Sat,Vietnam,Hot Matcha Latte,65000.00,2.60,Beverages,Breakfast
39,2024/08/17,Sat,Vietnam,Lychee Black Tea,59000.00,2.36,Beverages,Breakfast
40,2024/08/17,Sat,Vietnam,Salted Calamansi Apricot Tall,45000.00,1.80,McCAFÉ,Breakfast
41,2024/08/17,Sat,Vietnam,Hot Latte,59000.00,2.36,McCAFÉ,Breakfast
42,2024/08/17,Sat,Vietnam,Iced Latte,65000.00,2.60,McCAFÉ,Breakfast
43,2024/08/17,Sat,Vietnam,Iced Americano,49000.00,1.96,McCAFÉ,Breakfast
44,2024/08/17,Sat,Vietnam,Iced Vietnamese Black,39000.00,1.56,McCAFÉ,Breakfast
45,2024/08/17,Sat,Vietnam,Iced Vietnamese White Coffee,39000.00,1.56,McCAFÉ,Breakfast
46,2024/08/17,Sat,Vietnam,Tall Iced Bac Siu,39000.00,1.56,McCAFÉ,Breakfast
47,2024/08/17,Sat,Vietnam,Yogurt Strawberry,65000.00,2.60,McCAFÉ,Breakfast
48,2024/08/17,Sat,Vietnam,Pineapple Yogurt,65000.00,2.60,McCAFÉ,Breakfast
49,2024/08/17,Sat,Vietnam,Kiwi Yogurt,65000.00,2.60,McCAFÉ,Breakfast
50,2024/08/17,Sat,Vietnam,Iced Mocha,69000.00,2.76,McCAFÉ,Breakfast
51,2024/08/17,Sat,Vietnam,Lychee Black Tea,59000.00,2.36,McCAFÉ,Breakfast
52,2024/08/17,Sat,Vietnam,Peach Tea,59000.00,2.36,McCAFÉ,Breakfast
53,2024/08/17,Sat,Vietnam,Milk Cream Tea,59000.00,2.36,McCAFÉ,Breakfast
54,2024/08/17,Sat,Vietnam,Chocolate Frappe,79000.00,3.16,McCAFÉ,Breakfast
55,2024/08/17,Sat,Vietnam,Matcha Frappe,89000.00,3.56,McCAFÉ,Breakfast
56,2024/08/17,Sat,Vietnam,Hot Matcha Latte,65000.00,2.60,McCAFÉ,Breakfast
57,2024/08/17,Sat,Vietnam,Iced Tea,29000.00,1.16,McCAFÉ,Breakfast
58,2024/08/17,Sat,Vietnam,Caramel Frappe,79000.00,3.16,McCAFÉ,Breakfast
59,2024/08/17,Sat,Vietnam,Cappuccino,59000.00,2.36,McCAFÉ,Breakfast
60,2024/08/17,Sat,Vietnam,Mocha,69000.00,2.76,McCAFÉ,Breakfast
61,2024/08/17,Sat,Vietnam,Hot Chocolate,59000.00,2.36,McCAFÉ,Breakfast
62,2024/08/17,Sat,Vietnam,Butter Croissant,35000.00,1.40,Dessert,Breakfast
63,2024/08/17,Sat,Vietnam,Tiramisu,55000.00,2.20,Dessert,Breakfast
64,2024/08/17,Sat,Vietnam,Baked CheeseCake,37000.00,1.48,Dessert,Breakfast
65,2024/08/17,Sat,Vietnam,Blueberry Cheese Cake,37000.00,1.48,Dessert,Breakfast
66,2024/08/17,Sat,Vietnam,Banana Muffin,35000.00,1.40,Dessert,Breakfast
67,2024/08/17,Sat,Vietnam,Choco Brownie,35000.00,1.40,Dessert,Breakfast
68,2024/08/17,Sat,Vietnam,Chocolate Chip Cookie,29000.00,1.16,Dessert,Breakfast
69,2024/08/17,Sat,Vietnam,Coconut Macaroons 2Pc,25000.00,1.00,Dessert,Breakfast
70,2024/08/17,Sat,Vietnam,Coconut Macaroon,15000.00,0.60,Dessert,Breakfast
71,2024/08/17,Sat,Vietnam,2 packs of ketchup,4000.00,0.16,Condiment,Breakfast
72,2024/08/17,Sat,Vietnam,2 Packs of Sweet Chili,4000.00,0.16,Condiment,Breakfast
73,2024/08/17,Sat,Vietnam,2 packs of mayonnaise,4000.00,0.16,Condiment,Breakfast
74,2024/08/17,Sat,Vietnam,2 packs of spicy garlic chili sauce,4000.00,0.16,Condiment,Breakfast
75,2024/08/17,Sat,Vietnam,Combo Craving Chicken 169k (7587),169000.00,6.76,Promotions,Regular
76,2024/08/17,Sat,Vietnam,Summer Combo - Fillet O Fish (1514),99000.00,3.96,Promotions,Regular
77,2024/08/17,Sat,Vietnam,Summer Combo - Cheese Burger (1516),99000.00,3.96,Promotions,Regular
78,2024/08/17,Sat,Vietnam,Value Meal 40k - Sausage Burger (1606),40000.00,1.60,Promotions,Regular
79,2024/08/17,Sat,Vietnam,Value Meal 40k - Hamburger (1605),40000.00,1.60,Promotions,Regular
80,2024/08/17,Sat,Vietnam,Value Meal 40k - Fried Chicken (1608),40000.00,1.60,Promotions,Regular
81,2024/08/17,Sat,Vietnam,1pc BBQ Chicken Rice (1731),40000.00,1.60,Promotions,Regular
