,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category,Menu
0,2022/03/30,Wed,India,Triple Cheese American Veg Burger,205.00,2.71,New Launches,Regular
1,2022/03/30,Wed,India,McSpicy Premium Veg Burger,221.00,2.92,New Launches,Regular
2,2022/03/30,Wed,India,Triple Cheese American Chicken Burger,231.00,3.05,New Launches,Regular
3,2022/03/30,Wed,India,McSpicy Premium Chicken Burger,261.00,3.45,New Launches,Regular
4,2022/03/30,Wed,India,McAloo Tikki Burger,49.00,0.65,Trending,Regular
5,2022/03/30,Wed,India,McVeggie Burger,121.00,1.60,Trending,Regular
6,2022/03/30,Wed,India,McSpicy Chicken Burger,173.00,2.29,Trending,Regular
7,2022/03/30,Wed,India,McChicken Burger,126.00,1.66,Trending,Regular
8,2022/03/30,Wed,India,Big Spicy Chicken Wrap,215.00,2.84,Trending,Regular
9,2022/03/30,Wed,India,Filet-O-Fish Burger,153.00,2.02,Trending,Regular
10,2022/03/30,Wed,India,Sausage & Egg McMuffin,122.00,1.61,Trending,Regular
11,2022/03/30,Wed,India,Veg McMuffin,100.00,1.32,Trending,Regular
12,2022/03/30,Wed,India,Egg & Cheese McMuffin,79.00,1.04,Trending,Regular
13,2022/03/30,Wed,India,Sausage McMuffin,107.00,1.41,Trending,Regular
14,2022/03/30,Wed,India,Piri Piri Spiced Chicken Burger + Fries (R),249.00,3.29,Deals,Regular
15,2022/03/30,Wed,India,Piri Piri Spiced Veg Burger + Fries (R),249.00,3.29,Deals,Regular
16,2022/03/30,Wed,India,Masala McEgg BOGO,53.00,0.70,Deals,Regular
17,2022/03/30,Wed,India,McVeggie + McAloo Tikki Burger,133.00,1.76,Deals,Regular
18,2022/03/30,Wed,India,Pizza Mc Puff + McSpicy Chicken,170.00,2.25,Deals,Regular
19,2022/03/30,Wed,India,McAloo Tikki + Veg Pizza McPuff + Coke,145.00,1.92,Deals,Regular
20,2022/03/30,Wed,India,Black Forest Mcflurry (M) BOGO,116.00,1.53,Deals,Regular
21,2022/03/30,Wed,India,2 Iced Coffee,198.00,2.62,Deals,Regular
22,2022/03/30,Wed,India,2 Cappuccino,198.00,2.62,Deals,Regular
23,2022/03/30,Wed,India,Cappuccino (S) + Iced Coffee (S),198.00,2.62,Deals,Regular
24,2022/03/30,Wed,India,McSaver McAloo Tikki Meal,189.00,2.50,Deals,Regular
25,2022/03/30,Wed,India,McChicken + McSpicy Chicken Burger,282.00,3.73,Deals,Regular
26,2022/03/30,Wed,India,2 McAloo Tikki + 2 Fries (L),310.00,4.10,Deals,Regular
27,2022/03/30,Wed,India,McChicken + McVeggie + Fries (L) + 2 Veg Pizza McPuff + Coke,500.00,6.61,Deals,Regular
28,2022/03/30,Wed,India,2 McSpicy Chicken + McNuggets 20 Pcs + Fries (L) + Coke,870.00,11.50,Deals,Regular
29,2022/03/30,Wed,India,4 McAloo Tikki + 2 Fries (M) + 2 Coke,450.00,5.95,Deals,Regular
30,2022/03/30,Wed,India,2 McVeggie + 2 American Cheese Supreme Veg + 2 Fries (L),683.00,9.03,Deals,Regular
31,2022/03/30,Wed,India,Veg Maharaja Mac + Chicken Maharaja Mac + Fries (L) + 2 Veg Pizza McPuff + Coke,681.00,9.00,Deals,Regular
32,2022/03/30,Wed,India,2 McVeggie + 2 McAloo Tikki + 2 Fries (M) + 2 Strawberry Shakes,824.00,10.89,Deals,Regular
33,2022/03/30,Wed,India,Triple Cheese American Veg Burger,205.00,2.71,Gourmet Burgers,Regular
34,2022/03/30,Wed,India,McSpicy Premium Veg Burger,221.00,2.92,Gourmet Burgers,Regular
35,2022/03/30,Wed,India,Piri Piri Spiced Veg Burger,231.00,3.05,Gourmet Burgers,Regular
36,2022/03/30,Wed,India,Triple Cheese American Chicken Burger,231.00,3.05,Gourmet Burgers,Regular
37,2022/03/30,Wed,India,Cheese Lava American Veg Burger,241.00,3.18,Gourmet Burgers,Regular
38,2022/03/30,Wed,India,Piri Piri Spiced Chicken Burger,251.00,3.32,Gourmet Burgers,Regular
