Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
2023/06/29,Thu,India,Sausage McMuffin 3 Pc Meal,265.71,3.24,McBreakfast
2023/06/29,Thu,India,Sausage with Egg McMuffin 3 Pc Meal,286.67,3.49,McBreakfast
2023/06/29,Thu,India,Spicy Egg McMuffin 3 PC Meal,71.19,0.87,McBreakfast
2023/06/29,Thu,India,McSaver Egg & Cheese McMuffin Meal,141.9,1.73,McBreakfast
2023/06/29,Thu,India,McSaver Spicy Egg McMuffin Meal,141.9,1.73,McBreakfast
2023/06/29,Thu,India,Spicy Egg McMuffin 3 Pc Meal with Cappuccino (S),245.71,3.0,McBreakfast
2023/06/29,Thu,India,Double Cheese McMuffin 3 Pc Meal with Cappuccino (S),235.24,2.87,McBreakfast
2023/06/29,Thu,India,Spicy Egg McMuffin,103.81,1.27,McBreakfast
2023/06/29,Thu,India,McSaver Double Cheese McMuffin Meal,141.9,1.73,McBreakfast
2023/06/29,Thu,India,Double Cheese McMuffin,98.1,1.2,McBreakfast
2023/06/29,Thu,India,Hot Cake 3 Pc Meal,272.38,3.32,McBreakfast
2023/06/29,Thu,India,Hot Cake 2 Pc Meal,256.19,3.12,McBreakfast
2023/06/29,Thu,India,Hot Cakes With Maple Syrup,142.86,1.74,McBreakfast
2023/06/29,Thu,India,Hashbrown,51.43,0.63,McBreakfast
2023/06/29,Thu,India,Veg McMuffin,114.29,1.39,McBreakfast
2023/06/29,Thu,India,Egg & Cheese McMuffin,98.1,1.2,McBreakfast
2023/06/29,Thu,India,Sausage McMuffin,128.57,1.57,McBreakfast
2023/06/29,Thu,India,Sausage & Egg McMuffin,149.52,1.82,McBreakfast
2023/06/29,Thu,India,Veg McMuffin 2 Pc Meal,235.24,2.87,McBreakfast
2023/06/29,Thu,India,Sausage McMuffin 2 pc Meal,245.71,3.0,McBreakfast
2023/06/29,Thu,India,Sausage & Egg McMuffin 2 pc Meal,261.9,3.19,McBreakfast
2023/06/29,Thu,India,Veg McMuffin 3 Pc Meal,257.14,3.13,McBreakfast
2023/06/29,Thu,India,Egg & Cheese McMuffin 3 Pc Meal,235.24,2.87,McBreakfast
2023/06/29,Thu,India,2 McSpicy Chicken Burger  + 2 Fries (M)  + Veg Pizza McPuff,449.06,5.47,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,2 McChicken Burger + 2 Fries (M) + Veg Pizza McPuff,349.28,4.26,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,McSpicy Paneer Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,348.58,4.25,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,McVeggie Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,299.06,3.65,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,2 McVeggie Burger + Fries (L) + 2 Coke,348.66,4.25,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,2 McChicken Burger + Fries (L) + 2 Coke,348.98,4.25,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,349.41,4.26,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,299.2,3.65,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,2 McSpicy Chicken Burger + Fries (L) + 2 Coke,448.85,5.47,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,349.25,4.26,Value Meals for 2 (Minimum 25% Off)
2023/06/29,Thu,India,Jain Meal - McCheese Burger Veg,389.53,4.75,Jain Friendly
2023/06/29,Thu,India,McCheese Burger Veg,248.57,3.03,Jain Friendly
2023/06/29,Thu,India,Classic Cheesy Dip,14.29,0.17,Jain Friendly
2023/06/29,Thu,India,Piri Piri Big Spicy Wrap Chicken + McVeggie Burger,322.86,3.94,Piri-Piri McSpicy Range
2023/06/29,Thu,India,Piri Piri McSpicy Chicken Burger,208.57,2.54,Piri-Piri McSpicy Range
2023/06/29,Thu,India,Piri Piri Big Spicy paneer wrap + Berry Lemonade,275.24,3.36,Piri-Piri McSpicy Range
2023/06/29,Thu,India,Piri Piri  McSpicy Paneer Burger + Berry Lemonade,275.24,3.36,Piri-Piri McSpicy Range
2023/06/29,Thu,India,Piri Piri Big Spicy Chicken Wrap + Berry Lemonade,275.24,3.36,Piri-Piri McSpicy Range
2023/06/29,Thu,India,Piri Piri McSpicy chicken Burger + Berry Lemonade,275.24,3.36,Piri-Piri McSpicy Range
2023/06/29,Thu,India,Piri Piri McSpicy  Combo for 2,537.16,6.55,Piri-Piri McSpicy Range
