,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2023/10/14,Sat,India,2 McAloo Tikki + 2 Fries (L),317.14,3.80,Match Time Sharers
2,2023/10/14,Sat,India,6 Pc Nuggets + McChicken + Coke,325.77,3.90,Match Time Sharers
3,2023/10/14,Sat,India,2 Chicken Maharaja Mac + 2 Coke + Fries (L) + McFlurry Oreo (M),610.48,7.32,Match Time Sharers
4,2023/10/14,Sat,India,McSpicy Chicken Burger + McChicken Burger + Fries (M),373.33,4.47,Match Time Sharers
5,2023/10/14,Sat,India,Corn & Cheese Burger +McVeggie Burger+Fries (M),329.52,3.95,Match Time Sharers
6,2023/10/14,Sat,India,2 McVeggie Burger + Fries (L) + 2 Coke,388.58,4.66,Match Time Sharers
7,2023/10/14,Sat,India,2 McChicken Burger + Fries (L) + 2 Coke,388.58,4.66,Match Time Sharers
8,2023/10/14,Sat,India,McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,388.58,4.66,Match Time Sharers
9,2023/10/14,Sat,India,McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,337.15,4.04,Match Time Sharers
10,2023/10/14,Sat,India,2 McSpicy Chicken Burger + Fries (L) + 2 Coke,490.48,5.88,Match Time Sharers
11,2023/10/14,Sat,India,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,388.57,4.66,Match Time Sharers
12,2023/10/14,Sat,India,2 McChicken Burger + 2 Fries (M) + Veg Pizza McPuff,388.57,4.66,Match Time Sharers
13,2023/10/14,Sat,India,McSpicy Paneer Burger + 2 Fries M + McAloo Tikki + Veg Pizza McPuff,387.62,4.65,Match Time Sharers
14,2023/10/14,Sat,India,McVeggie Burger + 2 Fries (M) + McAloo Tikki+ Veg Pizza McPuff,306.67,3.68,Match Time Sharers
15,2023/10/14,Sat,India,2 McSpicy Chicken Burger  + 2 Fries (M)  + Veg Pizza McPuff,491.43,5.89,Match Time Sharers
