,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2024/07/04,Thu,India,Burger Combo for 2: McChicken Burger,427.00,5.11,Match Time Sharing Combos
2,2024/07/04,Thu,India,McVeggie Burger + 2 Fries (M) + McAloo Tikki+ Veg Pizza McPuff,391.00,4.68,Match Time Sharing Combos
3,2024/07/04,Thu,India,McSpicy Chicken Burger + McChicken Burger + Fries (M),437.00,5.23,Match Time Sharing Combos
4,2024/07/04,Thu,India,Burger Combo for 2: McSpicy Deluxe Paneer Burger,550.00,6.59,Match Time Sharing Combos
5,2024/07/04,Thu,India,Burger Combo for 2: McSpicy Deluxe Chicken Burger,499.00,5.98,Match Time Sharing Combos
6,2024/07/04,Thu,India,Burger Combo for 2: McCheese Burger Veg,619.00,7.41,Match Time Sharing Combos
7,2024/07/04,Thu,India,Burger Combo for 2: McCheese Burger Chicken,649.00,7.77,Match Time Sharing Combos
8,2024/07/04,Thu,India,Burger Combo for 2: Corn & Cheese Burger,419.00,5.02,Match Time Sharing Combos
9,2024/07/04,Thu,India,Burger Combo for 2: Grilled Chicken & Cheese,470.00,5.63,Match Time Sharing Combos
10,2024/07/04,Thu,India,Burger Combo for 2: McSpicy Chicken Burger,490.00,5.87,Match Time Sharing Combos
11,2024/07/04,Thu,India,Burger Combo for 2: McVeggie Burger,389.00,4.66,Match Time Sharing Combos
12,2024/07/04,Thu,India,Corn & Cheese Burger +McVeggie Burger+Fries (M),391.00,4.68,Match Time Sharing Combos
13,2024/07/04,Thu,India,Burger Combo for 2: McSpicy Chicken Burger with Pizza McPuff,491.00,5.88,Match Time Sharing Combos
14,2024/07/04,Thu,India,Burger Combo for 2: McChicken Burger with Pizza McPuff,389.00,4.66,Match Time Sharing Combos
15,2024/07/04,Thu,India,McSpicy Paneer Burger + McAloo Tikki Burger + Fries (L) + 2 Coke,389.00,4.66,Match Time Sharing Combos
16,2024/07/04,Thu,India,McVeggie Burger + McAloo Tikki Burger + Fries (L) + 2 Coke,337.00,4.04,Match Time Sharing Combos
17,2024/07/04,Thu,India,Burger Combo for 2: McVeggie Burger with Pizza McPuff,459.00,5.50,Match Time Sharing Combos
18,2024/07/04,Thu,India,2 Chicken Maharaja Mac Burger + 2 Coke + Fries (L) + McFlurry Oreo (M),610.00,7.30,Match Time Sharing Combos
19,2024/07/04,Thu,India,2 McAloo Tikki Burger + 2 Fries (L),328.00,3.93,Match Time Sharing Combos
