,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
0,2022/02/01,Tue,India,Triple Cheese American Veg Burger,191.00,2.56,New Launches,Regular
1,2022/02/01,Tue,India,McSpicy Premium Veg Burger,210.00,2.82,New Launches,Regular
2,2022/02/01,Tue,India,Triple Cheese American Chicken Burger,220.00,2.95,New Launches,Regular
3,2022/02/01,Tue,India,McSpicy Premium Chicken Burger,249.00,3.34,New Launches,Regular
4,2022/02/01,Tue,India,McAloo Tikki Burger,47.00,0.63,Trending,Regular
5,2022/02/01,Tue,India,McVeggie Burger,115.00,1.54,Trending,Regular
6,2022/02/01,Tue,India,McSpicy Chicken Burger,165.00,2.21,Trending,Regular
7,2022/02/01,Tue,India,McChicken Burger,120.00,1.61,Trending,Regular
8,2022/02/01,Tue,India,Big Spicy Chicken Wrap,205.00,2.75,Trending,Regular
9,2022/02/01,Tue,India,Filet-O-Fish Burger,146.00,1.96,Trending,Regular
10,2022/02/01,Tue,India,Sausage & Egg McMuffin,116.00,1.56,Trending,Regular
11,2022/02/01,Tue,India,Veg McMuffin,95.00,1.27,Trending,Regular
12,2022/02/01,Tue,India,Sausage McMuffin,102.00,1.37,Trending,Regular
13,2022/02/01,Tue,India,Egg & Cheese McMuffin,75.00,1.01,Trending,Regular
14,2022/02/01,Tue,India,Masala McEgg BOGO,50.00,0.67,Deals,Regular
15,2022/02/01,Tue,India,Pizza Mc Puff + McVeggie,112.00,1.50,Deals,Regular
16,2022/02/01,Tue,India,McVeggie + McAloo Tikki Burger,127.00,1.70,Deals,Regular
17,2022/02/01,Tue,India,Pizza Mc Puff + McSpicy Chicken,162.00,2.17,Deals,Regular
18,2022/02/01,Tue,India,Black Forest Mcflurry (M) BOGO,110.00,1.47,Deals,Regular
19,2022/02/01,Tue,India,McAloo Tikki + Veg Pizza McPuff + Coke,135.00,1.81,Deals,Regular
20,2022/02/01,Tue,India,2 Iced Coffee,189.00,2.53,Deals,Regular
21,2022/02/01,Tue,India,2 Cappuccino,189.00,2.53,Deals,Regular
22,2022/02/01,Tue,India,Cappuccino (S) + Iced Coffee (S),189.00,2.53,Deals,Regular
23,2022/02/01,Tue,India,McAloo Tikki Meal,189.00,2.53,Deals,Regular
24,2022/02/01,Tue,India,McChicken + McSpicy Chicken Burger,269.00,3.61,Deals,Regular
25,2022/02/01,Tue,India,2 McAloo Tikki + 2 Fries (L),310.00,4.16,Deals,Regular
26,2022/02/01,Tue,India,McChicken + McVeggie + Fries (L) + 2 Veg Pizza McPuff + Coke,500.00,6.70,Deals,Regular
27,2022/02/01,Tue,India,2 McSpicy Chicken + McNuggets 20 Pcs + Fries (L) + Coke,870.00,11.67,Deals,Regular
28,2022/02/01,Tue,India,4 McAloo Tikki + 2 Fries (M) + 2 Coke,450.00,6.03,Deals,Regular
29,2022/02/01,Tue,India,Freedom Veg Meal,572.00,7.67,Deals,Regular
30,2022/02/01,Tue,India,Freedom Chicken Meal,655.00,8.78,Deals,Regular
31,2022/02/01,Tue,India,2 McVeggie + 2 American Cheese Supreme Veg + 2 Fries (L),683.00,9.16,Deals,Regular
32,2022/02/01,Tue,India,Veg Maharaja Mac + Chicken Maharaja Mac + Fries (L) + 2 Veg Pizza McPuff + Coke,681.00,9.13,Deals,Regular
33,2022/02/01,Tue,India,2 McVeggie + 2 McAloo Tikki + 2 Fries (M) + 2 Strawberry Shakes,824.00,11.05,Deals,Regular
34,2022/02/01,Tue,India,Cheese Lava American Chicken Burger,249.00,3.34,Gourmet Burgers,Regular
35,2022/02/01,Tue,India,Triple Cheese American Veg Burger,191.00,2.56,Gourmet Burgers,Regular
36,2022/02/01,Tue,India,McSpicy Premium Veg Burger,210.00,2.82,Gourmet Burgers,Regular
37,2022/02/01,Tue,India,Piri Piri Spiced Veg Burger,215.00,2.88,Gourmet Burgers,Regular
38,2022/02/01,Tue,India,Triple Cheese American Chicken Burger,220.00,2.95,Gourmet Burgers,Regular
39,2022/02/01,Tue,India,Cheese Lava American Veg Burger,225.00,3.02,Gourmet Burgers,Regular
40,2022/02/01,Tue,India,Piri Piri Spiced Chicken Burger,235.00,3.15,Gourmet Burgers,Regular
41,2022/02/01,Tue,India,McSpicy Premium Chicken Burger,249.00,3.34,Gourmet Burgers,Regular
42,2022/02/01,Tue,India,Chunky Chipotle American Chicken Burger,255.00,3.42,Gourmet Burgers,Regular
43,2022/02/01,Tue,India,Triple Cheese American Veg Meal,320.00,4.29,Gourmet Burgers,Regular
44,2022/02/01,Tue,India,McSpicy Premium Veg Meal,320.00,4.29,Gourmet Burgers,Regular
45,2022/02/01,Tue,India,Piri Piri Spiced Veg Burger Meal,320.00,4.29,Gourmet Burgers,Regular
46,2022/02/01,Tue,India,Triple Cheese American Chicken Meal,320.00,4.29,Gourmet Burgers,Regular
47,2022/02/01,Tue,India,Cheese Lava American Veg Meal,320.00,4.29,Gourmet Burgers,Regular
48,2022/02/01,Tue,India,Piri Piri Spiced Chicken Burger Meal,320.00,4.29,Gourmet Burgers,Regular
49,2022/02/01,Tue,India,McSpicy Premium Chicken Meal,320.00,4.29,Gourmet Burgers,Regular
50,2022/02/01,Tue,India,Cheese Lava American Chicken Meal,320.00,4.29,Gourmet Burgers,Regular
51,2022/02/01,Tue,India,Chunky Chipotle American Chicken Meal,320.00,4.29,Gourmet Burgers,Regular
52,2022/02/01,Tue,India,Triple Cheese American Veg Meal,320.00,4.29,Gourmet Burger Meal,Regular
53,2022/02/01,Tue,India,McSpicy Premium Veg Meal,320.00,4.29,Gourmet Burger Meal,Regular
54,2022/02/01,Tue,India,Piri Piri Spiced Veg Burger Meal,320.00,4.29,Gourmet Burger Meal,Regular
55,2022/02/01,Tue,India,Triple Cheese American Chicken Meal,320.00,4.29,Gourmet Burger Meal,Regular
56,2022/02/01,Tue,India,Cheese Lava American Veg Meal,320.00,4.29,Gourmet Burger Meal,Regular
57,2022/02/01,Tue,India,Piri Piri Spiced Chicken Burger Meal,320.00,4.29,Gourmet Burger Meal,Regular
58,2022/02/01,Tue,India,McSpicy Premium Chicken Meal,320.00,4.29,Gourmet Burger Meal,Regular
59,2022/02/01,Tue,India,Cheese Lava American Chicken Meal,320.00,4.29,Gourmet Burger Meal,Regular
60,2022/02/01,Tue,India,Chunky Chipotle American Chicken Meal,320.00,4.29,Gourmet Burger Meal,Regular
61,2022/02/01,Tue,India,2 Coke (R),99.00,1.33,McSavers,Regular
62,2022/02/01,Tue,India,2 Fries (R),100.00,1.34,McSavers,Regular
63,2022/02/01,Tue,India,2 Soft Serve Hot Fudge (M),149.00,2.00,McSavers,Regular
64,2022/02/01,Tue,India,2 McFlurry Oreo (S),149.00,2.00,McSavers,Regular
65,2022/02/01,Tue,India,2 McVeggie Burger,149.00,2.00,McSavers,Regular
66,2022/02/01,Tue,India,2 Coke (M),149.00,2.00,McSavers,Regular
67,2022/02/01,Tue,India,Masala McEgg BOGO,50.00,0.67,NY Party Combos,Regular
68,2022/02/01,Tue,India,Aloo Tikki+ Fries (R),100.00,1.34,NY Party Combos,Regular
69,2022/02/01,Tue,India,2 (6 Pc Nuggets) + Coke,257.00,3.45,NY Party Combos,Regular
70,2022/02/01,Tue,India,McChicken Burger + Fries (R),140.00,1.88,NY Party Combos,Regular
