,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category,Menu
1,2022/09/25,Sun,India,Triple Cheese American Veg Burger,215.00,2.65,New Launches,Regular
2,2022/09/25,Sun,India,McSpicy Premium Veg Burger,231.00,2.84,New Launches,Regular
3,2022/09/25,Sun,India,Triple Cheese American Chicken Burger,241.00,2.97,New Launches,Regular
4,2022/09/25,Sun,India,McSpicy Premium Chicken Burger,249.00,3.06,New Launches,Regular
5,2022/09/25,Sun,India,McAloo Tikki Burger,55.00,0.68,Trending,Regular
6,2022/09/25,Sun,India,McSpicy Chicken Burger,181.00,2.23,Trending,Regular
7,2022/09/25,Sun,India,McChicken Burger,131.00,1.61,Trending,Regular
8,2022/09/25,Sun,India,McVeggie Burger,125.00,1.54,Trending,Regular
9,2022/09/25,Sun,India,Big Spicy Chicken Wrap,215.00,2.65,Trending,Regular
10,2022/09/25,Sun,India,Filet-O-Fish Burger,170.00,2.09,Trending,Regular
11,2022/09/25,Sun,India,Sausage & Egg McMuffin,139.00,1.71,Trending,Regular
12,2022/09/25,Sun,India,Veg McMuffin,109.00,1.34,Trending,Regular
13,2022/09/25,Sun,India,Sausage McMuffin,119.00,1.46,Trending,Regular
14,2022/09/25,Sun,India,Egg & Cheese McMuffin,91.00,1.12,Trending,Regular
15,2022/09/25,Sun,India,Pizza Mc Puff + McSpicy Chicken Burger,161.00,1.98,Deals,Regular
16,2022/09/25,Sun,India,McVeggie Burger + McAloo Tikki Burger,125.00,1.54,Deals,Regular
17,2022/09/25,Sun,India,McAloo Tikki Burger + Veg Pizza McPuff + Coke,139.00,1.71,Deals,Regular
18,2022/09/25,Sun,India,Black Forest Mcflurry (M) BOGO,105.00,1.29,Deals,Regular
19,2022/09/25,Sun,India,Cappuccino (S) + Iced Coffee (S),225.00,2.77,Deals,Regular
20,2022/09/25,Sun,India,McSaver McAloo Tikki Burger Meal,205.00,2.52,Deals,Regular
21,2022/09/25,Sun,India,McChicken Burger + McSpicy Chicken Burger,269.00,3.31,Deals,Regular
22,2022/09/25,Sun,India,2 Cappuccino,189.00,2.33,Deals,Regular
23,2022/09/25,Sun,India,2 McAloo Tikki Burger + 2 Fries (L),295.00,3.63,Deals,Regular
24,2022/09/25,Sun,India,2 Iced Coffee,189.00,2.33,Deals,Regular
