,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2023/07/21,Fri,Australia,Chicken McNuggets - 6pc,8.35,5.66,Most popular,Breakfast Menu
2,2023/07/21,Fri,Australia,Big Mac,8.00,5.42,Most popular,Breakfast Menu
3,2023/07/21,Fri,Australia,Double Cheeseburger,6.35,4.30,Most popular,Breakfast Menu
4,2023/07/21,Fri,Australia,Bacon & Egg McMuffin,6.15,4.17,Most popular,Breakfast Menu
5,2023/07/21,Fri,Australia,Cheeseburger,4.80,3.25,Most popular,Breakfast Menu
6,2023/07/21,Fri,Australia,OREO® McFlurry,6.75,4.57,Most popular,Breakfast Menu
7,2023/07/21,Fri,Australia,Hot Fudge Sundae,5.20,3.52,Most popular,Breakfast Menu
8,2023/07/21,Fri,Australia,Sausage & Egg McMuffin,6.45,4.37,Most popular,Breakfast Menu
9,2023/07/21,Fri,Australia,Mighty McMuffin,8.45,5.73,Most popular,Breakfast Menu
10,2023/07/21,Fri,Australia,Hotcakes with Butter & Syrup,7.40,5.01,Most popular,Breakfast Menu
11,2023/07/21,Fri,Australia,Hash Brown,3.40,2.30,Most Popular,Breakfast Menu
12,2023/07/21,Fri,Australia,Bacon & Egg McMuffin,6.15,4.17,Most Popular,Breakfast Menu
13,2023/07/21,Fri,Australia,Mighty McMuffin,8.45,5.73,Most Popular,Breakfast Menu
14,2023/07/21,Fri,Australia,Sausage & Egg McMuffin,6.45,4.37,Most Popular,Breakfast Menu
15,2023/07/21,Fri,Australia,Hotcakes with Butter & Syrup,7.40,5.01,Most Popular,Breakfast Menu
16,2023/07/21,Fri,Australia,Brekkie Bundle,29.95,20.29,Most Popular,Breakfast Menu
17,2023/07/21,Fri,Australia,Double Cheeseburger,6.35,4.30,All Day Menu,Breakfast Menu
18,2023/07/21,Fri,Australia,Cheeseburger,4.80,3.25,All Day Menu,Breakfast Menu
19,2023/07/21,Fri,Australia,Chicken McNuggets - 6pc,8.35,5.66,All Day Menu,Breakfast Menu
20,2023/07/21,Fri,Australia,Big Mac,8.00,5.42,All Day Menu,Breakfast Menu
21,2023/07/21,Fri,Australia,Small Fries,3.40,2.30,All Day Menu,Breakfast Menu
22,2023/07/21,Fri,Australia,Chicken McNuggets - 20pc,15.45,10.47,All Day Menu,Breakfast Menu
23,2023/07/21,Fri,Australia,Chicken McNuggets - 3pc,5.40,3.66,All Day Menu,Breakfast Menu
24,2023/07/21,Fri,Australia,Chicken McNuggets - 40pc,29.45,19.96,All Day Menu,Breakfast Menu
25,2023/07/21,Fri,Australia,Bacon & Egg McMuffin,6.15,4.17,McMuffins,Breakfast Menu
26,2023/07/21,Fri,Australia,Sausage & Egg McMuffin,6.45,4.37,McMuffins,Breakfast Menu
27,2023/07/21,Fri,Australia,Mighty McMuffin,8.45,5.73,McMuffins,Breakfast Menu
28,2023/07/21,Fri,Australia,Sausage McMuffin,6.00,4.07,McMuffins,Breakfast Menu
29,2023/07/21,Fri,Australia,Double Sausage & Egg McMuffin,7.50,5.08,McMuffins,Breakfast Menu
30,2023/07/21,Fri,Australia,Big Brekkie Burger,9.35,6.34,McMuffins,Breakfast Menu
31,2023/07/21,Fri,Australia,Double Bacon & Egg McMuffin,7.20,4.88,McMuffins,Breakfast Menu
32,2023/07/21,Fri,Australia,Brekkie Bundle,29.95,20.29,McMuffins,Breakfast Menu
33,2023/07/21,Fri,Australia,Double Sausage McMuffin,7.40,5.01,McMuffins,Breakfast Menu
