,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2024/06/08,Sat,Australia,Hash Brown,3.65,2.41,Most Popular,Breakfast Menu
2,2024/06/08,Sat,Australia,Chicken & Bacon McMuffin,7.95,5.25,Most Popular,Breakfast Menu
3,2024/06/08,Sat,Australia,Chicken McMuffin,6.95,4.59,Most Popular,Breakfast Menu
4,2024/06/08,Sat,Australia,Mighty McMuffin,8.95,5.90,Most Popular,Breakfast Menu
5,2024/06/08,Sat,Australia,Bacon & Egg McMuffin,6.95,4.59,Most Popular,Breakfast Menu
6,2024/06/08,Sat,Australia,Sausage & Egg McMuffin,6.95,4.59,Most Popular,Breakfast Menu
7,2024/06/08,Sat,Australia,Hotcakes with Butter & Syrup,7.95,5.25,Most Popular,Breakfast Menu
8,2024/06/08,Sat,Australia,Hash Brown,3.65,2.41,Everyday Value,Breakfast Menu
9,2024/06/08,Sat,Australia,Small Spicy Shaker Fries,4.45,2.94,All Day Menu,Breakfast Menu
10,2024/06/08,Sat,Australia,Small Fries,3.95,2.61,All Day Menu,Breakfast Menu
11,2024/06/08,Sat,Australia,Big Mac,8.50,5.61,All Day Menu,Breakfast Menu
12,2024/06/08,Sat,Australia,Cheeseburger,5.20,3.43,All Day Menu,Breakfast Menu
13,2024/06/08,Sat,Australia,Double Cheeseburger,6.95,4.59,All Day Menu,Breakfast Menu
14,2024/06/08,Sat,Australia,McChicken,8.20,5.41,All Day Menu,Breakfast Menu
15,2024/06/08,Sat,Australia,Chicken McNuggets - 3pc,5.40,3.56,All Day Menu,Breakfast Menu
16,2024/06/08,Sat,Australia,Spicy Chicken McNuggets - 40pc,29.45,19.43,All Day Menu,Breakfast Menu
17,2024/06/08,Sat,Australia,Half n Half Chicken McNuggets - 40pc,29.45,19.43,All Day Menu,Breakfast Menu
18,2024/06/08,Sat,Australia,Chicken McNuggets - 40pc,29.45,19.43,All Day Menu,Breakfast Menu
19,2024/06/08,Sat,Australia,Chicken & Bacon McMuffin,7.95,5.25,McMuffins,Breakfast Menu
20,2024/06/08,Sat,Australia,Chicken McMuffin,6.95,4.59,McMuffins,Breakfast Menu
21,2024/06/08,Sat,Australia,Mighty McMuffin,8.95,5.90,McMuffins,Breakfast Menu
22,2024/06/08,Sat,Australia,Double Bacon & Egg McMuffin,7.95,5.25,McMuffins,Breakfast Menu
23,2024/06/08,Sat,Australia,Bacon & Egg McMuffin,6.95,4.59,McMuffins,Breakfast Menu
24,2024/06/08,Sat,Australia,Big Brekkie Burger,9.95,6.56,McMuffins,Breakfast Menu
25,2024/06/08,Sat,Australia,Double Sausage & Egg McMuffin,7.95,5.25,McMuffins,Breakfast Menu
26,2024/06/08,Sat,Australia,Sausage & Egg McMuffin,6.95,4.59,McMuffins,Breakfast Menu
27,2024/06/08,Sat,Australia,Sausage McMuffin,5.95,3.93,McMuffins,Breakfast Menu
28,2024/06/08,Sat,Australia,Double Sausage McMuffin,6.95,4.59,McMuffins,Breakfast Menu
29,2024/06/08,Sat,Australia,Small Chocolate Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
30,2024/06/08,Sat,Australia,Small Strawberry Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
