,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2022/08/16,Tue,Australia,Mighty McMuffin,8.00,5.62,Most Popular,Breakfast Menu
2,2022/08/16,Tue,Australia,Sausage & Egg McMuffin,5.90,4.14,Most Popular,Breakfast Menu
3,2022/08/16,Tue,Australia,Bacon & Egg McMuffin,5.65,3.97,Most Popular,Breakfast Menu
4,2022/08/16,Tue,Australia,Brekkie Bundle,29.95,21.03,Most Popular,Breakfast Menu
5,2022/08/16,Tue,Australia,Hash Brown,3.20,2.25,Most Popular,Breakfast Menu
6,2022/08/16,Tue,Australia,Hotcakes with Butter & Syrup,6.90,4.85,Most Popular,Breakfast Menu
7,2022/08/16,Tue,Australia,Big Mac,7.45,5.23,All Day Menu,Breakfast Menu
8,2022/08/16,Tue,Australia,Cheeseburger,4.45,3.12,All Day Menu,Breakfast Menu
9,2022/08/16,Tue,Australia,Double Cheeseburger,6.15,4.32,All Day Menu,Breakfast Menu
10,2022/08/16,Tue,Australia,Small Fries,3.15,2.21,All Day Menu,Breakfast Menu
11,2022/08/16,Tue,Australia,Chicken McNuggets - 3pc,5.40,3.79,All Day Menu,Breakfast Menu
12,2022/08/16,Tue,Australia,Chicken McNuggets - 6pc,7.90,5.55,All Day Menu,Breakfast Menu
13,2022/08/16,Tue,Australia,Chicken McNuggets - 20pc,15.00,10.53,All Day Menu,Breakfast Menu
14,2022/08/16,Tue,Australia,Chicken McNuggets - 40pc,29.45,20.68,All Day Menu,Breakfast Menu
15,2022/08/16,Tue,Australia,Mighty McMuffin,8.00,5.62,McMuffins,Breakfast Menu
16,2022/08/16,Tue,Australia,Double Bacon & Egg McMuffin,6.60,4.63,McMuffins,Breakfast Menu
17,2022/08/16,Tue,Australia,Sausage & Egg McMuffin,5.90,4.14,McMuffins,Breakfast Menu
18,2022/08/16,Tue,Australia,Bacon & Egg McMuffin,5.65,3.97,McMuffins,Breakfast Menu
19,2022/08/16,Tue,Australia,Sausage McMuffin,5.45,3.83,McMuffins,Breakfast Menu
20,2022/08/16,Tue,Australia,Double Sausage & Egg McMuffin,7.00,4.92,McMuffins,Breakfast Menu
21,2022/08/16,Tue,Australia,Double Sausage McMuffin,6.75,4.74,McMuffins,Breakfast Menu
22,2022/08/16,Tue,Australia,Big Brekkie Burger,9.00,6.32,McMuffins,Breakfast Menu
23,2022/08/16,Tue,Australia,Brekkie Bundle,29.95,21.03,McMuffins,Breakfast Menu
24,2022/08/16,Tue,Australia,Big Brekkie Burger,9.00,6.32,More Brekkie Favourites,Breakfast Menu
25,2022/08/16,Tue,Australia,Hash Brown,3.20,2.25,More Brekkie Favourites,Breakfast Menu
26,2022/08/16,Tue,Australia,Hotcakes with Butter & Syrup,6.90,4.85,More Brekkie Favourites,Breakfast Menu
27,2022/08/16,Tue,Australia,Small Cappuccino McCafe,5.00,3.51,McCafe Drinks,Breakfast Menu
28,2022/08/16,Tue,Australia,Small Flat White McCafe,5.00,3.51,McCafe Drinks,Breakfast Menu
29,2022/08/16,Tue,Australia,Small Long Black McCafe,5.00,3.51,McCafe Drinks,Breakfast Menu
30,2022/08/16,Tue,Australia,Small Hot Chocolate McCafé,4.90,3.44,McCafe Drinks,Breakfast Menu
31,2022/08/16,Tue,Australia,Small Latté McCafe,5.00,3.51,McCafe Drinks,Breakfast Menu
32,2022/08/16,Tue,Australia,Small Mocha McCafe,5.25,3.69,McCafe Drinks,Breakfast Menu
33,2022/08/16,Tue,Australia,Espresso McCafé,3.95,2.77,McCafe Drinks,Breakfast Menu
34,2022/08/16,Tue,Australia,Macchiato McCafé,3.95,2.77,McCafe Drinks,Breakfast Menu
