,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2024/05/11,Sat,Australia,Chicken McMuffin,6.85,4.53,Most Popular,Breakfast Menu
2,2024/05/11,Sat,Australia,Chicken & Bacon McMuffin,7.85,5.19,Most Popular,Breakfast Menu
3,2024/05/11,Sat,Australia,Mighty McMuffin,8.65,5.71,Most Popular,Breakfast Menu
4,2024/05/11,Sat,Australia,Bacon & Egg McMuffin,6.55,4.33,Most Popular,Breakfast Menu
5,2024/05/11,Sat,Australia,Sausage & Egg McMuffin,7.10,4.69,Most Popular,Breakfast Menu
6,2024/05/11,Sat,Australia,Hash Brown,3.65,2.41,Most Popular,Breakfast Menu
7,2024/05/11,Sat,Australia,Hotcakes with Butter & Syrup,7.55,4.99,Most Popular,Breakfast Menu
8,2024/05/11,Sat,Australia,Small Fries,3.95,2.61,All Day Menu,Breakfast Menu
9,2024/05/11,Sat,Australia,Big Mac,8.50,5.62,All Day Menu,Breakfast Menu
10,2024/05/11,Sat,Australia,Chicken McMuffin,6.85,4.53,McMuffins,Breakfast Menu
11,2024/05/11,Sat,Australia,Chicken & Bacon McMuffin,7.85,5.19,McMuffins,Breakfast Menu
12,2024/05/11,Sat,Australia,Mighty McMuffin,8.65,5.71,McMuffins,Breakfast Menu
13,2024/05/11,Sat,Australia,Double Bacon & Egg McMuffin,7.80,5.15,McMuffins,Breakfast Menu
14,2024/05/11,Sat,Australia,Bacon & Egg McMuffin,6.55,4.33,McMuffins,Breakfast Menu
15,2024/05/11,Sat,Australia,Double Sausage & Egg McMuffin,8.25,5.45,McMuffins,Breakfast Menu
16,2024/05/11,Sat,Australia,Big Brekkie Burger,10.15,6.71,McMuffins,Breakfast Menu
17,2024/05/11,Sat,Australia,Sausage & Egg McMuffin,7.10,4.69,McMuffins,Breakfast Menu
18,2024/05/11,Sat,Australia,Sausage McMuffin,6.55,4.33,McMuffins,Breakfast Menu
19,2024/05/11,Sat,Australia,Double Sausage McMuffin,7.80,5.15,McMuffins,Breakfast Menu
20,2024/05/11,Sat,Australia,Small Chocolate Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
21,2024/05/11,Sat,Australia,Small Strawberry Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
22,2024/05/11,Sat,Australia,Small Vanilla Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
23,2024/05/11,Sat,Australia,Medium Chocolate Frappé,6.55,4.33,Shakes & Frappes,Breakfast Menu
24,2024/05/11,Sat,Australia,Medium Coffee Frappé,6.55,4.33,Shakes & Frappes,Breakfast Menu
25,2024/05/11,Sat,Australia,Medium Salted Caramel Frappé,6.55,4.33,Shakes & Frappes,Breakfast Menu
26,2024/05/11,Sat,Australia,AFL Captain Cards,2.00,1.32,Shakes & Frappes,Breakfast Menu
27,2024/05/11,Sat,Australia,Small Frozen Coke® K-Wave,4.50,2.97,Soft Drinks,Breakfast Menu
28,2024/05/11,Sat,Australia,Small Coke®,4.50,2.97,Soft Drinks,Breakfast Menu
29,2024/05/11,Sat,Australia,Hot Cross Bun with Cadbury® Choc Chips,2.50,1.65,Desserts,Breakfast Menu
30,2024/05/11,Sat,Australia,Fruit Hot Cross Bun,2.50,1.65,Desserts,Breakfast Menu
31,2024/05/11,Sat,Australia,Apple Crumble Muffin,5.55,3.67,Desserts,Breakfast Menu
32,2024/05/11,Sat,Australia,Double Choc Muffin,5.55,3.67,Desserts,Breakfast Menu
33,2024/05/11,Sat,Australia,Caramello® McFlurry,7.10,4.69,Desserts,Breakfast Menu
34,2024/05/11,Sat,Australia,Caramel Sundae,5.55,3.67,Desserts,Breakfast Menu
35,2024/05/11,Sat,Australia,Strawberry Sundae,5.55,3.67,Desserts,Breakfast Menu
36,2024/05/11,Sat,Australia,Hot Fudge Sundae,5.55,3.67,Desserts,Breakfast Menu
37,2024/05/11,Sat,Australia,Hot Apple Pie,4.35,2.87,Desserts,Breakfast Menu
38,2024/05/11,Sat,Australia,M&M'S® MINIS McFlurry,7.10,4.69,Desserts,Breakfast Menu
39,2024/05/11,Sat,Australia,Chicken & Bacon McMuffin,7.85,5.19,More Brekkie Favourites,Breakfast Menu
