,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2023/05/06,Sat,Brunei,Big Mac (Value Meal) — Medium,6.50,4.89,Regular Value Meal
2,2023/05/06,Sat,Brunei,Big Mac (Value Meal) — Large,7.10,5.34,Regular Value Meal
3,2023/05/06,Sat,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.74,Regular Value Meal
4,2023/05/06,Sat,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.19,Regular Value Meal
5,2023/05/06,Sat,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.67,Regular Value Meal
6,2023/05/06,Sat,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.12,Regular Value Meal
7,2023/05/06,Sat,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.91,Regular Value Meal
8,2023/05/06,Sat,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,5.04,Regular Value Meal
9,2023/05/06,Sat,Brunei,Big Mac (A La Carte),5.50,4.14,Regular Value Meal
10,2023/05/06,Sat,Brunei,Double Cheeseburger (A La Carte),5.10,3.84,Regular Value Meal
11,2023/05/06,Sat,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.99,Regular Value Meal
12,2023/05/06,Sat,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.99,Regular Value Meal
13,2023/05/06,Sat,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.22,Regular Value Meal
14,2023/05/06,Sat,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.67,Regular Value Meal
15,2023/05/06,Sat,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.22,Regular Value Meal
16,2023/05/06,Sat,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.74,Regular Value Meal
17,2023/05/06,Sat,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.19,Regular Value Meal
18,2023/05/06,Sat,Brunei,Filet-O-Fish (A La Carte),3.80,2.86,Regular Value Meal
19,2023/05/06,Sat,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.12,Regular Value Meal
20,2023/05/06,Sat,Brunei,Spicy Chicken McDeluxe (Value Meal) — Large,7.40,5.57,Regular Value Meal
21,2023/05/06,Sat,Brunei,McChicken — Ala Carte,5.00,3.76,Regular Value Meal
22,2023/05/06,Sat,Brunei,McChicken — Medium,6.00,4.52,Regular Value Meal
23,2023/05/06,Sat,Brunei,McChicken — Large,6.60,4.97,Regular Value Meal
24,2023/05/06,Sat,Brunei,McChicken Deluxe — Ala Carte,5.20,3.91,Regular Value Meal
25,2023/05/06,Sat,Brunei,McChicken Deluxe — Medium,6.20,4.67,Regular Value Meal
26,2023/05/06,Sat,Brunei,McChicken Deluxe — Large,6.80,5.12,Regular Value Meal
27,2023/05/06,Sat,Brunei,Fish Bites,2.20,1.66,Sides
28,2023/05/06,Sat,Brunei,2pcs Ayam Goreng McD,5.30,3.99,Sides
29,2023/05/06,Sat,Brunei,5pcs Ayam Goreng McD,12.00,9.03,Sides
30,2023/05/06,Sat,Brunei,9pcs Ayam Goreng McD,21.80,16.41,Sides
31,2023/05/06,Sat,Brunei,Rice,0.80,0.60,Sides
32,2023/05/06,Sat,Brunei,French Fries — Medium,2.20,1.66,Sides
33,2023/05/06,Sat,Brunei,French Fries — Large,2.50,1.88,Sides
34,2023/05/06,Sat,Brunei,Cakoi — 1 Pc,1.50,1.13,Sides
35,2023/05/06,Sat,Brunei,Cakoi — 2 Pc,2.80,2.11,Sides
36,2023/05/06,Sat,Brunei,Bubur McD — Small,3.20,2.41,Sides
37,2023/05/06,Sat,Brunei,Bubur McD — Large,3.70,2.78,Sides
