,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2023/01/24,Tue,Brunei,Big Mac (Value Meal) — Medium,6.50,4.93,Regular Value Meal
2,2023/01/24,Tue,Brunei,Big Mac (Value Meal) — Large,7.10,5.38,Regular Value Meal
3,2023/01/24,Tue,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.70,Regular Value Meal
4,2023/01/24,Tue,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.15,Regular Value Meal
5,2023/01/24,Tue,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.15,Regular Value Meal
6,2023/01/24,Tue,Brunei,Spicy Chicken McDeluxe (Value Meal) — Large,7.40,5.61,Regular Value Meal
7,2023/01/24,Tue,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.77,Regular Value Meal
8,2023/01/24,Tue,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.23,Regular Value Meal
9,2023/01/24,Tue,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.77,Regular Value Meal
10,2023/01/24,Tue,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.23,Regular Value Meal
11,2023/01/24,Tue,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.24,Regular Value Meal
12,2023/01/24,Tue,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.70,Regular Value Meal
13,2023/01/24,Tue,Brunei,2 Pcs Fish and Fries (Value Meal) — Large,7.40,5.61,Regular Value Meal
14,2023/01/24,Tue,Brunei,6 Pcs Fish Nuggets (Value Meal) — Medium,5.80,4.40,Regular Value Meal
15,2023/01/24,Tue,Brunei,6 Pcs Fish Nuggets (Value Meal) — Large,6.40,4.85,Regular Value Meal
16,2023/01/24,Tue,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,5.08,Regular Value Meal
