,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2023/10/04,Wed,Hong Kong,The Signature Combo for 2,146.00,18.64,New! Signature Triple Onion Angus,Regular Menu
2,2023/10/04,Wed,Hong Kong,The Signature Combo for 1,68.00,8.68,New! Signature Triple Onion Angus,Regular Menu
3,2023/10/04,Wed,Hong Kong,Burger Lovers Combo for 2,115.00,14.68,Hot Deal,Regular Menu
4,2023/10/04,Wed,Hong Kong,Happy Family Combo,139.00,17.75,Hot Deal,Regular Menu
5,2023/10/04,Wed,Hong Kong,Burger Lover Combo for 1,56.00,7.15,Hot Deal,Regular Menu
6,2023/10/04,Wed,Hong Kong,McWings (4pcs) Combo for 1,63.00,8.04,Hot Deal,Regular Menu
7,2023/10/04,Wed,Hong Kong,McCafe All-new Meal Combo for 1,64.00,8.17,McCafe Value Combo,Regular Menu
8,2023/10/04,Wed,Hong Kong,McCafe Burger Lovers Combo for 2,131.00,16.73,McCafe Value Combo,Regular Menu
9,2023/10/04,Wed,Hong Kong,McCafe Burger Lovers Cobmo for 3,183.00,23.36,McCafe Value Combo,Regular Menu
10,2023/10/04,Wed,Hong Kong,McCafe Happy Family Combo,155.00,19.79,McCafe Value Combo,Regular Menu
11,2023/10/04,Wed,Hong Kong,Triple Onion Angus,42.00,5.36,Regular A-la-carte,Regular Menu
12,2023/10/04,Wed,Hong Kong,Angus Original,35.00,4.47,Regular A-la-carte,Regular Menu
13,2023/10/04,Wed,Hong Kong,Cheesy Champignon Angus Burger,40.00,5.11,Regular A-la-carte,Regular Menu
14,2023/10/04,Wed,Hong Kong,Double Angus Original,47.00,6.00,Regular A-la-carte,Regular Menu
15,2023/10/04,Wed,Hong Kong,Tasty Sharing Box,45.00,5.75,Regular A-la-carte,Regular Menu
16,2023/10/04,Wed,Hong Kong,Big Mac®,26.50,3.38,Regular A-la-carte,Regular Menu
17,2023/10/04,Wed,Hong Kong,Double Cheeseburger™,25.00,3.19,Regular A-la-carte,Regular Menu
18,2023/10/04,Wed,Hong Kong,GCB®,27.50,3.51,Regular A-la-carte,Regular Menu
19,2023/10/04,Wed,Hong Kong,Filet-O-Fish™,24.00,3.06,Regular A-la-carte,Regular Menu
20,2023/10/04,Wed,Hong Kong,Sausage McMuffin® with Egg,23.50,3.00,Regular A-la-carte,Regular Menu
21,2023/10/04,Wed,Hong Kong,Happy Meal® Filet-O-Fish™,38.00,4.85,Happy Meal,Regular Menu
22,2023/10/04,Wed,Hong Kong,Other Happy Meal Set,29.50,3.77,Happy Meal,Regular Menu
23,2023/10/04,Wed,Hong Kong,McCafe Iced Latte,40.00,5.11,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
24,2023/10/04,Wed,Hong Kong,McCafe Latte(L),35.00,4.47,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
25,2023/10/04,Wed,Hong Kong,McCafe Americano(L),35.00,4.47,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
26,2023/10/04,Wed,Hong Kong,McCafe Iced Americano,40.00,5.11,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
27,2023/10/04,Wed,Hong Kong,Iced Okinawa Brown Sugar x Bubble Milk Tea,41.00,5.23,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
28,2023/10/04,Wed,Hong Kong,Salted Caramel Oatly Latte(L),38.00,4.85,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
29,2023/10/04,Wed,Hong Kong,Iced Salted Caramel Oatly Latte,43.00,5.49,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
30,2023/10/04,Wed,Hong Kong,Oatly Chocolate(L),36.00,4.60,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
31,2023/10/04,Wed,Hong Kong,Iced Cappuccino,40.00,5.11,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
32,2023/10/04,Wed,Hong Kong,Iced Uji Matcha Bubble Latte,43.00,5.49,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
33,2023/10/04,Wed,Hong Kong,Cappuccino(L),35.00,4.47,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
34,2023/10/04,Wed,Hong Kong,McCafe Americano(L),35.00,4.47,Beverages.,Regular Menu
35,2023/10/04,Wed,Hong Kong,McCafe Iced Americano,40.00,5.11,Beverages.,Regular Menu
36,2023/10/04,Wed,Hong Kong,McCafe Latte(L),35.00,4.47,Beverages.,Regular Menu
37,2023/10/04,Wed,Hong Kong,McCafe Iced Latte,40.00,5.11,Beverages.,Regular Menu
38,2023/10/04,Wed,Hong Kong,Sea Salt Lemon Soda,23.00,2.94,Beverages.,Regular Menu
39,2023/10/04,Wed,Hong Kong,Minute Maid® Orange Juice (XL),19.50,2.49,Beverages.,Regular Menu
40,2023/10/04,Wed,Hong Kong,Coca-Cola® (L),18.00,2.30,Beverages.,Regular Menu
41,2023/10/04,Wed,Hong Kong,Sprite® Lemon- Lime Flavoured Soda (L),18.00,2.30,Beverages.,Regular Menu
42,2023/10/04,Wed,Hong Kong,Fanta® Orange Flavoured Soda (L),18.00,2.30,Beverages.,Regular Menu
43,2023/10/04,Wed,Hong Kong,Hot Local Milk Tea,18.00,2.30,Beverages.,Regular Menu
44,2023/10/04,Wed,Hong Kong,Coca-Cola® No Sugar (L),18.00,2.30,Beverages.,Regular Menu
45,2023/10/04,Wed,Hong Kong,Iced Local Milk Tea (L),23.00,2.94,Beverages.,Regular Menu
46,2023/10/04,Wed,Hong Kong,Iced Fresh Lemon Tea (L),23.00,2.94,Beverages.,Regular Menu
47,2023/10/04,Wed,Hong Kong,Hot Chocolate,18.00,2.30,Beverages.,Regular Menu
48,2023/10/04,Wed,Hong Kong,Hi-Calcium Low Fat Milk Drink,18.50,2.36,Beverages.,Regular Menu
49,2023/10/04,Wed,Hong Kong,Hot Fresh Lemon Tea,18.00,2.30,Beverages.,Regular Menu
50,2023/10/04,Wed,Hong Kong,Puff Pastry Choco Pie,15.00,1.92,Desserts,Regular Menu
51,2023/10/04,Wed,Hong Kong,Apple Pie,14.00,1.79,Desserts,Regular Menu
52,2023/10/04,Wed,Hong Kong,Hi-Calcium Low Fat Blueberry Yoghurt,16.00,2.04,Desserts,Regular Menu
53,2023/10/04,Wed,Hong Kong,Fries (M),18.00,2.30,Extra/ Additional Sauce,Regular Menu
54,2023/10/04,Wed,Hong Kong,Fries (Large),21.00,2.68,Extra/ Additional Sauce,Regular Menu
55,2023/10/04,Wed,Hong Kong,Fresh Corn Cup (Jumbo),22.50,2.87,Extra/ Additional Sauce,Regular Menu
56,2023/10/04,Wed,Hong Kong,Thai Hot & Spicy Sauce,1.00,0.13,Extra/ Additional Sauce,Regular Menu
57,2023/10/04,Wed,Hong Kong,Chicken McNuggets® Sauce,1.50,0.19,Extra/ Additional Sauce,Regular Menu
