,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2023/01/02,Mon,Hong Kong,Refreshing Breakfast Combo for 1,42.00,5.38,New Sharing Meals,Breakfast Menu
2,2023/01/02,Mon,Hong Kong,Refreshing Breakfast Combo for 2,84.00,10.76,New Sharing Meals,Breakfast Menu
3,2023/01/02,Mon,Hong Kong,Happy Family Breakfast Combo,95.00,12.16,New Sharing Meals,Breakfast Menu
4,2023/01/02,Mon,Hong Kong,Refreshing Breakfast Combo for 3,113.00,14.47,New Sharing Meals,Breakfast Menu
5,2023/01/02,Mon,Hong Kong,McCafe Refreshing Breakfast Combo for 3,137.00,17.54,McCafe Value Combo,Breakfast Menu
6,2023/01/02,Mon,Hong Kong,McCafe Refreshing Breakfast Combo for 2,100.00,12.80,McCafe Value Combo,Breakfast Menu
7,2023/01/02,Mon,Hong Kong,McCafe Refreshing Breakfast Combo for 1,50.00,6.40,McCafe Value Combo,Breakfast Menu
8,2023/01/02,Mon,Hong Kong,McCafe Happy Family Breakfast Combo,111.00,14.21,McCafe Value Combo,Breakfast Menu
9,2023/01/02,Mon,Hong Kong,Scrambled Eggs Burger,19.50,2.50,Breakfast A-la-carte,Breakfast Menu
10,2023/01/02,Mon,Hong Kong,Scrambled Eggs N' Chicken Burger,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
11,2023/01/02,Mon,Hong Kong,Scrambled Eggs N' Ham Burger,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
12,2023/01/02,Mon,Hong Kong,NEW LUNCHEON Meat N' Scrambled Egg Burger,25.50,3.27,Breakfast A-la-carte,Breakfast Menu
13,2023/01/02,Mon,Hong Kong,NEW LUNCHEON Meat McMuffin with Egg,25.50,3.27,Breakfast A-la-carte,Breakfast Menu
14,2023/01/02,Mon,Hong Kong,NEW LUNCHEON Meat Deluxe Breakfast,32.50,4.16,Breakfast A-la-carte,Breakfast Menu
15,2023/01/02,Mon,Hong Kong,NEW LUNCHEON Meat Jumbo Breakfast,36.50,4.67,Breakfast A-la-carte,Breakfast Menu
16,2023/01/02,Mon,Hong Kong,Jumbo Breakfast,35.00,4.48,Breakfast A-la-carte,Breakfast Menu
17,2023/01/02,Mon,Hong Kong,Deluxe Breakfast,30.50,3.91,Breakfast A-la-carte,Breakfast Menu
18,2023/01/02,Mon,Hong Kong,Hotcakes Deluxe Breakfast,30.50,3.91,Breakfast A-la-carte,Breakfast Menu
19,2023/01/02,Mon,Hong Kong,Sausage McMuffin® with Egg,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
20,2023/01/02,Mon,Hong Kong,Filet-O-Fish™,23.00,2.95,Breakfast A-la-carte,Breakfast Menu
21,2023/01/02,Mon,Hong Kong,Hotcakes (3 pcs),20.50,2.62,Breakfast A-la-carte,Breakfast Menu
22,2023/01/02,Mon,Hong Kong,Tonkotsu Sausage N' Egg Twisty Pasta,29.50,3.78,Breakfast A-la-carte,Breakfast Menu
23,2023/01/02,Mon,Hong Kong,Tonkotsu Grill Ckn Twisty Pasta with Egg,34.50,4.42,Breakfast A-la-carte,Breakfast Menu
24,2023/01/02,Mon,Hong Kong,Tonkotsu Ham N' Egg Twisty Pasta,29.50,3.78,Breakfast A-la-carte,Breakfast Menu
25,2023/01/02,Mon,Hong Kong,Chicken and Egg Burger,23.50,3.01,Breakfast A-la-carte,Breakfast Menu
26,2023/01/02,Mon,Hong Kong,Jumbo Breakfast,35.00,4.48,Burger : A-la-carte & Meals,Breakfast Menu
27,2023/01/02,Mon,Hong Kong,Hotcakes Deluxe Breakfast,30.50,3.91,Burger : A-la-carte & Meals,Breakfast Menu
28,2023/01/02,Mon,Hong Kong,Happy Meal® Filet-O-Fish™,37.00,4.74,Happy Meal,Breakfast Menu
29,2023/01/02,Mon,Hong Kong,Happy Meal® Hotcakes (2pcs),32.50,4.16,Happy Meal,Breakfast Menu
30,2023/01/02,Mon,Hong Kong,Other Happy Meal Set,28.50,3.65,Happy Meal,Breakfast Menu
31,2023/01/02,Mon,Hong Kong,Iced Mochi Black Sesame Latte,43.00,5.51,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
32,2023/01/02,Mon,Hong Kong,Oatly Chocolate(L),36.00,4.61,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
33,2023/01/02,Mon,Hong Kong,Black Sesame Latte(L),38.00,4.87,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
34,2023/01/02,Mon,Hong Kong,Iced Salted Caramel Oatly Latte,43.00,5.51,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
35,2023/01/02,Mon,Hong Kong,Salted Caramel Oatly Latte(L),38.00,4.87,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
36,2023/01/02,Mon,Hong Kong,Iced Latte,40.00,5.12,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
37,2023/01/02,Mon,Hong Kong,Iced Cappuccino,40.00,5.12,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
38,2023/01/02,Mon,Hong Kong,Iced Americano,40.00,5.12,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
39,2023/01/02,Mon,Hong Kong,Iced Crunchy Ovaltine®,40.00,5.12,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
40,2023/01/02,Mon,Hong Kong,Cappuccino(L),35.00,4.48,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
41,2023/01/02,Mon,Hong Kong,Latte(L),35.00,4.48,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
42,2023/01/02,Mon,Hong Kong,Americano(L),35.00,4.48,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
43,2023/01/02,Mon,Hong Kong,Crunchy Ovaltine(L),35.00,4.48,McCafe Drink for McDelivery. (Coffee brewed with 3.7 Fresh Milk),Breakfast Menu
44,2023/01/02,Mon,Hong Kong,Coca-Cola® (L),17.00,2.18,Beverages ',Breakfast Menu
45,2023/01/02,Mon,Hong Kong,Sprite® Lemon- Lime Flavoured Soda (L),17.00,2.18,Beverages ',Breakfast Menu
46,2023/01/02,Mon,Hong Kong,Fanta® Orange Flavoured Soda (L),17.00,2.18,Beverages ',Breakfast Menu
47,2023/01/02,Mon,Hong Kong,Coca-Cola® No Sugar (L),17.00,2.18,Beverages ',Breakfast Menu
48,2023/01/02,Mon,Hong Kong,Minute Maid® Orange Juice (L),16.50,2.11,Beverages ',Breakfast Menu
49,2023/01/02,Mon,Hong Kong,Kochakaden® Fruitea Orange Tea (M),18.50,2.37,Beverages ',Breakfast Menu
50,2023/01/02,Mon,Hong Kong,Kochakaden® Fruitea Orange Tea (L),20.00,2.56,Beverages ',Breakfast Menu
51,2023/01/02,Mon,Hong Kong,Kochakaden® Fruitea Pear Tea (L),20.00,2.56,Beverages ',Breakfast Menu
52,2023/01/02,Mon,Hong Kong,Iced Prem Roast Coffee (L),23.00,2.95,Beverages ',Breakfast Menu
53,2023/01/02,Mon,Hong Kong,Hot Chocolate,17.00,2.18,Beverages ',Breakfast Menu
54,2023/01/02,Mon,Hong Kong,Hi-Calcium Low Fat Milk Drink,17.50,2.24,Beverages ',Breakfast Menu
55,2023/01/02,Mon,Hong Kong,Hot Local Milk Tea  (L),18.50,2.37,Beverages ',Breakfast Menu
56,2023/01/02,Mon,Hong Kong,Ground Coffee (L),20.50,2.62,Beverages ',Breakfast Menu
57,2023/01/02,Mon,Hong Kong,Iced Local Milk Tea (L),22.00,2.82,Beverages ',Breakfast Menu
58,2023/01/02,Mon,Hong Kong,Iced Fresh Lemon Tea (L),22.00,2.82,Beverages ',Breakfast Menu
59,2023/01/02,Mon,Hong Kong,Hot Fresh Lemon Tea (L),18.50,2.37,Beverages ',Breakfast Menu
60,2023/01/02,Mon,Hong Kong,Hash Browns,15.00,1.92,Extra,Breakfast Menu
61,2023/01/02,Mon,Hong Kong,Hotcake Syrup,1.00,0.13,Extra,Breakfast Menu
62,2023/01/02,Mon,Hong Kong,Skippy Peanut Butter,1.00,0.13,Extra,Breakfast Menu
63,2023/01/02,Mon,Hong Kong,Sweetened Creamer,1.00,0.13,Extra,Breakfast Menu
64,2023/01/02,Mon,Hong Kong,Fresh Corn Cup (Jumbo),21.50,2.75,Extra,Breakfast Menu
65,2023/01/02,Mon,Hong Kong,Hi-Calcium Low Fat Blueberry Yoghurt,15.00,1.92,Extra,Breakfast Menu
