,Date,Day,Territory,Menu Item,Price (NZD),Price (USD),Category,Menu
1,2022/09/05,Mon,New Zealand,Big Brekkie Burger,11.60,7.09,Brekkie Meals,Breakfast
2,2022/09/05,Mon,New Zealand,NYC Benedict Bagel®,9.40,5.75,Brekkie Meals,Breakfast
3,2022/09/05,Mon,New Zealand,Bacon & Egg McMuffin®,8.60,5.26,Brekkie Meals,Breakfast
4,2022/09/05,Mon,New Zealand,BLT Bagel,8.90,5.44,Brekkie Meals,Breakfast
5,2022/09/05,Mon,New Zealand,Chicken & Bacon McMuffin®,8.40,5.13,Brekkie Meals,Breakfast
6,2022/09/05,Mon,New Zealand,Chicken McMuffin®,7.10,4.34,Brekkie Meals,Breakfast
7,2022/09/05,Mon,New Zealand,Hotcakes with Whipped Butter & Syrup,8.30,5.07,Brekkie Meals,Breakfast
8,2022/09/05,Mon,New Zealand,Massive McMuffin®,10.00,6.11,Brekkie Meals,Breakfast
9,2022/09/05,Mon,New Zealand,Sausage & Egg McMuffin®,8.20,5.01,Brekkie Meals,Breakfast
10,2022/09/05,Mon,New Zealand,Sausage McMuffin®,6.80,4.16,Brekkie Meals,Breakfast
11,2022/09/05,Mon,New Zealand,Cheeseburger,5.20,3.18,All Day Favourites,Breakfast
12,2022/09/05,Mon,New Zealand,Big Mac®,9.10,5.56,All Day Favourites,Breakfast
13,2022/09/05,Mon,New Zealand,Quarter Pounder®,9.20,5.62,All Day Favourites,Breakfast
14,2022/09/05,Mon,New Zealand,McChicken®,9.00,5.50,All Day Favourites,Breakfast
15,2022/09/05,Mon,New Zealand,Double Cheeseburger,6.90,4.22,All Day Favourites,Breakfast
16,2022/09/05,Mon,New Zealand,Double Big Mac®,11.30,6.91,All Day Favourites,Breakfast
17,2022/09/05,Mon,New Zealand,Double Quarter Pounder®,12.10,7.40,All Day Favourites,Breakfast
18,2022/09/05,Mon,New Zealand,Double McChicken®,11.50,7.03,All Day Favourites,Breakfast
19,2022/09/05,Mon,New Zealand,6pc Chicken McNuggets®,8.80,5.38,All Day Favourites,Breakfast
20,2022/09/05,Mon,New Zealand,10pc Chicken McNuggets®,11.70,7.15,All Day Favourites,Breakfast
21,2022/09/05,Mon,New Zealand,20pc Chicken McNuggets®,19.60,11.98,All Day Favourites,Breakfast
22,2022/09/05,Mon,New Zealand,50pc Chicken McNuggets®,35.00,21.39,To Share,Breakfast
23,2022/09/05,Mon,New Zealand,Big Mac Dinner for 2,29.00,17.73,To Share,Breakfast
24,2022/09/05,Mon,New Zealand,The Family Pack,36.00,22.00,To Share,Breakfast
25,2022/09/05,Mon,New Zealand,The Cheeseburger Stack,19.00,11.61,To Share,Breakfast
26,2022/09/05,Mon,New Zealand,Hash Brown,3.60,2.20,Sides,Breakfast
27,2022/09/05,Mon,New Zealand,Small Fries,4.80,2.93,Sides,Breakfast
28,2022/09/05,Mon,New Zealand,Hotcakes Happy Meal®,8.80,5.38,Happy Meals,Breakfast
29,2022/09/05,Mon,New Zealand,3pc Chicken McNuggets® Happy Meal®,8.80,5.38,Happy Meals,Breakfast
30,2022/09/05,Mon,New Zealand,6pc Chicken McNuggets® Happy Meal®,10.50,6.42,Happy Meals,Breakfast
31,2022/09/05,Mon,New Zealand,Cheeseburger Happy Meal®,8.80,5.38,Happy Meals,Breakfast
32,2022/09/05,Mon,New Zealand,Small Cappuccino McCafe®,5.60,3.42,McCafé® Drinks,Breakfast
33,2022/09/05,Mon,New Zealand,Small Mochaccino McCafe®,5.60,3.42,McCafé® Drinks,Breakfast
34,2022/09/05,Mon,New Zealand,Small Flat White McCafe®,5.60,3.42,McCafé® Drinks,Breakfast
35,2022/09/05,Mon,New Zealand,Small Latté  McCafe®,5.60,3.42,McCafé® Drinks,Breakfast
36,2022/09/05,Mon,New Zealand,Small Hot Chocolate McCafé®,5.60,3.42,McCafé® Drinks,Breakfast
37,2022/09/05,Mon,New Zealand,Small Chai Latté McCafé®,5.60,3.42,McCafé® Drinks,Breakfast
38,2022/09/05,Mon,New Zealand,Small Long Black McCafe®,4.80,2.93,McCafé® Drinks,Breakfast
39,2022/09/05,Mon,New Zealand,Small Fuze Tea® Peach Black Iced Tea,3.80,2.32,Juice & Water,Breakfast
40,2022/09/05,Mon,New Zealand,Small Orange Juice,5.00,3.06,Juice & Water,Breakfast
41,2022/09/05,Mon,New Zealand,Kiwi Blue® Water 600ml,3.00,1.83,Juice & Water,Breakfast
42,2022/09/05,Mon,New Zealand,Pump® Mini Water,4.20,2.57,Juice & Water,Breakfast
43,2022/09/05,Mon,New Zealand,Apple Blackcurrant Drink,5.00,3.06,Juice & Water,Breakfast
