,Date,Day,Territory,Menu Item,Price (NZD),Price (USD),Category,Menu
1,2022/07/28,Thu,New Zealand,Big Brekkie Burger,11.10,6.91,Brekkie Meals,Breakfast
2,2022/07/28,Thu,New Zealand,NYC Benedict Bagel®,8.60,5.35,Brekkie Meals,Breakfast
3,2022/07/28,Thu,New Zealand,Bacon & Egg McMuffin®,8.10,5.04,Brekkie Meals,Breakfast
4,2022/07/28,Thu,New Zealand,BLT Bagel,7.90,4.92,Brekkie Meals,Breakfast
5,2022/07/28,Thu,New Zealand,Chicken & Bacon McMuffin®,8.40,5.23,Brekkie Meals,Breakfast
6,2022/07/28,Thu,New Zealand,Chicken McMuffin®,7.10,4.42,Brekkie Meals,Breakfast
7,2022/07/28,Thu,New Zealand,Hotcakes with Whipped Butter & Syrup,7.80,4.85,Brekkie Meals,Breakfast
8,2022/07/28,Thu,New Zealand,Massive McMuffin®,9.50,5.91,Brekkie Meals,Breakfast
9,2022/07/28,Thu,New Zealand,Sausage & Egg McMuffin®,7.70,4.79,Brekkie Meals,Breakfast
10,2022/07/28,Thu,New Zealand,Sausage McMuffin®,6.30,3.92,Brekkie Meals,Breakfast
11,2022/07/28,Thu,New Zealand,Cheeseburger,5.20,3.24,All Day Favourites,Breakfast
12,2022/07/28,Thu,New Zealand,Big Mac®,8.90,5.54,All Day Favourites,Breakfast
13,2022/07/28,Thu,New Zealand,Quarter Pounder®,9.00,5.60,All Day Favourites,Breakfast
14,2022/07/28,Thu,New Zealand,McChicken®,8.80,5.48,All Day Favourites,Breakfast
15,2022/07/28,Thu,New Zealand,Double Cheeseburger,6.60,4.11,All Day Favourites,Breakfast
16,2022/07/28,Thu,New Zealand,Double Big Mac®,11.00,6.85,All Day Favourites,Breakfast
17,2022/07/28,Thu,New Zealand,Double Quarter Pounder®,11.90,7.41,All Day Favourites,Breakfast
18,2022/07/28,Thu,New Zealand,Double McChicken®,11.50,7.16,All Day Favourites,Breakfast
19,2022/07/28,Thu,New Zealand,6pc Chicken McNuggets®,8.70,5.41,All Day Favourites,Breakfast
20,2022/07/28,Thu,New Zealand,10pc Chicken McNuggets®,11.60,7.22,All Day Favourites,Breakfast
21,2022/07/28,Thu,New Zealand,20pc Chicken McNuggets®,19.40,12.07,All Day Favourites,Breakfast
22,2022/07/28,Thu,New Zealand,50pc Chicken McNuggets®,35.00,21.78,To Share,Breakfast
23,2022/07/28,Thu,New Zealand,Big Mac Dinner for 2,29.00,18.05,To Share,Breakfast
24,2022/07/28,Thu,New Zealand,The Family Pack,36.00,22.41,To Share,Breakfast
