,Date,Day,Territory,Menu Item,Price (NZD),Price (USD),Category,Menu
1,2024/05/07,Tue,New Zealand,Bacon & Egg McMuffin®,9.30,5.60,Brekkie Meals,Breakfast
2,2024/05/07,Tue,New Zealand,Hotcakes with Whipped Butter & Syrup,9.20,5.54,Brekkie Meals,Breakfast
3,2024/05/07,Tue,New Zealand,Massive McMuffin®,11.30,6.81,Brekkie Meals,Breakfast
4,2024/05/07,Tue,New Zealand,Big Brekkie Burger,11.80,7.11,Brekkie Meals,Breakfast
5,2024/05/07,Tue,New Zealand,Sausage & Egg McMuffin®,9.30,5.60,Brekkie Meals,Breakfast
6,2024/05/07,Tue,New Zealand,NYC Benedict Bagel®,10.60,6.39,Brekkie Meals,Breakfast
7,2024/05/07,Tue,New Zealand,Chicken McMuffin®,7.90,4.76,Brekkie Meals,Breakfast
8,2024/05/07,Tue,New Zealand,BLT Bagel,10.20,6.14,Brekkie Meals,Breakfast
9,2024/05/07,Tue,New Zealand,Sausage McMuffin®,7.60,4.58,Brekkie Meals,Breakfast
10,2024/05/07,Tue,New Zealand,Chicken & Bacon McMuffin®,9.20,5.54,Brekkie Meals,Breakfast
11,2024/05/07,Tue,New Zealand,Cheeseburger,6.40,3.86,All Day Favourites,Breakfast
12,2024/05/07,Tue,New Zealand,McChicken®,10.40,6.26,All Day Favourites,Breakfast
13,2024/05/07,Tue,New Zealand,Big Mac®,10.30,6.20,All Day Favourites,Breakfast
14,2024/05/07,Tue,New Zealand,10pc Chicken McNuggets®,13.40,8.07,All Day Favourites,Breakfast
15,2024/05/07,Tue,New Zealand,Double Cheeseburger,8.40,5.06,All Day Favourites,Breakfast
16,2024/05/07,Tue,New Zealand,6pc Chicken McNuggets®,10.00,6.02,All Day Favourites,Breakfast
17,2024/05/07,Tue,New Zealand,Quarter Pounder®,10.30,6.20,All Day Favourites,Breakfast
18,2024/05/07,Tue,New Zealand,Double Quarter Pounder®,13.60,8.19,All Day Favourites,Breakfast
19,2024/05/07,Tue,New Zealand,Double Big Mac®,12.60,7.59,All Day Favourites,Breakfast
20,2024/05/07,Tue,New Zealand,20pc Chicken McNuggets®,21.40,12.89,All Day Favourites,Breakfast
21,2024/05/07,Tue,New Zealand,Double McChicken®,12.60,7.59,All Day Favourites,Breakfast
22,2024/05/07,Tue,New Zealand,Big Mac Dinner for 2,34.00,20.48,To Share,Breakfast
23,2024/05/07,Tue,New Zealand,The Family Pack,42.00,25.30,To Share,Breakfast
24,2024/05/07,Tue,New Zealand,The Cheeseburger Stack,23.00,13.85,To Share,Breakfast
25,2024/05/07,Tue,New Zealand,Hash Brown,4.80,2.89,Sides,Breakfast
26,2024/05/07,Tue,New Zealand,Small Fries,5.40,3.25,Sides,Breakfast
27,2024/05/07,Tue,New Zealand,Small Shaker Fries,6.00,3.61,Sides,Breakfast
28,2024/05/07,Tue,New Zealand,6pc Chicken McNuggets® Happy Meal®,11.80,7.11,Happy Meals,Breakfast
29,2024/05/07,Tue,New Zealand,Cheeseburger Happy Meal®,10.00,6.02,Happy Meals,Breakfast
30,2024/05/07,Tue,New Zealand,Hotcakes Happy Meal®,10.00,6.02,Happy Meals,Breakfast
31,2024/05/07,Tue,New Zealand,3pc Chicken McNuggets® Happy Meal®,10.00,6.02,Happy Meals,Breakfast
32,2024/05/07,Tue,New Zealand,Small Hot Chocolate McCafé®,6.20,3.73,McCafé® Drinks,Breakfast
33,2024/05/07,Tue,New Zealand,Small Flat White McCafe®,6.20,3.73,McCafé® Drinks,Breakfast
34,2024/05/07,Tue,New Zealand,Small Latté  McCafe®,6.20,3.73,McCafé® Drinks,Breakfast
35,2024/05/07,Tue,New Zealand,Small Mochaccino McCafe®,6.20,3.73,McCafé® Drinks,Breakfast
36,2024/05/07,Tue,New Zealand,Small Cappuccino McCafe®,6.20,3.73,McCafé® Drinks,Breakfast
37,2024/05/07,Tue,New Zealand,Small Chai Latté McCafé®,6.20,3.73,McCafé® Drinks,Breakfast
38,2024/05/07,Tue,New Zealand,Small Long Black McCafe®,5.60,3.37,McCafé® Drinks,Breakfast
39,2024/05/07,Tue,New Zealand,Kiwi Blue® Water 600ml,3.00,1.81,Juice & Water,Breakfast
40,2024/05/07,Tue,New Zealand,Small Fuze Tea® Peach Black Iced Tea,5.20,3.13,Juice & Water,Breakfast
41,2024/05/07,Tue,New Zealand,Pump® Mini Water,4.90,2.95,Juice & Water,Breakfast
42,2024/05/07,Tue,New Zealand,Apple Blackcurrant Drink,6.00,3.61,Juice & Water,Breakfast
43,2024/05/07,Tue,New Zealand,Small Coke®,5.20,3.13,Soft Drinks,Breakfast
44,2024/05/07,Tue,New Zealand,Small Fanta® Raspberry,5.20,3.13,Soft Drinks,Breakfast
45,2024/05/07,Tue,New Zealand,Small Sprite® Zero Sugar,5.20,3.13,Soft Drinks,Breakfast
46,2024/05/07,Tue,New Zealand,Small Fanta® Orange,5.20,3.13,Soft Drinks,Breakfast
47,2024/05/07,Tue,New Zealand,Small Coke® Zero Sugar,5.20,3.13,Soft Drinks,Breakfast
48,2024/05/07,Tue,New Zealand,Small L&P®,5.20,3.13,Soft Drinks,Breakfast
49,2024/05/07,Tue,New Zealand,Mayonnaise,0.50,0.30,Brekkie Condiments,Breakfast
50,2024/05/07,Tue,New Zealand,Ketchup,0.30,0.18,Brekkie Condiments,Breakfast
51,2024/05/07,Tue,New Zealand,Hot Cake Syrup,0.50,0.30,Brekkie Condiments,Breakfast
52,2024/05/07,Tue,New Zealand,Whipped Butter,0.30,0.18,Brekkie Condiments,Breakfast
53,2024/05/07,Tue,New Zealand,Shaker Sachet,0.60,0.36,Brekkie Condiments,Breakfast
54,2024/05/07,Tue,New Zealand,Big Mac®,10.30,6.20,Most Popular,Lunch & Dinner
55,2024/05/07,Tue,New Zealand,YOU CHOOSE Dinner for 2,33.00,19.88,Most Popular,Lunch & Dinner
56,2024/05/07,Tue,New Zealand,10pc Chicken McBites®,4.00,2.41,Most Popular,Lunch & Dinner
57,2024/05/07,Tue,New Zealand,Double Cheeseburger,8.40,5.06,Most Popular,Lunch & Dinner
58,2024/05/07,Tue,New Zealand,The Family Pack,42.00,25.30,Most Popular,Lunch & Dinner
59,2024/05/07,Tue,New Zealand,Double Quarter Pounder®,13.60,8.19,Most Popular,Lunch & Dinner
60,2024/05/07,Tue,New Zealand,YOU CHOOSE Family Dinner Pack,62.00,37.35,Most Popular,Lunch & Dinner
61,2024/05/07,Tue,New Zealand,10pc Spicy Chicken McNuggets®,13.40,8.07,Most Popular,Lunch & Dinner
62,2024/05/07,Tue,New Zealand,Cheeseburger,6.40,3.86,Favourites,Lunch & Dinner
63,2024/05/07,Tue,New Zealand,Big Mac®,10.30,6.20,Favourites,Lunch & Dinner
64,2024/05/07,Tue,New Zealand,McChicken®,10.40,6.26,Favourites,Lunch & Dinner
65,2024/05/07,Tue,New Zealand,Double Cheeseburger,8.40,5.06,Favourites,Lunch & Dinner
66,2024/05/07,Tue,New Zealand,Quarter Pounder®,10.30,6.20,Favourites,Lunch & Dinner
67,2024/05/07,Tue,New Zealand,The Boss®,14.00,8.43,Favourites,Lunch & Dinner
68,2024/05/07,Tue,New Zealand,McSpicy®,11.80,7.11,Favourites,Lunch & Dinner
69,2024/05/07,Tue,New Zealand,Filet-O-Fish®,9.70,5.84,Favourites,Lunch & Dinner
70,2024/05/07,Tue,New Zealand,Triple Cheeseburger,10.70,6.45,Favourites,Lunch & Dinner
71,2024/05/07,Tue,New Zealand,Double Quarter Pounder®,13.60,8.19,Favourites,Lunch & Dinner
72,2024/05/07,Tue,New Zealand,Double McChicken®,12.60,7.59,Favourites,Lunch & Dinner
73,2024/05/07,Tue,New Zealand,Double Big Mac®,12.60,7.59,Favourites,Lunch & Dinner
74,2024/05/07,Tue,New Zealand,Double Filet-O-Fish®,11.50,6.93,Favourites,Lunch & Dinner
75,2024/05/07,Tue,New Zealand,Hamburger,5.40,3.25,Favourites,Lunch & Dinner
76,2024/05/07,Tue,New Zealand,Mighty Hot McSpicy®,11.80,7.11,Favourites,Lunch & Dinner
77,2024/05/07,Tue,New Zealand,Mighty Hot McSpicy® Bacon Deluxe,14.30,8.61,Favourites,Lunch & Dinner
78,2024/05/07,Tue,New Zealand,6pc Spicy Chicken McNuggets®,10.00,6.02,Favourites,Lunch & Dinner
79,2024/05/07,Tue,New Zealand,10pc Chicken McNuggets®,13.40,8.07,Favourites,Lunch & Dinner
80,2024/05/07,Tue,New Zealand,Salad Burger,8.80,5.30,Favourites,Lunch & Dinner
81,2024/05/07,Tue,New Zealand,The Serious Angus®,12.70,7.65,Gourmet Creations,Lunch & Dinner
82,2024/05/07,Tue,New Zealand,Almighty Texan BBQ Burger,15.80,9.52,Gourmet Creations,Lunch & Dinner
83,2024/05/07,Tue,New Zealand,Crispy Chicken Bacon Deluxe,14.10,8.49,Gourmet Creations,Lunch & Dinner
84,2024/05/07,Tue,New Zealand,Crispy Chicken Almighty,16.30,9.82,Gourmet Creations,Lunch & Dinner
85,2024/05/07,Tue,New Zealand,Grilled Chicken Bacon Deluxe,14.10,8.49,Gourmet Creations,Lunch & Dinner
86,2024/05/07,Tue,New Zealand,Grilled Chicken Almighty,16.30,9.82,Gourmet Creations,Lunch & Dinner
87,2024/05/07,Tue,New Zealand,10pc Chicken McNuggets®,13.40,8.07,To Share,Lunch & Dinner
88,2024/05/07,Tue,New Zealand,10pc Chicken McBites®,4.00,2.41,To Share,Lunch & Dinner
89,2024/05/07,Tue,New Zealand,6pc Chicken McNuggets®,10.00,6.02,To Share,Lunch & Dinner
90,2024/05/07,Tue,New Zealand,McChicken Chomp,21.00,12.65,To Share,Lunch & Dinner
91,2024/05/07,Tue,New Zealand,YOU CHOOSE Dinner for 2,33.00,19.88,To Share,Lunch & Dinner
92,2024/05/07,Tue,New Zealand,20pc Chicken McNuggets®,21.40,12.89,To Share,Lunch & Dinner
