,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/06/01,Wed,Philippines,BFF Fries,135.00,2.57,Featured,Regular
2,2022/06/01,Wed,Philippines,6-pc. Chicken McShare Box,330.00,6.29,Featured,Regular
3,2022/06/01,Wed,Philippines,Breakfast Sandwich Duo,249.00,4.74,Featured,Breakfast
4,2022/06/01,Wed,Philippines,Breakfast Rice Bowl Duo,289.00,5.50,Featured,Breakfast
5,2022/06/01,Wed,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.09,Featured,Regular
6,2022/06/01,Wed,Philippines,McCafe Caramel Popcorn Coffee Float,78.00,1.49,Featured,Regular
7,2022/06/01,Wed,Philippines,Caramel Popcorn Coke McFloat,47.00,0.90,Featured,Regular
8,2022/06/01,Wed,Philippines,6-pc. Chicken McShare Box,330.00,6.29,Group Meals,Regular
9,2022/06/01,Wed,Philippines,8-pc. Chicken McShare Box,440.00,8.38,Group Meals,Regular
10,2022/06/01,Wed,Philippines,BFF Fries N' McFloat Combo,222.00,4.23,Group Meals,Regular
11,2022/06/01,Wed,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,237.00,4.51,Group Meals,Regular
12,2022/06/01,Wed,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,237.00,4.51,Group Meals,Regular
13,2022/06/01,Wed,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.74,Group Meals,Regular
14,2022/06/01,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.74,Group Meals,Regular
15,2022/06/01,Wed,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.74,Group Meals,Regular
16,2022/06/01,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.74,Group Meals,Regular
17,2022/06/01,Wed,Philippines,McShare Bundle for 3,500.00,9.52,Group Meals,Regular
18,2022/06/01,Wed,Philippines,McShare Bundle for 4,725.00,13.81,Group Meals,Regular
19,2022/06/01,Wed,Philippines,10-pc. Chicken McShare Box,550.00,10.48,Group Meals,Regular
20,2022/06/01,Wed,Philippines,15-pc. Chicken McShare Box,825.00,15.71,Group Meals,Regular
21,2022/06/01,Wed,Philippines,20-pc. Chicken McShare Box,1100.00,20.95,Group Meals,Regular
22,2022/06/01,Wed,Philippines,BFF Fries Good for 10,655.00,12.48,Group Meals,Regular
23,2022/06/01,Wed,Philippines,BFF Fries Good for 15,1025.00,19.52,Group Meals,Regular
24,2022/06/01,Wed,Philippines,BFF Fries Good for 20,1280.00,24.38,Group Meals,Regular
25,2022/06/01,Wed,Philippines,Plain Rice Good for 10,245.00,4.67,Group Meals,Regular
26,2022/06/01,Wed,Philippines,Plain Rice Good for 15,360.00,6.86,Group Meals,Regular
27,2022/06/01,Wed,Philippines,Plain Rice Good for 20,475.00,9.05,Group Meals,Regular
28,2022/06/01,Wed,Philippines,Breakfast Sandwich Duo,249.00,4.74,Breakfast,Breakfast
