,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.51,McDelivery Exclusives,All Day
2,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.51,McDelivery Exclusives,All Day
3,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.51,McDelivery Exclusives,All Day
4,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.51,McDelivery Exclusives,All Day
5,2022/12/24,Sat,Philippines,Double Big Mac Meal,306.00,5.54,McDelivery Exclusives,Regular
6,2022/12/24,Sat,Philippines,Double Quarter Pounder w/ Cheese Meal,306.00,5.54,McDelivery Exclusives,Regular
7,2022/12/24,Sat,Philippines,The BCB Meal,252.00,4.56,McDelivery Exclusives,Regular
8,2022/12/24,Sat,Philippines,Triple Cheeseburger Meal,247.00,4.47,McDelivery Exclusives,Regular
9,2022/12/24,Sat,Philippines,Double McChicken Meal,237.00,4.29,McDelivery Exclusives,Regular
10,2022/12/24,Sat,Philippines,Mega Meal - Chicken McDo w/ McSpaghetti & Sundae,208.00,3.77,McDelivery Exclusives,Regular
11,2022/12/24,Sat,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,210.00,3.80,McDelivery Exclusives,All Day
12,2022/12/24,Sat,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,205.00,3.71,McDelivery Exclusives,All Day
13,2022/12/24,Sat,Philippines,McCrispy Hamonado Sandwich Meal,199.00,3.60,Featured,Regular
14,2022/12/24,Sat,Philippines,McSpicy Meal,251.00,4.55,Featured,Regular
15,2022/12/24,Sat,Philippines,1-pc. Spicy Chicken McDo & Fries Meal,179.00,3.24,Featured,Regular
16,2022/12/24,Sat,Philippines,1-pc. Chicken McDo & Mushroom Soup Meal,160.00,2.90,Featured,Regular
17,2022/12/24,Sat,Philippines,6-pc. Chicken McShare Box,437.00,7.91,Featured,All Day
18,2022/12/24,Sat,Philippines,BFF Fries,158.00,2.86,Featured,All Day
19,2022/12/24,Sat,Philippines,"Quarter Pounder w/ Cheese, Lettuce, & Tomatoes Meal",271.00,4.91,Featured,Regular
20,2022/12/24,Sat,Philippines,McCrispy Chicken Sandwich w/ Lettuce & Tomatoes Meal,166.00,3.01,Featured,Regular
21,2022/12/24,Sat,Philippines,Cheesy Burger McDo w/ Lettuce & Tomatoes Meal,160.00,2.90,Featured,Regular
22,2022/12/24,Sat,Philippines,Snack Burger McShare,380.00,6.88,Group Meals,Regular
23,2022/12/24,Sat,Philippines,6-pc. Chicken McShare Box,437.00,7.91,Group Meals,All Day
24,2022/12/24,Sat,Philippines,8-pc. Chicken McShare Box,579.00,10.48,Group Meals,All Day
25,2022/12/24,Sat,Philippines,McSpaghetti Platter,242.00,4.38,Group Meals,Regular
26,2022/12/24,Sat,Philippines,10-pc. Chicken McNuggets,204.00,3.69,Group Meals,Regular
27,2022/12/24,Sat,Philippines,20-pc. Chicken McNuggets,406.00,7.35,Group Meals,Regular
28,2022/12/24,Sat,Philippines,BFF Fries N' McFloat Combo,265.00,4.80,Group Meals,All Day
29,2022/12/24,Sat,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,281.00,5.09,Group Meals,All Day
30,2022/12/24,Sat,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,281.00,5.09,Group Meals,All Day
31,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.51,Group Meals,All Day
32,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.51,Group Meals,All Day
33,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.51,Group Meals,All Day
34,2022/12/24,Sat,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.51,Group Meals,All Day
35,2022/12/24,Sat,Philippines,20-pc. Chicken McNuggets Bundle,516.00,9.34,Group Meals,Regular
36,2022/12/24,Sat,Philippines,McShare Bundle for 3,589.00,10.67,Group Meals,All Day
37,2022/12/24,Sat,Philippines,McShare Bundle for 4,809.00,14.65,Group Meals,All Day
