,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/06/04,Sat,Philippines,6-pc. Chicken McShare Box,330.00,6.24,Featured,Regular
2,2022/06/04,Sat,Philippines,K-Chicken Small Meal,195.00,3.69,Featured,Regular
3,2022/06/04,Sat,Philippines,Ebi Burger Small Meal,195.00,3.69,Featured,Regular
4,2022/06/04,Sat,Philippines,Ultimate Burger McShare,499.00,9.44,Featured,Regular
5,2022/06/04,Sat,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.08,Featured,Regular
6,2022/06/04,Sat,Philippines,BFF Fries,135.00,2.55,Featured,Regular
7,2022/06/04,Sat,Philippines,McCafe Caramel Popcorn Coffee Float,78.00,1.48,Featured,Regular
8,2022/06/04,Sat,Philippines,Caramel Popcorn Coke McFloat,47.00,0.89,Featured,Regular
9,2022/06/04,Sat,Philippines,Ultimate Burger McShare,499.00,9.44,Group Meals,Regular
10,2022/06/04,Sat,Philippines,Snack Burger McShare,330.00,6.24,Group Meals,Regular
11,2022/06/04,Sat,Philippines,6-pc. Chicken McShare Box,330.00,6.24,Group Meals,Regular
12,2022/06/04,Sat,Philippines,8-pc. Chicken McShare Box,440.00,8.32,Group Meals,Regular
13,2022/06/04,Sat,Philippines,McSpaghetti Platter,220.00,4.16,Group Meals,Regular
14,2022/06/04,Sat,Philippines,10-pc. Chicken McNuggets,190.00,3.59,Group Meals,Regular
15,2022/06/04,Sat,Philippines,20-pc. Chicken McNuggets,370.00,7.00,Group Meals,Regular
16,2022/06/04,Sat,Philippines,BFF Fries N' McFloat Combo,222.00,4.20,Group Meals,Regular
17,2022/06/04,Sat,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,237.00,4.48,Group Meals,Regular
18,2022/06/04,Sat,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,237.00,4.48,Group Meals,Regular
19,2022/06/04,Sat,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.71,Group Meals,Regular
20,2022/06/04,Sat,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.71,Group Meals,Regular
21,2022/06/04,Sat,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.71,Group Meals,Regular
22,2022/06/04,Sat,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.71,Group Meals,Regular
23,2022/06/04,Sat,Philippines,McShare Bundle for 3,500.00,9.46,Group Meals,Regular
24,2022/06/04,Sat,Philippines,McShare Bundle for 4,725.00,13.71,Group Meals,Regular
25,2022/06/04,Sat,Philippines,10-pc. Chicken McShare Box,550.00,10.40,Group Meals,Regular
26,2022/06/04,Sat,Philippines,15-pc. Chicken McShare Box,825.00,15.60,Group Meals,Regular
27,2022/06/04,Sat,Philippines,20-pc. Chicken McShare Box,1100.00,20.81,Group Meals,Regular
28,2022/06/04,Sat,Philippines,40-pc. Chicken McNuggets,740.00,14.00,Group Meals,Regular
29,2022/06/04,Sat,Philippines,60-pc. Chicken McNuggets,1110.00,20.99,Group Meals,Regular
30,2022/06/04,Sat,Philippines,80-pc. Chicken McNuggets,1480.00,27.99,Group Meals,Regular
31,2022/06/04,Sat,Philippines,McSpaghetti Platter Good for 10,440.00,8.32,Group Meals,Regular
32,2022/06/04,Sat,Philippines,McSpaghetti Platter Good for 15,660.00,12.48,Group Meals,Regular
