,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2023/01/04,Wed,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.45,McDelivery Exclusives,All Day
2,2023/01/04,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.45,McDelivery Exclusives,All Day
3,2023/01/04,Wed,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.45,McDelivery Exclusives,All Day
4,2023/01/04,Wed,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.45,McDelivery Exclusives,All Day
5,2023/01/04,Wed,Philippines,Double Big Mac Meal,306.00,5.46,McDelivery Exclusives,Regular
6,2023/01/04,Wed,Philippines,Double Quarter Pounder w/ Cheese Meal,306.00,5.46,McDelivery Exclusives,Regular
7,2023/01/04,Wed,Philippines,The BCB Meal,252.00,4.50,McDelivery Exclusives,Regular
8,2023/01/04,Wed,Philippines,Triple Cheeseburger Meal,247.00,4.41,McDelivery Exclusives,Regular
9,2023/01/04,Wed,Philippines,Double McChicken Meal,237.00,4.23,McDelivery Exclusives,Regular
10,2023/01/04,Wed,Philippines,Mega Meal - Chicken McDo w/ McSpaghetti & Sundae,208.00,3.71,McDelivery Exclusives,Regular
11,2023/01/04,Wed,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,210.00,3.75,McDelivery Exclusives,All Day
12,2023/01/04,Wed,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,205.00,3.66,McDelivery Exclusives,All Day
13,2023/01/04,Wed,Philippines,BFF Fries,158.00,2.82,Featured,All Day
14,2023/01/04,Wed,Philippines,McCrispy Hamonado Sandwich Meal,199.00,3.55,Featured,Regular
15,2023/01/04,Wed,Philippines,McSpicy Meal,251.00,4.48,Featured,Regular
16,2023/01/04,Wed,Philippines,1-pc. Spicy Chicken McDo & Fries Meal,179.00,3.20,Featured,Regular
17,2023/01/04,Wed,Philippines,1-pc. Chicken McDo & Mushroom Soup Meal,160.00,2.86,Featured,Regular
18,2023/01/04,Wed,Philippines,6-pc. Chicken McShare Box,437.00,7.80,Featured,All Day
19,2023/01/04,Wed,Philippines,"Quarter Pounder w/ Cheese, Lettuce, & Tomatoes Meal",271.00,4.84,Featured,Regular
20,2023/01/04,Wed,Philippines,McCrispy Chicken Sandwich w/ Lettuce & Tomatoes Meal,166.00,2.96,Featured,Regular
21,2023/01/04,Wed,Philippines,Cheesy Burger McDo w/ Lettuce & Tomatoes Meal,160.00,2.86,Featured,Regular
22,2023/01/04,Wed,Philippines,Snack Burger McShare,380.00,6.79,Group Meals,Regular
23,2023/01/04,Wed,Philippines,6-pc. Chicken McShare Box,437.00,7.80,Group Meals,All Day
24,2023/01/04,Wed,Philippines,8-pc. Chicken McShare Box,579.00,10.34,Group Meals,All Day
25,2023/01/04,Wed,Philippines,McSpaghetti Platter,242.00,4.32,Group Meals,Regular
26,2023/01/04,Wed,Philippines,10-pc. Chicken McNuggets,204.00,3.64,Group Meals,Regular
