,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2022/10/18,Tue,Fiji,Big Mac (S/R) -Beef,14.00,6.01,Classic McValue Meals,Regular
2,2022/10/18,Tue,Fiji,Cheeseburger (S/R) - Beef,10.20,4.38,Classic McValue Meals,Regular
3,2022/10/18,Tue,Fiji,Double Cheeseburger (S/R) - Beef,12.65,5.43,Classic McValue Meals,Regular
4,2022/10/18,Tue,Fiji,Filet McWrap (S/R),13.45,5.77,Classic McValue Meals,Regular
5,2022/10/18,Tue,Fiji,2pc Hot And Spicy (S/R),13.55,5.81,Chicken Mcvalue Meals,Regular
6,2022/10/18,Tue,Fiji,3pc Hot And Spicy (S/R),18.60,7.98,Chicken Mcvalue Meals,Regular
7,2022/10/18,Tue,Fiji,5pc Hot And Spicy (S/R),26.30,11.28,Chicken Mcvalue Meals,Regular
8,2022/10/18,Tue,Fiji,6pk McNuggets (S/R),13.00,5.58,Chicken Mcvalue Meals,Regular
9,2022/10/18,Tue,Fiji,10pk McNuggets (S/R),15.80,6.78,Chicken Mcvalue Meals,Regular
10,2022/10/18,Tue,Fiji,Chicken Aioli McWrap (S/R),13.55,5.81,Chicken Mcvalue Meals,Regular
11,2022/10/18,Tue,Fiji,Cheeseburger Happy Meal (Beef),11.45,4.91,Happy Meals,Regular
12,2022/10/18,Tue,Fiji,Junior Burger Happy Meal (Beef),11.45,4.91,Happy Meals,Regular
13,2022/10/18,Tue,Fiji,4pk Chicken McNuggets Happy Meal,11.45,4.91,Happy Meals,Regular
14,2022/10/18,Tue,Fiji,Big Mac (Beef),9.45,4.05,Classic Favourites,Regular
15,2022/10/18,Tue,Fiji,Cheeseburger (Beef),5.45,2.34,Classic Favourites,Regular
16,2022/10/18,Tue,Fiji,Quarter Pounder (Beef),9.35,4.01,Classic Favourites,Regular
17,2022/10/18,Tue,Fiji,Filet-O-Fish,7.35,3.15,Classic Favourites,Regular
18,2022/10/18,Tue,Fiji,McFeast (Beef),12.25,5.26,Classic Favourites,Regular
19,2022/10/18,Tue,Fiji,Double Cheeseburger (Beef),8.95,3.84,Classic Favourites,Regular
20,2022/10/18,Tue,Fiji,Salad Burger,6.95,2.98,Classic Favourites,Regular
21,2022/10/18,Tue,Fiji,Vege McWrap,9.35,4.01,Classic Favourites,Regular
22,2022/10/18,Tue,Fiji,Filet McWrap,9.95,4.27,Classic Favourites,Regular
23,2022/10/18,Tue,Fiji,McChicken,9.45,4.05,Chicken Favourites,Regular
24,2022/10/18,Tue,Fiji,3pc Hot And Spicy Chicken,14.65,6.29,Chicken Favourites,Regular
25,2022/10/18,Tue,Fiji,5pc Hot And Spicy Chicken,22.75,9.76,Chicken Favourites,Regular
26,2022/10/18,Tue,Fiji,6pk McNuggets,7.55,3.24,Chicken Favourites,Regular
27,2022/10/18,Tue,Fiji,10pk McNuggets,11.55,4.96,Chicken Favourites,Regular
28,2022/10/18,Tue,Fiji,Chicken Aioli McWrap,10.75,4.61,Chicken Favourites,Regular
29,2022/10/18,Tue,Fiji,Apple Pie,5.95,2.55,Sides And Condiments,Regular
30,2022/10/18,Tue,Fiji,Fries (S/R),3.90,1.67,Sides And Condiments,Regular
31,2022/10/18,Tue,Fiji,Sweet And Sour Sauce,0.50,0.21,Sides And Condiments,Regular
32,2022/10/18,Tue,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
33,2022/10/18,Tue,Fiji,BBQ Sauce,0.50,0.21,Sides And Condiments,Regular
34,2022/10/18,Tue,Fiji,Mayonnaise Packet,0.50,0.21,Sides And Condiments,Regular
35,2022/10/18,Tue,Fiji,6pcs Chicken Nibbles,10.25,4.40,Promotions,Regular
36,2022/10/18,Tue,Fiji,10pcs Chicken Nibbles,17.55,7.53,Promotions,Regular
