,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2023/12/18,Mon,Fiji,10pk McNuggets (S/R),16.35,7.27,Chicken Mcvalue Meals,Regular
2,2023/12/18,Mon,Fiji,Big Mac (S/R) -Beef,14.55,6.47,Classic McValue Meals,Regular
3,2023/12/18,Mon,Fiji,Cheeseburger (S/R) - Beef,10.95,4.87,Classic McValue Meals,Regular
4,2023/12/18,Mon,Fiji,Filet-O-Fish (S/R),12.15,5.41,Classic McValue Meals,Regular
5,2023/12/18,Mon,Fiji,Double Cheeseburger (S/R) - Beef,13.95,6.21,Classic McValue Meals,Regular
6,2023/12/18,Mon,Fiji,Salad Burger (S/R),10.95,4.87,Classic McValue Meals,Regular
7,2023/12/18,Mon,Fiji,McChicken (S/R),14.35,6.38,Chicken Mcvalue Meals,Regular
8,2023/12/18,Mon,Fiji,2pc Hot And Spicy (S/R),14.15,6.29,Chicken Mcvalue Meals,Regular
9,2023/12/18,Mon,Fiji,3pc Hot And Spicy (S/R),19.10,8.50,Chicken Mcvalue Meals,Regular
10,2023/12/18,Mon,Fiji,5pc Hot And Spicy (S/R),27.70,12.32,Chicken Mcvalue Meals,Regular
11,2023/12/18,Mon,Fiji,6pk McNuggets (S/R),13.50,6.01,Chicken Mcvalue Meals,Regular
12,2023/12/18,Mon,Fiji,Cheeseburger Happy Meal (Beef),12.65,5.63,Happy Meals,Regular
13,2023/12/18,Mon,Fiji,Junior Burger Happy Meal (Beef),12.65,5.63,Happy Meals,Regular
14,2023/12/18,Mon,Fiji,4pk Chicken McNuggets Happy Meal,12.65,5.63,Happy Meals,Regular
15,2023/12/18,Mon,Fiji,Big Mac (Beef),10.15,4.52,Classic Favourites,Regular
16,2023/12/18,Mon,Fiji,Cheeseburger (Beef),6.55,2.91,Classic Favourites,Regular
17,2023/12/18,Mon,Fiji,Filet-O-Fish,7.65,3.40,Classic Favourites,Regular
18,2023/12/18,Mon,Fiji,Double Cheeseburger (Beef),10.25,4.56,Classic Favourites,Regular
19,2023/12/18,Mon,Fiji,Salad Burger,7.45,3.31,Classic Favourites,Regular
20,2023/12/18,Mon,Fiji,Vege McWrap,9.85,4.38,Classic Favourites,Regular
21,2023/12/18,Mon,Fiji,3pc Hot And Spicy Chicken,15.15,6.74,Chicken Favourites,Regular
22,2023/12/18,Mon,Fiji,5pc Hot And Spicy Chicken,24.25,10.79,Chicken Favourites,Regular
23,2023/12/18,Mon,Fiji,6pk McNuggets,7.95,3.54,Chicken Favourites,Regular
24,2023/12/18,Mon,Fiji,10pk McNuggets,11.95,5.32,Chicken Favourites,Regular
25,2023/12/18,Mon,Fiji,McChicken,9.75,4.34,Chicken Favourites,Regular
26,2023/12/18,Mon,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
27,2023/12/18,Mon,Fiji,Mayonnaise Packet,0.50,0.22,Sides And Condiments,Regular
28,2023/12/18,Mon,Fiji,Fries (S/R),4.15,1.85,Sides And Condiments,Regular
29,2023/12/18,Mon,Fiji,McCafe Iced Lemon Tea,7.75,3.45,McCafe Drinks,Regular
30,2023/12/18,Mon,Fiji,McCafe Iced Mango Tea,7.75,3.45,McCafe Drinks,Regular
31,2023/12/18,Mon,Fiji,McCafe Iced Peach Tea,7.75,3.45,McCafe Drinks,Regular
32,2023/12/18,Mon,Fiji,Sweet Thai Chili Sauce,1.00,0.44,Promotions,Regular
33,2023/12/18,Mon,Fiji,Garlic Aioli Sauce,1.00,0.44,Promotions,Regular
34,2023/12/18,Mon,Fiji,Sweet Potato Fries w/ garlic aioli sauce,6.95,3.09,Promotions,Regular
35,2023/12/18,Mon,Fiji,Potato Pancakes x 2,2.65,1.18,Promotions,Regular
36,2023/12/18,Mon,Fiji,10pk No Chicken Nuggets,14.95,6.65,Promotions,Regular
37,2023/12/18,Mon,Fiji,10pk No Chicken Nuggets Meal,17.95,7.99,Promotions,Regular
38,2023/12/18,Mon,Fiji,6pk No Chicken Nuggets,9.95,4.43,Promotions,Regular
39,2023/12/18,Mon,Fiji,6pk No Chicken Nuggets Meal,13.95,6.21,Promotions,Regular
