,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/05/20,Fri,Philippines,6-pc. Chicken McShare Box,330.00,6.32,Featured,Regular
2,2022/05/20,Fri,Philippines,Breakfast Sandwich Duo,249.00,4.77,Featured,Breakfast
3,2022/05/20,Fri,Philippines,Breakfast Rice Bowl Duo,289.00,5.53,Featured,Breakfast
4,2022/05/20,Fri,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.09,Featured,Regular
5,2022/05/20,Fri,Philippines,McCafe Caramel Popcorn Coffee Float,78.00,1.49,Featured,Regular
6,2022/05/20,Fri,Philippines,Caramel Popcorn Coke McFloat,47.00,0.90,Featured,Regular
7,2022/05/20,Fri,Philippines,6-pc. Chicken McShare Box,330.00,6.32,Group Meals,Regular
8,2022/05/20,Fri,Philippines,8-pc. Chicken McShare Box,440.00,8.42,Group Meals,Regular
9,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.77,Group Meals,Regular
10,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.77,Group Meals,Regular
11,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.77,Group Meals,Regular
12,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.77,Group Meals,Regular
13,2022/05/20,Fri,Philippines,10-pc. Chicken McShare Box,550.00,10.53,Group Meals,Regular
14,2022/05/20,Fri,Philippines,15-pc. Chicken McShare Box,825.00,15.80,Group Meals,Regular
15,2022/05/20,Fri,Philippines,20-pc. Chicken McShare Box,1100.00,21.06,Group Meals,Regular
16,2022/05/20,Fri,Philippines,Plain Rice Good for 10,245.00,4.69,Group Meals,Regular
17,2022/05/20,Fri,Philippines,Plain Rice Good for 15,360.00,6.89,Group Meals,Regular
18,2022/05/20,Fri,Philippines,Plain Rice Good for 20,475.00,9.09,Group Meals,Regular
19,2022/05/20,Fri,Philippines,Breakfast Sandwich Duo,249.00,4.77,Breakfast,Breakfast
20,2022/05/20,Fri,Philippines,Breakfast Rice Bowl Duo,289.00,5.53,Breakfast,Breakfast
21,2022/05/20,Fri,Philippines,2-pc. Hotcakes & Sausage Meal,143.00,2.74,Breakfast,Breakfast
22,2022/05/20,Fri,Philippines,Sausage McMuffin w/ Egg Meal,145.00,2.78,Breakfast,Breakfast
23,2022/05/20,Fri,Philippines,Sausage McMuffin Meal,125.00,2.39,Breakfast,Breakfast
24,2022/05/20,Fri,Philippines,Egg McMuffin Meal,137.00,2.62,Breakfast,Breakfast
25,2022/05/20,Fri,Philippines,Cheesy Eggdesal w/ Sausage Meal,132.00,2.53,Breakfast,Breakfast
26,2022/05/20,Fri,Philippines,Cheesy Eggdesal w/ Ham Meal,121.00,2.32,Breakfast,Breakfast
27,2022/05/20,Fri,Philippines,Cheesy Eggdesal Meal,97.00,1.86,Breakfast,Breakfast
28,2022/05/20,Fri,Philippines,Big Breakfast Meal,158.00,3.03,Breakfast,Breakfast
29,2022/05/20,Fri,Philippines,2-pc. Hotcakes Meal,73.00,1.40,Breakfast,Breakfast
30,2022/05/20,Fri,Philippines,2-pc. Mushroom Pepper Steak w/ Egg Meal,170.00,3.26,Breakfast,Breakfast
31,2022/05/20,Fri,Philippines,1-pc. Mushroom Pepper Steak w/ Egg Meal,139.00,2.66,Breakfast,Breakfast
32,2022/05/20,Fri,Philippines,Sausage w/ Egg Meal,156.00,2.99,Breakfast,Breakfast
33,2022/05/20,Fri,Philippines,Longganisa w/ Egg Meal,156.00,2.99,Breakfast,Breakfast
34,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet w/ Egg Meal,154.00,2.95,Breakfast,Breakfast
35,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Egg Meal,156.00,2.99,Breakfast,Breakfast
36,2022/05/20,Fri,Philippines,1-pc. Chicken McDo w/ Egg Meal,163.00,3.12,Breakfast,Breakfast
37,2022/05/20,Fri,Philippines,1-pc. Spicy Chicken McDo & Egg Meal,166.00,3.18,Breakfast,Breakfast
38,2022/05/20,Fri,Philippines,2-pc. Chicken McDo w/ Egg Meal,229.00,4.38,Breakfast,Breakfast
39,2022/05/20,Fri,Philippines,2-pc. Spicy Chicken McDo & Egg Meal,232.00,4.44,Breakfast,Breakfast
40,2022/05/20,Fri,Philippines,Chicken McDo & Hotcakes Meal,176.00,3.37,Breakfast,Breakfast
41,2022/05/20,Fri,Philippines,Spicy Chicken McDo & Hotcakes Meal,179.00,3.43,Breakfast,Breakfast
42,2022/05/20,Fri,Philippines,1-pc. Chicken McDo & Fries Meal,110.00,2.11,Chicken,Regular
43,2022/05/20,Fri,Philippines,1-pc. Spicy Chicken McDo & Fries Meal,113.00,2.16,Chicken,Regular
44,2022/05/20,Fri,Philippines,2-pc. Chicken McDo Meal,189.00,3.62,Chicken,Regular
45,2022/05/20,Fri,Philippines,2-pc. Spicy Chicken McDo Meal,192.00,3.68,Chicken,Regular
46,2022/05/20,Fri,Philippines,1-pc. Spicy Chicken McDo Meal,116.00,2.22,Chicken,Regular
47,2022/05/20,Fri,Philippines,1-pc. Chicken McDo Meal,113.00,2.16,Chicken,Regular
48,2022/05/20,Fri,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,158.00,3.03,Chicken,Regular
49,2022/05/20,Fri,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,145.00,2.78,Chicken,Regular
50,2022/05/20,Fri,Philippines,Mega Meal - Spicy Chicken McDo w/ Fries & Burger McDo,148.00,2.83,Chicken,Regular
51,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet Meal,82.00,1.57,Chicken,Regular
52,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet w/ Fries Meal,95.00,1.82,Chicken,Regular
53,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet Ala King Meal,84.00,1.61,Chicken,Regular
54,2022/05/20,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Fries Meal,97.00,1.86,Chicken,Regular
55,2022/05/20,Fri,Philippines,McCrispy Chicken Sandwich Meal,100.00,1.91,Burgers,Regular
56,2022/05/20,Fri,Philippines,Cheesy Burger McDo Meal,104.00,1.99,Burgers,Regular
57,2022/05/20,Fri,Philippines,Burger McDo Meal,91.00,1.74,Burgers,Regular
58,2022/05/20,Fri,Philippines,2-pc. Mushroom Pepper Steak w/ Egg Meal,129.00,2.47,Rice Bowls,Breakfast
59,2022/05/20,Fri,Philippines,2-pc. Mushroom Pepper Steak Meal,107.00,2.05,Rice Bowls,Regular
60,2022/05/20,Fri,Philippines,1-pc. Mushroom Pepper Steak w/ Egg Meal,107.00,2.05,Rice Bowls,Breakfast
61,2022/05/20,Fri,Philippines,1-pc. Mushroom Pepper Steak Meal,86.00,1.65,Rice Bowls,Regular
62,2022/05/20,Fri,Philippines,McFlurry® with Oreo®,53.00,1.01,Desserts & Drinks,Regular
63,2022/05/20,Fri,Philippines,Hot Fudge Sundae,32.00,0.61,Desserts & Drinks,Regular
64,2022/05/20,Fri,Philippines,Hot Caramel Sundae,32.00,0.61,Desserts & Drinks,Regular
65,2022/05/20,Fri,Philippines,Apple Pie,37.00,0.71,Desserts & Drinks,Regular
66,2022/05/20,Fri,Philippines,Caramel Popcorn Coke McFloat,47.00,0.90,Desserts & Drinks,Regular
67,2022/05/20,Fri,Philippines,Coke McFloat,32.00,0.61,Desserts & Drinks,Regular
68,2022/05/20,Fri,Philippines,Chocolate Shake,94.00,1.80,Desserts & Drinks,Regular
69,2022/05/20,Fri,Philippines,Strawberry Shake,94.00,1.80,Desserts & Drinks,Regular
70,2022/05/20,Fri,Philippines,Coke,61.00,1.17,Desserts & Drinks,Regular
71,2022/05/20,Fri,Philippines,Coke Zero,61.00,1.17,Desserts & Drinks,Regular
72,2022/05/20,Fri,Philippines,Sprite,61.00,1.17,Desserts & Drinks,Regular
73,2022/05/20,Fri,Philippines,Orange Juice,65.00,1.24,Desserts & Drinks,Regular
74,2022/05/20,Fri,Philippines,Pineapple Juice,65.00,1.24,Desserts & Drinks,Regular
75,2022/05/20,Fri,Philippines,Iced Tea,65.00,1.24,Desserts & Drinks,Regular
76,2022/05/20,Fri,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.09,McCafé,Regular
77,2022/05/20,Fri,Philippines,Medium Iced Coffee Sweet Black with Caramel Popcorn Syrup,57.00,1.09,McCafé,Regular
